English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Khmer Word
accustomed	0	0	0	0	0	0	0	0	0	0	ទម្លាប់
ace	0	0	0	0	0	0	1	0	0	0	អាត់
acetic	0	0	0	0	0	0	0	0	0	0	អាសេទិក
ache	0	0	0	0	0	1	0	1	0	0	ឈឺ
achieve	0	0	0	0	1	0	1	0	0	1	សម្រេចបាន។
achievement	0	1	0	0	1	0	1	0	0	1	សមិទ្ធិផល
aching	0	0	0	0	0	1	0	1	0	0	ឈឺ
acid	0	0	0	0	0	1	0	0	0	0	អាស៊ីត
acidity	0	0	0	0	0	0	0	0	0	0	អាស៊ីត
acknowledge	0	0	0	0	0	0	0	0	0	0	ទទួល​ស្គាល់
acknowledged	0	0	0	0	0	0	0	0	0	0	បាន​ទទួល​ស្គាល់
acknowledgment	0	0	0	0	0	0	1	0	0	0	ការទទួលស្គាល់
acme	0	0	0	0	0	0	0	0	0	0	អាម
acoustic	0	0	0	0	0	0	0	0	0	0	សូរស័ព្ទ
acoustics	0	0	0	0	0	0	0	0	0	0	សូរស័ព្ទ
acquaint	0	0	0	0	0	0	0	0	0	0	ស្គាល់
acquaintance	0	0	0	0	0	0	0	0	0	0	អ្នកស្គាល់គ្នា។
acquainted	0	0	0	0	0	0	0	0	0	0	ស្គាល់
acquiescence	0	0	0	0	0	0	0	0	0	0	ការទទួលបាន
acquire	0	0	0	0	0	0	1	0	0	0	ទទួលបាន
acquiring	0	1	0	0	0	0	1	0	0	0	ការទទួលបាន
acquisition	0	0	0	0	0	0	0	0	0	0	ការទិញយក
acquisitions	0	0	0	0	0	0	0	0	0	0	ការទិញយក
acreage	0	0	0	0	0	0	0	0	0	0	វាលស្រែ
acres	0	0	0	0	0	0	0	0	0	0	ហិចតា
acrobat	0	0	0	1	1	0	1	0	0	1	កាយសម្ព័ន្ធ
act	0	0	0	0	0	0	0	0	0	0	ទង្វើ
acting	0	0	0	0	0	0	0	0	0	0	ការសម្ដែង
action	0	0	0	0	0	0	1	0	0	0	សកម្មភាព
actionable	1	0	1	0	0	1	0	0	0	0	អាចធ្វើសកម្មភាពបាន។
active	0	0	0	0	0	0	0	0	0	0	សកម្ម
activity	0	0	0	0	0	0	0	0	0	0	សកម្មភាព
actor	0	0	0	0	0	0	0	0	0	0	តារាសម្ដែង
actual	0	0	0	0	0	0	1	0	0	0	ពិត
actuality	0	0	0	0	0	0	0	0	0	0	ការពិត
actuary	0	0	0	0	0	0	0	0	0	0	គណនេយ្យករ
acuity	0	0	0	0	0	0	1	0	0	0	ភាពច្បាស់លាស់
acumen	0	0	0	0	0	0	1	0	0	0	ស្ទាត់ជំនាញ
acupuncture	0	0	0	0	0	0	0	0	0	0	ការចាក់ម្ជុលវិទ្យាសាស្ត្រ
acutely	0	0	0	0	0	0	0	0	0	0	យ៉ាងស្រួចស្រាវ
adage	0	0	0	0	0	0	0	0	0	0	សុភាសិត
adamant	0	0	0	0	0	0	0	0	0	0	រឹងរូស
adapt	0	0	0	0	0	0	1	0	0	0	សម្របខ្លួន
adaptable	0	0	0	0	0	0	1	0	0	0	អាដាប់ធ័រ
add	0	0	0	0	0	0	0	0	0	0	បន្ថែម
added	0	0	0	0	0	0	0	0	0	0	បន្ថែម
addendum	0	0	0	0	0	0	0	0	0	0	បន្ថែម
adder	1	0	1	1	0	1	0	1	0	0	អ្នកបន្ថែម
addiction	0	0	0	0	0	1	0	0	0	0	ការញៀន
addition	0	0	0	0	0	0	0	0	0	0	បន្ថែម
additional	0	0	0	0	0	0	0	0	0	0	បន្ថែម
additive	0	0	0	0	0	0	0	0	0	0	សារធាតុបន្ថែម
address	0	0	0	0	0	0	0	0	0	0	អាសយដ្ឋាន
addressee	0	0	0	0	0	0	0	0	0	0	អ្នកទទួល
addresses	0	1	0	0	0	0	1	0	0	0	អាសយដ្ឋាន
adept	0	0	0	0	0	0	1	0	0	0	ជំនាញ
adequacy	0	0	0	0	0	0	1	0	0	0	ភាពគ្រប់គ្រាន់
adequate	0	0	0	0	0	0	0	0	0	0	គ្រប់គ្រាន់
adhere	0	0	0	0	0	0	0	0	0	0	ប្រកាន់ខ្ជាប់
adherence	0	0	0	0	0	0	0	0	0	0	ការប្រកាន់ខ្ជាប់
adherent	0	0	0	0	0	0	0	0	0	0	ប្រកាន់ខ្ជាប់
adhering	0	0	0	0	0	0	0	0	0	1	ការប្រកាន់ខ្ជាប់
adhesion	0	0	0	0	0	0	0	0	0	0	ការស្អិត
adhesive	0	0	0	0	0	0	0	0	0	0	សារធាតុស្អិត
adieu	0	0	0	0	0	0	0	0	0	0	អាឌីវ
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	ជាប់គ្នា។
adjacent	0	0	0	0	0	0	0	0	0	0	នៅជាប់គ្នា។
adjective	0	0	0	0	0	0	0	0	0	0	គុណនាម
adjoining	0	0	0	0	0	0	0	0	0	0	នៅជាប់គ្នា។
adjourn	0	0	0	0	0	0	0	0	0	0	ពន្យារពេល
adjournment	0	0	0	0	0	0	0	0	0	0	ការពន្យារពេល
adjudicate	0	0	0	1	0	1	0	0	0	0	វិនិច្ឆ័យ
adjudication	0	0	0	0	0	0	0	0	0	0	ការវិនិច្ឆ័យ
adjunct	0	0	0	0	0	0	1	0	0	0	បន្ថែម
adjust	0	0	0	0	0	0	0	0	0	0	កែតម្រូវ
adjustment	0	0	0	0	0	0	0	0	0	0	ការកែតម្រូវ
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	គ្រប់គ្រង
administration	0	0	0	0	0	0	0	0	0	0	រដ្ឋបាល
administrative	0	0	0	0	0	0	0	0	0	1	រដ្ឋបាល
admirable	0	0	0	0	1	0	1	0	0	1	គួរឲ្យសរសើរ
admiral	0	0	0	0	0	0	1	0	0	1	ឧត្តមនាវី
admiralty	0	0	0	0	0	0	0	0	0	0	ការកោតសរសើរ
admiration	0	0	0	0	1	0	1	0	0	1	ការកោតសរសើរ
admire	0	0	0	0	0	0	1	0	0	1	កោតសរសើរ
admirer	0	0	0	0	0	0	1	0	0	0	អ្នកកោតសរសើរ
admissibility	0	0	0	0	0	0	0	0	0	0	ភាពអាចចូលបាន។
admissible	0	0	0	0	0	0	1	0	0	1	អាចទទួលយកបាន។
admission	0	0	0	0	0	0	0	0	0	0	ការចូលរៀន
admit	0	0	0	0	0	0	0	0	0	0	ទទួលស្គាល់
admittance	0	0	0	0	0	0	0	0	0	0	ការចូលរៀន
admitted	0	0	0	0	0	0	0	0	0	0	ទទួលយក
admitting	0	0	0	0	0	0	0	0	0	0	ទទួលស្គាល់
admixture	0	0	0	0	0	0	0	0	0	0	ល្បាយ
admonition	0	0	0	1	0	1	0	0	0	0	ការដាស់តឿន
ado	0	0	0	0	0	0	0	0	0	0	អាដូ
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	វ័យជំទង់
adolescent	0	0	0	0	0	0	0	0	0	0	វ័យជំទង់
adopt	0	0	0	0	0	0	0	0	0	0	អនុម័ត
adoption	0	0	0	0	0	0	0	0	0	0	កូនចិញ្ចឹម
adorable	0	0	0	0	1	0	1	0	0	0	គួរអោយស្រលាញ់
adoration	0	0	0	0	1	0	1	0	0	1	ការថ្វាយបង្គំ
adore	0	1	0	0	1	0	1	0	0	1	គោរព
adorn	0	0	0	0	0	0	0	0	0	0	តុបតែង
adornment	0	0	0	0	0	0	0	0	0	0	គ្រឿងតុបតែង
adrift	0	1	0	1	0	1	0	1	0	0	អណ្តែត
adult	0	0	0	0	0	0	0	0	0	0	មនុស្សពេញវ័យ
adulterated	0	0	0	0	0	1	0	0	0	0	ផិតក្បត់
adultery	0	0	1	0	0	1	0	1	0	0	អំពើផិតក្បត់
advance	0	1	0	1	1	0	1	0	1	0	ទៅមុខ
advanced	0	0	0	0	0	0	1	0	0	0	កម្រិតខ្ពស់
advancement	0	0	0	0	0	0	1	0	0	0	វឌ្ឍនភាព
advancing	0	0	0	0	0	0	0	0	0	0	ជឿនលឿន
advantage	0	0	0	0	0	0	1	0	0	0	អត្ថប្រយោជន៍
advantageous	0	0	0	0	0	0	1	0	0	0	អត្ថប្រយោជន៍
advent	0	1	0	0	1	0	1	0	0	1	ការមកដល់
adventure	0	1	0	0	0	0	1	0	0	0	ដំណើរផ្សងព្រេង
adventurer	0	0	0	0	0	0	0	0	0	0	អ្នកផ្សងព្រេង
adventurous	0	0	0	0	0	0	1	0	0	0	ផ្សងព្រេង
adversary	1	0	0	0	0	1	0	0	0	0	សត្រូវ
adverse	1	0	1	1	0	1	0	1	0	0	អវិជ្ជមាន
adversity	1	0	0	1	0	1	0	1	0	0	ទុក្ខលំបាក
advertise	0	0	0	0	0	0	0	0	0	0	ផ្សាយពាណិជ្ជកម្ម
advertisement	0	0	0	0	0	0	0	0	0	0	ការផ្សាយពាណិជ្ជកម្ម
advice	0	0	0	0	0	0	0	0	0	1	ដំបូន្មាន
advisable	0	0	0	0	0	0	1	0	0	1	ជាទីប្រឹក្សា
advise	0	0	0	0	0	0	1	0	0	1	ណែនាំ
advised	0	0	0	0	0	0	0	0	0	1	បានណែនាំ
advisement	0	0	0	0	0	0	0	0	0	0	ដំបូន្មាន
adviser	0	0	0	0	0	0	1	0	0	1	ទីប្រឹក្សា
advocacy	1	1	0	0	1	0	1	0	0	1	ការតស៊ូមតិ
advocate	0	0	0	0	0	0	0	0	0	1	អ្នកតស៊ូមតិ
aegis	0	0	0	0	0	0	0	0	0	0	អេហ្គីស
aeration	0	0	0	0	0	0	0	0	0	0	ខ្យល់
aerial	0	0	0	0	0	0	0	0	0	0	ពីលើអាកាស
aerodrome	0	0	0	0	0	0	0	0	0	0	អាកាសយានដ្ឋាន
aerodynamics	0	0	0	0	0	0	0	0	0	0	ឌីណាមិក
aeronautics	0	0	0	0	0	0	0	0	0	0	អាកាសចរណ៍
aeroplane	0	0	0	0	0	0	0	0	0	0	យន្តហោះ
aesthetic	0	0	0	0	0	0	1	0	0	0	សោភ័ណភាព
aesthetics	0	0	0	0	1	0	1	0	0	0	សោភ័ណភាព
aetiology	0	0	0	0	0	0	0	0	0	0	រោគវិទ្យា
afar	0	0	0	0	0	0	0	0	0	0	ឆ្ងាយ
affable	0	0	0	0	0	0	1	0	0	0	អាចទទួលយកបាន។
affair	0	0	0	0	0	0	0	0	0	0	កិច្ចការ
affecting	0	0	0	0	0	0	0	0	0	0	ប៉ះពាល់
affection	0	0	0	0	1	0	1	0	0	1	ស្នេហា
affections	0	0	0	0	0	0	0	0	0	0	ស្នេហា
affiche	0	0	0	0	0	0	0	0	0	0	អាហ្វីច
affidavit	0	0	0	0	0	0	0	0	0	0	លិខិតបញ្ជាក់
affiliated	0	0	0	0	0	0	1	0	0	0	ជាប់ទាក់ទង
affiliation	0	0	0	0	0	0	0	0	0	0	សម្ព័ន្ធភាព
affinity	0	0	0	0	0	0	0	0	0	0	ភាពស្និទ្ធស្នាល
affirm	0	0	0	0	0	0	1	0	0	1	បញ្ជាក់
affirmation	0	0	0	0	0	0	1	0	0	0	ការបញ្ជាក់
affirmative	0	0	0	0	0	0	1	0	0	0	បញ្ជាក់
affirmatively	0	0	0	0	0	0	1	0	0	1	បញ្ជាក់
affix	0	0	0	0	0	0	0	0	0	0	ភ្ជាប់
afflict	0	0	0	1	0	1	0	1	0	0	រងទុក្ខ
afflicted	0	0	0	0	0	1	0	0	0	0	រងទុក្ខ
affliction	0	0	1	1	0	1	0	1	0	0	ទុក្ខវេទនា
affluence	0	0	0	0	1	0	1	0	0	0	ភាពសម្បូរបែប
affluent	0	0	0	0	0	0	1	0	0	0	សម្បូរបែប
afford	0	0	0	0	0	0	1	0	0	0	មានលទ្ធភាព
affront	1	0	1	1	0	1	0	1	1	0	ប្រឈមមុខ
afield	0	0	0	0	0	0	0	0	0	0	វាល
afore	0	0	0	0	0	0	0	0	0	0	មុន
aforementioned	0	0	0	0	0	0	0	0	0	0	ដែលបានរៀបរាប់ខាងលើ
aforesaid	0	0	0	0	0	0	0	0	0	0	ខាងលើ
afraid	0	0	0	1	0	1	0	0	0	0	ខ្លាច
afresh	0	0	0	0	0	0	0	0	0	0	ថ្មី
aft	0	0	0	0	0	0	0	0	0	0	ក្រោយ
aftermath	1	0	1	1	0	1	0	1	0	0	ផលវិបាក
afternoon	0	0	0	0	0	0	0	0	0	0	រសៀល
aftertaste	0	0	0	0	0	1	0	0	0	0	រសជាតិបន្ទាប់បន្សំ
afterthought	0	0	0	0	0	0	0	0	0	0	ការគិតក្រោយ
aga	0	0	0	1	0	0	1	0	0	1	អាហ្គា
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	អាយុ
aged	0	0	0	0	0	0	0	0	0	0	ចាស់
agency	0	0	0	0	0	0	0	0	0	0	ទីភ្នាក់ងារ
agent	0	0	0	0	0	0	0	0	0	0	ភ្នាក់ងារ
agglomeration	0	0	0	0	0	0	0	0	0	0	ការប្រមូលផ្តុំ
aggravated	1	0	0	0	0	1	0	0	0	0	កាន់តែធ្ងន់ធ្ងរ
aggravating	1	0	0	0	0	1	0	1	0	0	កាន់តែធ្ងន់ធ្ងរ
aggravation	1	0	1	0	0	1	0	0	0	0	ភាពធ្ងន់ធ្ងរ
aggregate	0	0	0	0	0	0	0	0	0	0	សរុប
aggregation	0	0	0	0	0	0	0	0	0	0	ការប្រមូលផ្តុំ
aggression	1	0	0	1	0	1	0	0	0	0	ការឈ្លានពាន
aggressive	1	0	0	1	0	1	0	0	0	0	ឈ្លានពាន
aggressor	1	0	0	1	0	1	0	0	0	0	អ្នកឈ្លានពាន
aghast	0	0	1	1	0	1	0	0	1	0	ខឹងសម្បារ
agile	0	0	0	0	0	0	1	0	0	0	រហ័សរហួន
agility	0	0	0	0	0	0	1	0	0	0	ភាពរហ័សរហួន
agitated	1	0	0	0	0	1	0	0	0	0	រំភើប
agitation	1	0	0	0	0	1	0	0	0	0	ការ​រំជើបរំជួល
agnostic	0	0	0	0	0	0	0	0	0	0	មិនជឿ
ago	0	0	0	0	0	0	0	0	0	0	កន្លងទៅ
agonizing	0	0	0	1	0	1	0	0	0	0	ឈឺចាប់
agony	1	0	0	1	0	1	0	1	0	0	ការឈឺចាប់
agree	0	0	0	0	0	0	1	0	0	0	យល់ព្រម
agreeable	0	0	0	0	0	0	1	0	0	1	យល់ព្រម
agreed	0	0	0	0	0	0	1	0	0	1	យល់ព្រម
agreeing	0	0	0	0	0	0	1	0	0	1	យល់ព្រម
agreement	0	0	0	0	0	0	1	0	0	1	កិច្ចព្រមព្រៀង
agricultural	0	0	0	0	0	0	0	0	0	0	កសិកម្ម
agriculture	0	0	0	0	0	0	1	0	0	0	កសិកម្ម
aground	0	0	0	0	0	1	0	0	0	0	វាលស្មៅ
agua	0	0	0	0	0	0	0	0	0	0	អាហ្គា
ahead	0	0	0	0	0	0	1	0	0	0	នៅពេល​ខាងមុខ
aid	0	0	0	0	0	0	1	0	0	0	ជំនួយ
aiding	0	0	0	0	0	0	1	0	0	0	ជំនួយ
ail	0	0	0	0	0	1	0	1	0	0	ឈឺ
ailing	0	0	0	1	0	1	0	1	0	0	ឈឺ
ailment	0	0	0	0	0	0	0	0	0	0	ជំងឺ
aim	0	0	0	0	0	0	0	0	0	0	គោលបំណង
aimless	0	0	0	0	0	1	0	0	0	0	គ្មានគោលដៅ
air	0	0	0	0	0	0	0	0	0	0	ខ្យល់
airbag	0	0	0	0	0	0	0	0	0	0	ពោងសុវត្ថិភាព
airlift	0	0	0	0	0	0	0	0	0	0	ការលើកយន្តហោះ
airline	0	0	0	0	0	0	0	0	0	0	ក្រុមហ៊ុនអាកាសចរណ៍
airman	0	0	0	0	0	0	0	0	0	0	អ្នកបើកយន្តហោះ
airplane	0	0	0	0	0	0	0	0	0	0	យន្តហោះ
airport	0	1	0	0	0	0	0	0	0	0	ព្រ​លាន​យន្តហោះ
airs	0	0	1	0	0	1	0	0	0	0	ខ្យល់
airship	0	0	0	0	0	0	0	0	0	0	យន្តហោះ
aisle	0	0	0	0	0	0	0	0	0	0	ច្រកផ្លូវ
ait	0	0	0	0	0	0	0	0	0	0	អាយ
ajar	0	0	0	0	0	0	0	0	0	0	ចំហរ
akin	0	0	0	0	0	0	0	0	0	1	ដូចគ្នា
alabaster	0	0	0	0	0	0	1	0	0	0	alabaster
alarm	0	0	0	1	0	1	0	0	1	0	សំឡេងរោទិ៍
alarming	0	0	0	1	0	1	0	0	1	0	ការ​ប្រកាស​អាសន្ន
alb	0	0	0	0	0	0	0	0	0	1	អាល់ប
album	0	0	0	0	0	0	0	0	0	0	អាល់ប៊ុម
alchemy	0	0	0	0	0	0	0	0	0	0	ជាតិអាល់កុល
alcohol	0	0	0	0	0	0	0	0	0	0	ជាតិអាល់កុល
alcoholism	1	0	1	1	0	1	0	1	0	0	ការសេពគ្រឿងស្រវឹង
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	ដាស់តឿន
alertness	0	1	0	1	0	0	1	0	1	0	ការប្រុងប្រយ័ត្ន
alerts	0	1	0	1	0	0	0	0	1	0	ការជូនដំណឹង
alfalfa	0	0	0	0	0	0	0	0	0	0	អាល់ហ្វាហ្វា
algebra	0	0	0	0	0	0	0	0	0	0	ពិជគណិត
algebraic	0	0	0	0	0	0	0	0	0	0	ពិជគណិត
algorithm	0	0	0	0	0	0	0	0	0	0	ក្បួនដោះស្រាយ
alibi	0	0	0	0	0	0	0	0	0	0	អាលីប៊ី
alien	0	0	1	1	0	1	0	0	0	0	ជនបរទេស
alienate	1	0	1	0	0	1	0	0	0	0	ផ្តាច់ខ្លួន
alienated	0	0	0	0	0	1	0	1	0	0	ដាច់ឆ្ងាយ
alienation	1	0	1	1	0	1	0	1	0	0	ការផ្តាច់ខ្លួន
alight	0	0	0	0	0	0	0	0	0	0	ភ្លើង
aligned	0	0	0	0	0	0	0	0	0	0	តម្រឹម
alignment	0	0	0	0	0	0	0	0	0	0	ការតម្រឹម
alike	0	0	0	0	0	0	0	0	0	0	ដូចគ្នា
alimentation	0	0	0	0	0	0	1	0	0	0	ចំណង់អាហារ
alimony	0	0	0	0	0	1	0	0	0	0	អាហារូបត្ថម្ភ
aliquot	0	0	0	0	0	0	0	0	0	0	អាលីកូ
alive	0	1	0	0	1	0	1	0	0	1	នៅរស់
alkali	0	0	0	0	0	0	0	0	0	0	អាល់កាឡាំង
alkaloids	0	0	0	0	0	0	0	0	0	0	អាល់កាឡូអ៊ីត
allay	0	0	0	0	0	0	1	0	0	0	អាឡៃ
allegation	1	0	0	0	0	1	0	0	0	0	ការចោទប្រកាន់
allege	0	0	0	0	0	1	0	0	0	0	ចោទប្រកាន់
alleged	0	0	0	0	0	0	0	0	0	0	ចោទប្រកាន់
allegiance	0	0	0	0	0	0	1	0	0	1	ភក្តីភាព
allegorical	0	0	0	0	0	0	0	0	0	0	ភូតភរ
allegory	0	0	0	0	0	0	0	0	0	0	allegory
allegro	0	0	0	0	0	0	1	0	0	0	Allegro
alleviate	0	0	0	0	0	0	1	0	0	0	បន្ធូរបន្ថយ
alleviation	0	0	0	0	0	0	1	0	0	0	ការធូរស្រាល
alley	0	0	0	0	0	0	0	0	0	0	ផ្លូវដើរ
alliance	0	0	0	0	0	0	0	0	0	1	សម្ព័ន្ធភាព
allied	0	0	0	0	0	0	1	0	0	1	សម្ព័ន្ធមិត្ត
