English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Polish Word
advisable	0	0	0	0	0	0	1	0	0	1	wskazany
advise	0	0	0	0	0	0	1	0	0	1	radzić
advised	0	0	0	0	0	0	0	0	0	1	rozmyślny
advisement	0	0	0	0	0	0	0	0	0	0	doradztwo
adviser	0	0	0	0	0	0	1	0	0	1	doradca
advocacy	1	1	0	0	1	0	1	0	0	1	rzecznictwo
advocate	0	0	0	0	0	0	0	0	0	1	rzecznik
aegis	0	0	0	0	0	0	0	0	0	0	egida
aeration	0	0	0	0	0	0	0	0	0	0	napowietrzanie
aerial	0	0	0	0	0	0	0	0	0	0	antenowy
aerodrome	0	0	0	0	0	0	0	0	0	0	lotnisko
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamika
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautyka
aeroplane	0	0	0	0	0	0	0	0	0	0	samolot
aesthetic	0	0	0	0	0	0	1	0	0	0	estetyka
aesthetics	0	0	0	0	1	0	1	0	0	0	estetyka
aetiology	0	0	0	0	0	0	0	0	0	0	etiologia
afar	0	0	0	0	0	0	0	0	0	0	daleko
affable	0	0	0	0	0	0	1	0	0	0	uprzejmy
affair	0	0	0	0	0	0	0	0	0	0	romans
affecting	0	0	0	0	0	0	0	0	0	0	wpływający
affection	0	0	0	0	1	0	1	0	0	1	sympatia
affections	0	0	0	0	0	0	0	0	0	0	uczucia
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	oświadczenie pod przysięgą
affiliated	0	0	0	0	0	0	1	0	0	0	stowarzyszony
affiliation	0	0	0	0	0	0	0	0	0	0	przynależność
affinity	0	0	0	0	0	0	0	0	0	0	podobieństwo
affirm	0	0	0	0	0	0	1	0	0	1	potwierdzać
affirmation	0	0	0	0	0	0	1	0	0	0	afirmacja
affirmative	0	0	0	0	0	0	1	0	0	0	twierdzący
affirmatively	0	0	0	0	0	0	1	0	0	1	afirmatywnie
affix	0	0	0	0	0	0	0	0	0	0	afiks
afflict	0	0	0	1	0	1	0	1	0	0	dotknąć
afflicted	0	0	0	0	0	1	0	0	0	0	cierpiący
affliction	0	0	1	1	0	1	0	1	0	0	cierpienie
affluence	0	0	0	0	1	0	1	0	0	0	zamożność
affluent	0	0	0	0	0	0	1	0	0	0	zamożny
afford	0	0	0	0	0	0	1	0	0	0	pozwalać
affront	1	0	1	1	0	1	0	1	1	0	afront
afield	0	0	0	0	0	0	0	0	0	0	w polu
afore	0	0	0	0	0	0	0	0	0	0	przedtem
aforementioned	0	0	0	0	0	0	0	0	0	0	wyżej wymieniony
aforesaid	0	0	0	0	0	0	0	0	0	0	wyżej wymieniony
afraid	0	0	0	1	0	1	0	0	0	0	przestraszony
afresh	0	0	0	0	0	0	0	0	0	0	na nowo
aft	0	0	0	0	0	0	0	0	0	0	na rufie
aftermath	1	0	1	1	0	1	0	1	0	0	następstwa
afternoon	0	0	0	0	0	0	0	0	0	0	wieczór
aftertaste	0	0	0	0	0	1	0	0	0	0	posmak
afterthought	0	0	0	0	0	0	0	0	0	0	refleksja
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agat
age	0	0	0	0	0	0	0	0	0	0	wiek
aged	0	0	0	0	0	0	0	0	0	0	w wieku
agency	0	0	0	0	0	0	0	0	0	0	agencja
agent	0	0	0	0	0	0	0	0	0	0	agent
agglomeration	0	0	0	0	0	0	0	0	0	0	aglomeracja
aggravated	1	0	0	0	0	1	0	0	0	0	pogorszony
aggravating	1	0	0	0	0	1	0	1	0	0	obciążający
aggravation	1	0	1	0	0	1	0	0	0	0	pogorszenie
aggregate	0	0	0	0	0	0	0	0	0	0	agregat
aggregation	0	0	0	0	0	0	0	0	0	0	zbiór
aggression	1	0	0	1	0	1	0	0	0	0	agresja
aggressive	1	0	0	1	0	1	0	0	0	0	agresywny
aggressor	1	0	0	1	0	1	0	0	0	0	agresor
aghast	0	0	1	1	0	1	0	0	1	0	przerażony
agile	0	0	0	0	0	0	1	0	0	0	zręczny
agility	0	0	0	0	0	0	1	0	0	0	zwinność
agitated	1	0	0	0	0	1	0	0	0	0	wstrząśnięty
agitation	1	0	0	0	0	1	0	0	0	0	podniecenie
agnostic	0	0	0	0	0	0	0	0	0	0	agnostyk
ago	0	0	0	0	0	0	0	0	0	0	temu
agonizing	0	0	0	1	0	1	0	0	0	0	bolesny
agony	1	0	0	1	0	1	0	1	0	0	agonia
agree	0	0	0	0	0	0	1	0	0	0	Zgodzić się
agreeable	0	0	0	0	0	0	1	0	0	1	przyjemny
agreed	0	0	0	0	0	0	1	0	0	1	Zgoda
agreeing	0	0	0	0	0	0	1	0	0	1	zgadzając się
agreement	0	0	0	0	0	0	1	0	0	1	umowa
agricultural	0	0	0	0	0	0	0	0	0	0	rolniczy
agriculture	0	0	0	0	0	0	1	0	0	0	rolnictwo
aground	0	0	0	0	0	1	0	0	0	0	na mieliźnie
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	dalej
aid	0	0	0	0	0	0	1	0	0	0	pomoc
aiding	0	0	0	0	0	0	1	0	0	0	pomoc
ail	0	0	0	0	0	1	0	1	0	0	chorować
ailing	0	0	0	1	0	1	0	1	0	0	schorowany
ailment	0	0	0	0	0	0	0	0	0	0	dolegliwość
aim	0	0	0	0	0	0	0	0	0	0	cel
aimless	0	0	0	0	0	1	0	0	0	0	bezcelowy
air	0	0	0	0	0	0	0	0	0	0	powietrze
airbag	0	0	0	0	0	0	0	0	0	0	poduszka powietrzna
airlift	0	0	0	0	0	0	0	0	0	0	most lotniczy
airline	0	0	0	0	0	0	0	0	0	0	linia lotnicza
airman	0	0	0	0	0	0	0	0	0	0	lotnik
airplane	0	0	0	0	0	0	0	0	0	0	samolot
airport	0	1	0	0	0	0	0	0	0	0	Lotnisko
airs	0	0	1	0	0	1	0	0	0	0	wietrzy
airship	0	0	0	0	0	0	0	0	0	0	sterowiec
aisle	0	0	0	0	0	0	0	0	0	0	nawa
ait	0	0	0	0	0	0	0	0	0	0	wysepka
ajar	0	0	0	0	0	0	0	0	0	0	uchylony
akin	0	0	0	0	0	0	0	0	0	1	pokrewny
alabaster	0	0	0	0	0	0	1	0	0	0	alabaster
alarm	0	0	0	1	0	1	0	0	1	0	alarm
alarming	0	0	0	1	0	1	0	0	1	0	niepokojące
alb	0	0	0	0	0	0	0	0	0	1	alba
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alchemia
alcohol	0	0	0	0	0	0	0	0	0	0	alkohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholizm
alcove	0	0	0	0	0	0	0	0	0	0	alkierz
alert	0	0	0	0	0	0	0	0	0	0	alarm
alertness	0	1	0	1	0	0	1	0	1	0	czujność
alerts	0	1	0	1	0	0	0	0	1	0	alerty
alfalfa	0	0	0	0	0	0	0	0	0	0	lucerna
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraiczny
algorithm	0	0	0	0	0	0	0	0	0	0	algorytm
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	obcy
alienate	1	0	1	0	0	1	0	0	0	0	zrazić
alienated	0	0	0	0	0	1	0	1	0	0	wyobcowany
alienation	1	0	1	1	0	1	0	1	0	0	alienacja
alight	0	0	0	0	0	0	0	0	0	0	wysiadać
aligned	0	0	0	0	0	0	0	0	0	0	wyrównany
alignment	0	0	0	0	0	0	0	0	0	0	wyrównanie
alike	0	0	0	0	0	0	0	0	0	0	zarówno
alimentation	0	0	0	0	0	0	1	0	0	0	wyżywienie
alimony	0	0	0	0	0	1	0	0	0	0	alimenty
aliquot	0	0	0	0	0	0	0	0	0	0	podwielokrotność
alive	0	1	0	0	1	0	1	0	0	1	żywy
alkali	0	0	0	0	0	0	0	0	0	0	alkalia
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloidy
allay	0	0	0	0	0	0	1	0	0	0	uspokajać
allegation	1	0	0	0	0	1	0	0	0	0	zarzut
allege	0	0	0	0	0	1	0	0	0	0	twierdzić
alleged	0	0	0	0	0	0	0	0	0	0	rzekomy
allegiance	0	0	0	0	0	0	1	0	0	1	wierność
allegorical	0	0	0	0	0	0	0	0	0	0	alegoryczny
allegory	0	0	0	0	0	0	0	0	0	0	alegoria
allegro	0	0	0	0	0	0	1	0	0	0	Allegro
alleviate	0	0	0	0	0	0	1	0	0	0	łagodzić
alleviation	0	0	0	0	0	0	1	0	0	0	ulga
alley	0	0	0	0	0	0	0	0	0	0	aleja
alliance	0	0	0	0	0	0	0	0	0	1	Sojusz
allied	0	0	0	0	0	0	1	0	0	1	sprzymierzony
alligator	0	0	0	0	0	0	0	0	0	0	aligator
allocate	0	0	0	0	0	0	0	0	0	0	przeznaczyć
allocation	0	0	0	0	0	0	0	0	0	0	przydział
allot	0	0	0	0	0	0	0	0	0	0	przydzielać
allotment	0	0	0	0	0	0	0	0	0	0	przydział
allowable	0	0	0	0	0	0	1	0	0	0	dopuszczalne
allowance	0	0	0	0	0	0	0	0	0	0	dodatek
allowed	0	0	0	0	0	0	0	0	0	0	dozwolony
alloy	0	0	0	0	0	0	0	0	0	0	stop
allure	0	1	0	0	1	0	1	0	1	0	wabić
alluring	0	0	0	0	0	0	1	0	0	0	pociągający
allusion	0	0	0	0	0	0	0	0	0	0	aluzja
alluvial	0	0	0	0	0	0	0	0	0	0	aluwialny
ally	0	0	0	0	0	0	1	0	0	1	sprzymierzyć
almanac	0	0	0	0	0	0	0	0	0	0	almanach
almighty	0	0	0	0	0	0	1	0	0	0	wszechmocny
aloft	0	0	0	0	0	0	0	0	0	0	wysoko
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	wzdłuż
aloof	0	0	0	0	0	1	0	0	0	0	z dala
aloud	0	0	0	0	0	0	0	0	0	0	głośno
alphabet	0	0	0	0	0	0	0	0	0	0	alfabet
alphabetical	0	0	0	0	0	0	0	0	0	0	alfabetyczny
altar	0	0	0	0	0	0	0	0	0	0	ołtarz
alter	0	0	0	0	0	0	0	0	0	0	zmieniać
alteration	0	0	0	0	0	0	0	0	0	0	zmiana
altercation	1	0	0	0	0	1	0	0	0	0	sprzeczka
altered	0	0	0	0	0	0	0	0	0	0	zmieniony
alternate	0	0	0	0	0	0	0	0	0	0	alternatywny
alternative	0	0	0	0	0	0	0	0	0	0	alternatywny
altitude	0	0	0	0	0	0	0	0	0	0	Wysokość
alto	0	0	0	0	0	0	0	0	0	0	alt
altogether	0	0	0	0	0	0	0	0	0	0	całkowicie
alumnus	0	0	0	0	0	0	0	0	0	0	absolwent
alveolar	0	0	0	0	0	0	0	0	0	0	pęcherzykowy
amalgam	0	0	0	0	0	0	0	0	0	0	amalgamat
amalgamation	0	0	0	0	0	0	0	0	0	0	połączenie
amass	0	0	0	0	0	0	0	0	0	0	zgromadzić
amateur	0	0	0	0	0	0	0	0	0	0	amator
amaze	0	0	0	0	0	0	0	0	1	0	zadziwiać
amazement	0	0	0	0	0	0	0	0	0	0	zdumienie
amazingly	0	0	0	0	1	0	1	0	1	0	zadziwiająco
ambassador	0	0	0	0	0	0	1	0	0	1	ambasador
amber	0	0	0	0	0	0	0	0	0	0	bursztyn
ambient	0	0	0	0	0	0	0	0	0	0	otoczenia
ambiguity	0	0	0	0	0	0	0	0	0	0	niejasność
ambiguous	0	0	0	0	0	1	0	0	0	0	dwuznaczny
ambit	0	0	0	0	0	0	0	0	0	0	obwód
ambition	0	1	0	0	1	0	1	0	0	1	ambicja
ambitious	0	0	0	0	0	0	0	0	0	0	ambitny
ambulance	0	0	0	1	0	0	0	0	0	1	karetka
ambush	1	0	0	1	0	1	0	0	1	0	zasadzka
ameliorate	0	0	0	0	0	0	1	0	0	0	polepszyć
amen	0	0	0	0	1	0	1	0	0	1	Amen
amenable	0	0	0	0	0	0	1	0	0	0	odpowiedzialny
amend	0	0	0	0	0	0	1	0	0	0	poprawiać
amendment	0	0	0	0	0	0	0	0	0	0	poprawka
amends	0	0	0	0	0	0	1	0	0	0	odszkodowanie
amenity	0	0	0	0	0	0	1	0	0	0	uprzejmość
amethyst	0	0	0	0	0	0	0	0	0	0	ametyst
amiable	0	0	0	0	0	0	1	0	0	0	sympatyczny
amicable	0	0	0	0	1	0	1	0	0	0	przyjazny
amid	0	0	0	0	0	0	0	0	0	0	pośród
amidst	0	0	0	0	0	0	0	0	0	0	wśród
ammonia	0	0	1	0	0	0	0	0	0	0	amoniak
ammunition	0	0	0	0	0	0	0	0	0	0	amunicja
amnesia	0	0	0	0	0	1	0	0	0	0	amnezja
amnesty	0	0	0	0	1	0	1	0	0	0	amnestia
amorphous	0	0	0	0	0	0	0	0	0	0	amorficzny
amortization	0	0	0	0	0	0	0	0	0	1	amortyzacja
amount	0	0	0	0	0	0	0	0	0	0	ilość
amour	0	1	0	0	1	0	1	0	0	1	romans
