English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Myanmar-Burmese Word
abovementioned	0	0	0	0	0	0	1	0	0	0	အထက်ဖော်ပြပါ
abrasion	0	0	0	0	0	1	0	0	0	0	ပွန်းပဲ့ခြင်း။
abroad	0	0	0	0	0	0	0	0	0	0	နိုင်ငံခြားမှာ
abrogate	0	0	0	0	0	1	0	0	0	0	ပယ်ချသည်။
abrupt	0	0	0	0	0	0	0	0	1	0	ရုတ်ခြည်း
abruptly	0	0	0	0	0	0	0	0	0	0	ဆတ်ခနဲ
abscess	0	0	0	0	0	1	0	1	0	0	ပြည်တည်နာ
absence	0	0	0	1	0	1	0	1	0	0	မရှိခြင်း။
absent	0	0	0	0	0	1	0	1	0	0	ပျက်ကွက်
absentee	0	0	0	0	0	1	0	1	0	0	ဝင်ပြီး
absenteeism	0	0	0	0	0	1	0	0	0	0	ပျက်ကွက်ခြင်း။
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	ပကတိ
absolution	0	0	0	0	1	0	1	0	0	1	ဖျက်သိမ်းရေး
absorbed	0	0	0	0	0	0	1	0	0	0	စုပ်ယူသည်။
absorbent	0	0	0	0	0	0	0	0	0	0	စုပ်သည်။
absorbing	0	0	0	0	0	0	0	0	0	0	စုပ်သည်။
absorption	0	0	0	0	0	0	0	0	0	0	စုပ်ယူမှု
abstain	0	0	0	0	0	0	0	0	0	0	ရှောင်ပါ။
abstention	0	0	0	0	0	0	0	0	0	0	ရှောင်ကြဉ်ခြင်း။
abstinence	0	0	0	0	0	0	0	0	0	0	နေကြပြီး၊
abstract	0	0	0	0	0	0	0	0	0	0	စိတ္တဇ
abstraction	0	0	0	0	0	0	0	0	0	0	abstraction
absurd	0	0	0	0	0	1	0	0	0	0	အဓိပ္ပါယ်မဲ့
absurdity	0	0	0	0	0	1	0	0	0	0	အဓိပ္ပာယ်မဲ့
abundance	0	1	1	0	1	1	1	0	0	1	စည်းစိမ်ဥစ္စာ
abundant	0	0	0	0	1	0	1	0	0	0	ပေါများသည်။
abuse	1	0	1	1	0	1	0	1	0	0	အလွဲသုံးစားလုပ်
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	Aby
abysmal	0	0	0	0	0	1	0	1	0	0	ချောက်ချားစရာ
abyss	0	0	0	1	0	1	0	1	0	0	အနက်ဆုံးသောတွင်း
academic	0	0	0	0	0	0	1	0	0	1	ပညာရေး
academy	0	0	0	0	0	0	1	0	0	0	အကယ်ဒမီ
accede	0	0	0	0	0	0	0	0	0	0	အခွင့်ပေးပါ။
accelerate	0	1	0	0	0	0	0	0	0	0	အရှိန်မြှင့်
acceleration	0	0	0	0	0	0	0	0	0	0	အရှိန်
accent	0	0	0	0	0	0	0	0	0	0	လေယူလေသိမ်း
accentuate	0	0	0	0	0	0	0	0	0	0	ပေါ်လွင်စေပါသည်။
accept	0	0	0	0	0	0	0	0	0	0	လက်ခံ
acceptable	0	0	0	0	0	0	1	0	0	0	လက်ခံနိုင်သော
acceptance	0	0	0	0	0	0	1	0	0	0	လက်ခံမှု
access	0	0	0	0	0	0	0	0	0	0	ဝင်ရောက်ခွင့်
accessible	0	0	0	0	0	0	1	0	0	0	ဝင်ရောက်နိုင်သည်။
accession	0	0	0	0	0	0	0	0	0	0	ဝင်ခွင့်
accessory	0	0	0	0	0	0	0	0	0	0	ဆက်စပ်ပစ္စည်း
accident	0	0	0	1	0	1	0	1	1	0	မတော်တဆ
accidental	0	0	0	1	0	1	0	0	1	0	မတော်တဆ
accidentally	0	0	0	0	0	0	0	0	1	0	မတော်တဆ
accolade	0	1	0	0	1	0	1	0	1	1	ချီးကျူးဂုဏ်ပြုခြင်း။
accommodate	0	0	0	0	0	0	0	0	0	0	လိုက်လျောပါ။
accommodation	0	0	0	0	0	0	1	0	0	0	နေရာထိုင်ခင်း
accompaniment	0	1	0	0	1	0	1	0	0	1	ပါကင်
accompany	0	0	0	0	0	0	0	0	0	0	အတူလိုက်ပါ
accompanying	0	0	0	0	0	0	0	0	0	0	နှင့်အတူလိုက်ပါသည်
accomplice	0	0	0	0	0	0	0	0	0	0	ကြံရာမရ
accomplish	0	0	0	0	1	0	1	0	0	0	ပြီးမြောက်
accomplished	0	0	0	0	1	0	1	0	0	0	ပြီးမြောက်သည်။
accomplishment	0	0	0	0	0	0	1	0	0	0	အောင်မြင်မှု
accord	0	0	0	0	0	0	1	0	0	1	အညီ
accordance	0	0	0	0	0	0	0	0	0	0	အညီ
accordion	0	0	0	0	0	0	0	0	0	0	ဘာဂျာ
account	0	0	0	0	0	0	0	0	0	1	အကောင့်
accountability	0	0	0	0	0	0	1	0	0	1	တာဝန်ခံမှု
accountable	0	0	0	0	0	0	1	0	0	1	တာဝန်ခံ
accountant	0	0	0	0	0	0	0	0	0	1	စာရင်းကိုင်
accounting	0	0	0	0	0	0	0	0	0	0	စာရင်းကိုင်
accounts	0	0	0	0	0	0	0	0	0	1	အကောင့်များ
accredited	0	0	0	0	0	0	1	0	0	1	အသိအမှတ်ပြု
accretion	0	0	0	0	0	0	0	0	0	0	ချဲ့ထွင်ခြင်း။
accrue	0	0	0	0	0	0	0	0	0	0	အမြတ်ထွက်
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	စုပြုံ
accumulation	0	0	0	0	0	0	0	0	0	0	စုဆောင်းခြင်း။
accuracy	0	0	0	0	0	0	0	0	0	0	တိကျမှု
accurate	0	0	0	0	0	0	1	0	0	1	တိကျသည်။
accursed	1	0	0	1	0	1	0	1	0	0	ကျိန်ဆဲ
accusation	1	0	1	0	0	1	0	0	0	0	စွပ်စွဲချက်
accusative	0	0	0	0	0	1	0	0	0	0	အစွပ်စွဲ
accused	1	0	0	1	0	1	0	0	0	0	စွပ်စွဲသည်။
accuser	1	0	0	1	0	1	0	0	0	0	စွပ်စွဲသူ
accusing	1	0	0	1	0	1	0	0	0	0	စွပ်စွဲသည်။
accustomed	0	0	0	0	0	0	0	0	0	0	နေသားတကျ
ace	0	0	0	0	0	0	1	0	0	0	အေ့
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	နာကျင်ခြင်း။
achieve	0	0	0	0	1	0	1	0	0	1	အောင်မြင်ရန်
achievement	0	1	0	0	1	0	1	0	0	1	အောင်မြင်မှု
aching	0	0	0	0	0	1	0	1	0	0	နာကျင်ခြင်း။
acid	0	0	0	0	0	1	0	0	0	0	အက်ဆစ်
acidity	0	0	0	0	0	0	0	0	0	0	အချဉ်ဓာတ်
acknowledge	0	0	0	0	0	0	0	0	0	0	အသိအမှတ်ပြုပါ။
acknowledged	0	0	0	0	0	0	0	0	0	0	အသိအမှတ်ပြု
acknowledgment	0	0	0	0	0	0	1	0	0	0	အသိအမှတ်ပြုမှု
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	အသံပိုင်း
acoustics	0	0	0	0	0	0	0	0	0	0	အသံပိုင်းဆိုင်ရာ
acquaint	0	0	0	0	0	0	0	0	0	0	အသိမိတ်ဆွေ
acquaintance	0	0	0	0	0	0	0	0	0	0	အသိမိတ်ဆွေ
acquainted	0	0	0	0	0	0	0	0	0	0	သိကျွမ်းသည်။
acquiescence	0	0	0	0	0	0	0	0	0	0	တတ်မြောက်မှု
acquire	0	0	0	0	0	0	1	0	0	0	ဆည်းပူး
acquiring	0	1	0	0	0	0	1	0	0	0	ကလေးလည်းရှိတယ်။
acquisition	0	0	0	0	0	0	0	0	0	0	မှီး
acquisitions	0	0	0	0	0	0	0	0	0	0	ဝယ်ယူမှုများ
acreage	0	0	0	0	0	0	0	0	0	0	စိုက်ဧက
acres	0	0	0	0	0	0	0	0	0	0	ဧက
acrobat	0	0	0	1	1	0	1	0	0	1	ကာယဗလ
act	0	0	0	0	0	0	0	0	0	0	လုပ်ရပ်
acting	0	0	0	0	0	0	0	0	0	0	သရုပ်ဆောင်
action	0	0	0	0	0	0	1	0	0	0	လုပ်ဆောင်ချက်
actionable	1	0	1	0	0	1	0	0	0	0	အရေးယူနိုင်သော
active	0	0	0	0	0	0	0	0	0	0	တက်ကြွသော
activity	0	0	0	0	0	0	0	0	0	0	လှုပ်ရှားမှု
actor	0	0	0	0	0	0	0	0	0	0	သရုပ်ဆောင်
actual	0	0	0	0	0	0	1	0	0	0	အမှန်တကယ်
actuality	0	0	0	0	0	0	0	0	0	0	လက်တွေ့ဘဝ
actuary	0	0	0	0	0	0	0	0	0	0	Actuary
acuity	0	0	0	0	0	0	1	0	0	0	acuity
acumen	0	0	0	0	0	0	1	0	0	0	ပါးရည်နပ်ရည်
acupuncture	0	0	0	0	0	0	0	0	0	0	အပ်စိုက်ကုထုံး
acutely	0	0	0	0	0	0	0	0	0	0	ပြင်းပြင်းထန်ထန်
adage	0	0	0	0	0	0	0	0	0	0	ဆိုရိုးစကား
adamant	0	0	0	0	0	0	0	0	0	0	သန်မာသော
adapt	0	0	0	0	0	0	1	0	0	0	လိုက်လျောညီထွေဖြစ်အောင်
adaptable	0	0	0	0	0	0	1	0	0	0	အချက်နဲ့
add	0	0	0	0	0	0	0	0	0	0	ထည့်ပါ။
added	0	0	0	0	0	0	0	0	0	0	ထပ်ပြောသည်။
addendum	0	0	0	0	0	0	0	0	0	0	နောက်ဆက်တွဲ
adder	1	0	1	1	0	1	0	1	0	0	adder
addiction	0	0	0	0	0	1	0	0	0	0	စွဲလမ်းခြင်း။
addition	0	0	0	0	0	0	0	0	0	0	ထပ်လောင်း
additional	0	0	0	0	0	0	0	0	0	0	အပိုဆောင်း
additive	0	0	0	0	0	0	0	0	0	0	ထပ်လောင်း
address	0	0	0	0	0	0	0	0	0	0	လိပ်စာ
addressee	0	0	0	0	0	0	0	0	0	0	လိပ်စာပေးသူ
addresses	0	1	0	0	0	0	1	0	0	0	လိပ်စာများ
adept	0	0	0	0	0	0	1	0	0	0	ကျွမ်းကျင်
adequacy	0	0	0	0	0	0	1	0	0	0	လုံလောက်မှု
adequate	0	0	0	0	0	0	0	0	0	0	လုံလောက်ပါတယ်။
adhere	0	0	0	0	0	0	0	0	0	0	လိုက်နာ
adherence	0	0	0	0	0	0	0	0	0	0	လိုက်နာမှု
adherent	0	0	0	0	0	0	0	0	0	0	မှီဝဲ
adhering	0	0	0	0	0	0	0	0	0	1	စွဲစွဲမြဲမြဲ
adhesion	0	0	0	0	0	0	0	0	0	0	adhesion
adhesive	0	0	0	0	0	0	0	0	0	0	ကော်
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	ကပ်လျက်
adjacent	0	0	0	0	0	0	0	0	0	0	ကပ်လျက်
adjective	0	0	0	0	0	0	0	0	0	0	နာမဝိသေသန
adjoining	0	0	0	0	0	0	0	0	0	0	ကပ်လျှက်
adjourn	0	0	0	0	0	0	0	0	0	0	ခေတ္တရပ်နား
adjournment	0	0	0	0	0	0	0	0	0	0	ခေတ္တရပ်နားခြင်း။
adjudicate	0	0	0	1	0	1	0	0	0	0	တရားစီရင်သည်။
adjudication	0	0	0	0	0	0	0	0	0	0	တရားစီရင်ရေး
adjunct	0	0	0	0	0	0	1	0	0	0	နောက်ဆက်တွဲ
adjust	0	0	0	0	0	0	0	0	0	0	ညှိ
adjustment	0	0	0	0	0	0	0	0	0	0	ညှိနှိုင်းမှု
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	စီမံပါ။
administration	0	0	0	0	0	0	0	0	0	0	အုပ်ချုပ်ရေး
administrative	0	0	0	0	0	0	0	0	0	1	အုပ်ချုပ်ရေး
admirable	0	0	0	0	1	0	1	0	0	1	လေးစားဖွယ်
admiral	0	0	0	0	0	0	1	0	0	1	ရေတပ်ဗိုလ်ချုပ်
admiralty	0	0	0	0	0	0	0	0	0	0	ဗိုလ်ချုပ်မှူးကြီး
admiration	0	0	0	0	1	0	1	0	0	1	လေးစားမှု
admire	0	0	0	0	0	0	1	0	0	1	မြတ်နိုး
admirer	0	0	0	0	0	0	1	0	0	0	အထင်ကြီးသူ
admissibility	0	0	0	0	0	0	0	0	0	0	ဝင်ခွင့်
admissible	0	0	0	0	0	0	1	0	0	1	ဘောင်ဝင်သည်။
admission	0	0	0	0	0	0	0	0	0	0	ဝင်ခွင့်
admit	0	0	0	0	0	0	0	0	0	0	ဝန်ခံပါ။
admittance	0	0	0	0	0	0	0	0	0	0	ဝင်ခွင့်
admitted	0	0	0	0	0	0	0	0	0	0	ဝန်ခံခဲ့သည်။
admitting	0	0	0	0	0	0	0	0	0	0	ဝန်ခံသည်။
admixture	0	0	0	0	0	0	0	0	0	0	အရောအနှော
admonition	0	0	0	1	0	1	0	0	0	0	သတိပေးချက်
ado	0	0	0	0	0	0	0	0	0	0	သဲသဲ
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	မြီးကောင်ပေါက်အရွယ်
adolescent	0	0	0	0	0	0	0	0	0	0	ဆယ်ကျော်သက်
adopt	0	0	0	0	0	0	0	0	0	0	လက်ခံသည်။
adoption	0	0	0	0	0	0	0	0	0	0	မွေးစားခြင်း။
adorable	0	0	0	0	1	0	1	0	0	0	ချစ်စရာကောင်းသော
adoration	0	0	0	0	1	0	1	0	0	1	မြတ်နိုးခြင်း
adore	0	1	0	0	1	0	1	0	0	1	ချစ်သည်။
adorn	0	0	0	0	0	0	0	0	0	0	ပန်ဆင်သည်။
adornment	0	0	0	0	0	0	0	0	0	0	အလှဆင်ခြင်း။
adrift	0	1	0	1	0	1	0	1	0	0	မျောပါ
adult	0	0	0	0	0	0	0	0	0	0	လူကြီး
adulterated	0	0	0	0	0	1	0	0	0	0	မသမာသော
adultery	0	0	1	0	0	1	0	1	0	0	အိမ်ထောင်ရေးဖောက်ပြန်မှု
advance	0	1	0	1	1	0	1	0	1	0	ကြိုတင်
advanced	0	0	0	0	0	0	1	0	0	0	အဆင့်မြင့်
advancement	0	0	0	0	0	0	1	0	0	0	တိုးတက်မှု
advancing	0	0	0	0	0	0	0	0	0	0	တိုးတက်မှု
advantage	0	0	0	0	0	0	1	0	0	0	အားသာချက်
advantageous	0	0	0	0	0	0	1	0	0	0	အားသာချက်
advent	0	1	0	0	1	0	1	0	0	1	ထွန်းကားသည်။
adventure	0	1	0	0	0	0	1	0	0	0	စွန့်စားမှု
adventurer	0	0	0	0	0	0	0	0	0	0	စွန့်စားသူ
adventurous	0	0	0	0	0	0	1	0	0	0	စွန့်စားခန်း
adversary	1	0	0	0	0	1	0	0	0	0	ရန်သူ
adverse	1	0	1	1	0	1	0	1	0	0	ဆိုးရွားသော
adversity	1	0	0	1	0	1	0	1	0	0	ဒုက္ခ
advertise	0	0	0	0	0	0	0	0	0	0	ကြော်ငြာပါ။
advertisement	0	0	0	0	0	0	0	0	0	0	ကြော်ငြာ
advice	0	0	0	0	0	0	0	0	0	1	အကြံဉာဏ်
advisable	0	0	0	0	0	0	1	0	0	1	အကြံပြုလိုပါတယ်။
advise	0	0	0	0	0	0	1	0	0	1	အကြံပေး
advised	0	0	0	0	0	0	0	0	0	1	အကြံပြုထားသည်။
advisement	0	0	0	0	0	0	0	0	0	0	အကြံပေးချက်
adviser	0	0	0	0	0	0	1	0	0	1	အကြံပေး
advocacy	1	1	0	0	1	0	1	0	0	1	စည်းရုံးရေး
advocate	0	0	0	0	0	0	0	0	0	1	ထောက်ခံသူ
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	လေဝင်လေထွက်
aerial	0	0	0	0	0	0	0	0	0	0	ဝေဟင်
aerodrome	0	0	0	0	0	0	0	0	0	0	လေယဉ်ကွင်း
aerodynamics	0	0	0	0	0	0	0	0	0	0	လေခွင်းအား
aeronautics	0	0	0	0	0	0	0	0	0	0	လေကြောင်းပညာ
aeroplane	0	0	0	0	0	0	0	0	0	0	လေယာဉ်
aesthetic	0	0	0	0	0	0	1	0	0	0	ဗေဒ
aesthetics	0	0	0	0	1	0	1	0	0	0	ဗေဒ
aetiology	0	0	0	0	0	0	0	0	0	0	ဇီဝဗေဒပညာ
afar	0	0	0	0	0	0	0	0	0	0	အဝေး
affable	0	0	0	0	0	0	1	0	0	0	တတ်နိုင်သော
affair	0	0	0	0	0	0	0	0	0	0	အရေး
affecting	0	0	0	0	0	0	0	0	0	0	ထိခိုက်သည်။
affection	0	0	0	0	1	0	1	0	0	1	ချစ်ခင်မှု
affections	0	0	0	0	0	0	0	0	0	0	ချစ်ခင်မှု
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	ကျမ်းကျိန်လွှာ
affiliated	0	0	0	0	0	0	1	0	0	0	တွဲဖက်
affiliation	0	0	0	0	0	0	0	0	0	0	ဆက်နွယ်မှု
affinity	0	0	0	0	0	0	0	0	0	0	ရင်းနှီးမှု
affirm	0	0	0	0	0	0	1	0	0	1	အတည်ပြုပါ။
affirmation	0	0	0	0	0	0	1	0	0	0	ကတိသစ္စာပြုခြင်း။
affirmative	0	0	0	0	0	0	1	0	0	0	အခိုင်အမာ
affirmatively	0	0	0	0	0	0	1	0	0	1	အခိုင်အမာ
affix	0	0	0	0	0	0	0	0	0	0	affix
afflict	0	0	0	1	0	1	0	1	0	0	ညှဉ်းဆဲခြင်း။
afflicted	0	0	0	0	0	1	0	0	0	0	ငြိုငြင်
affliction	0	0	1	1	0	1	0	1	0	0	ဒုက္ခ
affluence	0	0	0	0	1	0	1	0	0	0	စည်းစိမ်ဥစ္စာ
affluent	0	0	0	0	0	0	1	0	0	0	ချမ်းသာသည်။
afford	0	0	0	0	0	0	1	0	0	0	တတ်နိုင်ပါတယ်။
affront	1	0	1	1	0	1	0	1	1	0	မထီမဲ့မြင်ပြုခြင်း။
afield	0	0	0	0	0	0	0	0	0	0	လယ်ကွင်း
afore	0	0	0	0	0	0	0	0	0	0	ရှေ့မှာ
aforementioned	0	0	0	0	0	0	0	0	0	0	အထက်ဖော်ပြပါ
aforesaid	0	0	0	0	0	0	0	0	0	0	ကြိုပြောထားသည်။
afraid	0	0	0	1	0	1	0	0	0	0	ကြောက်တယ်။
afresh	0	0	0	0	0	0	0	0	0	0	အသစ်
aft	0	0	0	0	0	0	0	0	0	0	အနောက်
aftermath	1	0	1	1	0	1	0	1	0	0	နောက်ဆက်တွဲ
afternoon	0	0	0	0	0	0	0	0	0	0	နေ့လည်
aftertaste	0	0	0	0	0	1	0	0	0	0	အရသာ
afterthought	0	0	0	0	0	0	0	0	0	0	ရူပါ
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	အသက်
aged	0	0	0	0	0	0	0	0	0	0	အသက်ကြီးပြီ။
agency	0	0	0	0	0	0	0	0	0	0	အေဂျင်စီ
agent	0	0	0	0	0	0	0	0	0	0	အေးဂျင့်
agglomeration	0	0	0	0	0	0	0	0	0	0	စုစည်းမှု
aggravated	1	0	0	0	0	1	0	0	0	0	ပိုဆိုးလာသည်။
aggravating	1	0	0	0	0	1	0	1	0	0	ပိုဆိုးသည်။
aggravation	1	0	1	0	0	1	0	0	0	0	ပိုဆိုးသည်။
aggregate	0	0	0	0	0	0	0	0	0	0	ဒီလောက်ဆိုရင်
aggregation	0	0	0	0	0	0	0	0	0	0	စုစည်းမှု
aggression	1	0	0	1	0	1	0	0	0	0	ရန်လိုခြင်း။
aggressive	1	0	0	1	0	1	0	0	0	0	ပြင်းထန်သော
aggressor	1	0	0	1	0	1	0	0	0	0	ရန်လိုသူ
aghast	0	0	1	1	0	1	0	0	1	0	စိတ်ဆိုး
agile	0	0	0	0	0	0	1	0	0	0	သွက်လက်
agility	0	0	0	0	0	0	1	0	0	0	သွက်လက်
agitated	1	0	0	0	0	1	0	0	0	0	တုန်လှုပ်သွားသည်။
agitation	1	0	0	0	0	1	0	0	0	0	စိတ်လှုပ်ရှားမှု
agnostic	0	0	0	0	0	0	0	0	0	0	ဘာသာမဲ့
ago	0	0	0	0	0	0	0	0	0	0	လွန်ခဲ့သော
agonizing	0	0	0	1	0	1	0	0	0	0	နာကျင်ခြင်း။
agony	1	0	0	1	0	1	0	1	0	0	ဝေဒနာကို
agree	0	0	0	0	0	0	1	0	0	0	သဘောတူသည်။
agreeable	0	0	0	0	0	0	1	0	0	1	နှစ်သက်ဖွယ်
agreed	0	0	0	0	0	0	1	0	0	1	သဘောတူသည်။
agreeing	0	0	0	0	0	0	1	0	0	1	သဘောတူသည်။
agreement	0	0	0	0	0	0	1	0	0	1	သဘောတူညီချက်
agricultural	0	0	0	0	0	0	0	0	0	0	စိုက်ပျိုးရေး
agriculture	0	0	0	0	0	0	1	0	0	0	စိုက်ပျိုးရေး
aground	0	0	0	0	0	1	0	0	0	0	သောင်
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	ရှေ့သို့
aid	0	0	0	0	0	0	1	0	0	0	အကူအညီ
aiding	0	0	0	0	0	0	1	0	0	0	ကူညီဆောင်ရွက်ပေးခြင်း။
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	နာမကျန်း
ailment	0	0	0	0	0	0	0	0	0	0	ဝေဒနာ
aim	0	0	0	0	0	0	0	0	0	0	ရည်မှန်းချက်
aimless	0	0	0	0	0	1	0	0	0	0	ရည်ရွယ်ချက်မဲ့
air	0	0	0	0	0	0	0	0	0	0	လေ
airbag	0	0	0	0	0	0	0	0	0	0	လေအိတ်
airlift	0	0	0	0	0	0	0	0	0	0	လေယာဉ်ပျံ
airline	0	0	0	0	0	0	0	0	0	0	လေကြောင်းလိုင်း
airman	0	0	0	0	0	0	0	0	0	0	လေယာဉ်မှူး
airplane	0	0	0	0	0	0	0	0	0	0	လေယာဉ်
airport	0	1	0	0	0	0	0	0	0	0	လေဆိပ်
airs	0	0	1	0	0	1	0	0	0	0	လေ
airship	0	0	0	0	0	0	0	0	0	0	လေယာဉ်
aisle	0	0	0	0	0	0	0	0	0	0	အတန်း
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ဟွာ
akin	0	0	0	0	0	0	0	0	0	1	ဆင်ဆင်တူသော
alabaster	0	0	0	0	0	0	1	0	0	0	ကျောက်ဖြူ
alarm	0	0	0	1	0	1	0	0	1	0	နှိုးစက်
alarming	0	0	0	1	0	1	0	0	1	0	ထိတ်လန့်စရာ
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	အခွေ
alchemy	0	0	0	0	0	0	0	0	0	0	အဂ္ဂိရတ်ပညာ
alcohol	0	0	0	0	0	0	0	0	0	0	အရက်
alcoholism	1	0	1	1	0	1	0	1	0	0	အရက်စွဲခြင်း။
alcove	0	0	0	0	0	0	0	0	0	0	ခြံ
alert	0	0	0	0	0	0	0	0	0	0	သတိပေးချက်
alertness	0	1	0	1	0	0	1	0	1	0	နိုးကြားမှု
alerts	0	1	0	1	0	0	0	0	1	0	သတိပေးချက်များ
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	အက္ခရာသင်္ချာ
algebraic	0	0	0	0	0	0	0	0	0	0	အက္ခရာသင်္ချာ
algorithm	0	0	0	0	0	0	0	0	0	0	algorithm
alibi	0	0	0	0	0	0	0	0	0	0	အလီဘီ
alien	0	0	1	1	0	1	0	0	0	0	ဂြိုလ်သား
alienate	1	0	1	0	0	1	0	0	0	0	ကင်းကွာ
alienated	0	0	0	0	0	1	0	1	0	0	ကင်းကွာ
alienation	1	0	1	1	0	1	0	1	0	0	ဖယ်ကြဉ်ခြင်း
alight	0	0	0	0	0	0	0	0	0	0	အလင်း
aligned	0	0	0	0	0	0	0	0	0	0	ညှိထားသည်။
alignment	0	0	0	0	0	0	0	0	0	0	alignment
alike	0	0	0	0	0	0	0	0	0	0	အတူတူပါပဲ။
alimentation	0	0	0	0	0	0	1	0	0	0	အရသာခံခြင်း။
alimony	0	0	0	0	0	1	0	0	0	0	စားစရိတ်
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	အသက်ရှင်လျက်
alkali	0	0	0	0	0	0	0	0	0	0	အယ်ကာလီ
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloids
allay	0	0	0	0	0	0	1	0	0	0	သက်သာ
allegation	1	0	0	0	0	1	0	0	0	0	စွပ်စွဲချက်
allege	0	0	0	0	0	1	0	0	0	0	စွတ်စွဲသည်။
alleged	0	0	0	0	0	0	0	0	0	0	စွပ်စွဲသည်။
allegiance	0	0	0	0	0	0	1	0	0	1	သစ္စာရှိမှု
allegorical	0	0	0	0	0	0	0	0	0	0	ပြိုင်တူ
