English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Urdu Word
absolute	0	0	0	0	0	0	1	0	0	0	مطلق
absolution	0	0	0	0	1	0	1	0	0	1	معافی
absorbed	0	0	0	0	0	0	1	0	0	0	جذب
absorbent	0	0	0	0	0	0	0	0	0	0	جاذب
absorbing	0	0	0	0	0	0	0	0	0	0	جذب کرنے والا
absorption	0	0	0	0	0	0	0	0	0	0	جذب
abstain	0	0	0	0	0	0	0	0	0	0	پرہیز
abstention	0	0	0	0	0	0	0	0	0	0	پرہیز
abstinence	0	0	0	0	0	0	0	0	0	0	پرہیز
abstract	0	0	0	0	0	0	0	0	0	0	خلاصہ
abstraction	0	0	0	0	0	0	0	0	0	0	تجری
absurd	0	0	0	0	0	1	0	0	0	0	مضحکہ خیز
absurdity	0	0	0	0	0	1	0	0	0	0	بیہودگی
abundance	0	1	1	0	1	1	1	0	0	1	کثرت
abundant	0	0	0	0	1	0	1	0	0	0	وافر
abuse	1	0	1	1	0	1	0	1	0	0	بدسلوکی
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	ابی
abysmal	0	0	0	0	0	1	0	1	0	0	غیر معمولی
abyss	0	0	0	1	0	1	0	1	0	0	abyss
academic	0	0	0	0	0	0	1	0	0	1	تعلیمی
academy	0	0	0	0	0	0	1	0	0	0	اکیڈمی
accede	0	0	0	0	0	0	0	0	0	0	تسلیم کرنا
accelerate	0	1	0	0	0	0	0	0	0	0	تیز کرنا
acceleration	0	0	0	0	0	0	0	0	0	0	ایکسلریشن
accent	0	0	0	0	0	0	0	0	0	0	لہجہ
accentuate	0	0	0	0	0	0	0	0	0	0	زور دینا
accept	0	0	0	0	0	0	0	0	0	0	قبول کریں
acceptable	0	0	0	0	0	0	1	0	0	0	قابل قبول
acceptance	0	0	0	0	0	0	1	0	0	0	قبولیت
access	0	0	0	0	0	0	0	0	0	0	رسائی
accessible	0	0	0	0	0	0	1	0	0	0	قابل رسائی
accession	0	0	0	0	0	0	0	0	0	0	الحاق
accessory	0	0	0	0	0	0	0	0	0	0	لوازمات
accident	0	0	0	1	0	1	0	1	1	0	حادثہ
accidental	0	0	0	1	0	1	0	0	1	0	حادثاتی
accidentally	0	0	0	0	0	0	0	0	1	0	اتفاقی طور پر
accolade	0	1	0	0	1	0	1	0	1	1	تعریف
accommodate	0	0	0	0	0	0	0	0	0	0	ایڈجسٹ
accommodation	0	0	0	0	0	0	1	0	0	0	رہائش
accompaniment	0	1	0	0	1	0	1	0	0	1	ساتھ
accompany	0	0	0	0	0	0	0	0	0	0	ساتھ
accompanying	0	0	0	0	0	0	0	0	0	0	ساتھ
accomplice	0	0	0	0	0	0	0	0	0	0	ساتھی
accomplish	0	0	0	0	1	0	1	0	0	0	پورا
accomplished	0	0	0	0	1	0	1	0	0	0	مکمل
accomplishment	0	0	0	0	0	0	1	0	0	0	کامیابی
accord	0	0	0	0	0	0	1	0	0	1	معاہدہ
accordance	0	0	0	0	0	0	0	0	0	0	کے مطابق
accordion	0	0	0	0	0	0	0	0	0	0	accordion
account	0	0	0	0	0	0	0	0	0	1	کھاتہ
accountability	0	0	0	0	0	0	1	0	0	1	احتساب
accountable	0	0	0	0	0	0	1	0	0	1	جوابدہ
accountant	0	0	0	0	0	0	0	0	0	1	اکاؤنٹنٹ
accounting	0	0	0	0	0	0	0	0	0	0	اکاؤنٹنگ
accounts	0	0	0	0	0	0	0	0	0	1	اکاؤنٹس
accredited	0	0	0	0	0	0	1	0	0	1	تسلیم شدہ
accretion	0	0	0	0	0	0	0	0	0	0	اضافہ
accrue	0	0	0	0	0	0	0	0	0	0	جمع کرنا
accueil	0	0	0	0	0	0	1	0	0	0	accuil
accumulate	0	0	0	0	0	0	0	0	0	0	جمع کرنا
accumulation	0	0	0	0	0	0	0	0	0	0	جمع
accuracy	0	0	0	0	0	0	0	0	0	0	درستگی
accurate	0	0	0	0	0	0	1	0	0	1	درست
accursed	1	0	0	1	0	1	0	1	0	0	ملعون
accusation	1	0	1	0	0	1	0	0	0	0	الزام
accusative	0	0	0	0	0	1	0	0	0	0	الزام لگانے والا
accused	1	0	0	1	0	1	0	0	0	0	ملزم
accuser	1	0	0	1	0	1	0	0	0	0	الزام لگانے والا
accusing	1	0	0	1	0	1	0	0	0	0	الزام لگانا
accustomed	0	0	0	0	0	0	0	0	0	0	عادی
ace	0	0	0	0	0	0	1	0	0	0	اککا
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	درد
achieve	0	0	0	0	1	0	1	0	0	1	حاصل کرنا
achievement	0	1	0	0	1	0	1	0	0	1	کامیابی
aching	0	0	0	0	0	1	0	1	0	0	درد
acid	0	0	0	0	0	1	0	0	0	0	تیزاب
acidity	0	0	0	0	0	0	0	0	0	0	تیزابیت
acknowledge	0	0	0	0	0	0	0	0	0	0	تسلیم کرنا
acknowledged	0	0	0	0	0	0	0	0	0	0	تسلیم کیا
acknowledgment	0	0	0	0	0	0	1	0	0	0	اعتراف
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	صوتی
acoustics	0	0	0	0	0	0	0	0	0	0	صوتی
acquaint	0	0	0	0	0	0	0	0	0	0	واقف
acquaintance	0	0	0	0	0	0	0	0	0	0	واقفیت
acquainted	0	0	0	0	0	0	0	0	0	0	واقف
acquiescence	0	0	0	0	0	0	0	0	0	0	رضامندی
acquire	0	0	0	0	0	0	1	0	0	0	حاصل
acquiring	0	1	0	0	0	0	1	0	0	0	حاصل کرنا
acquisition	0	0	0	0	0	0	0	0	0	0	حصول
acquisitions	0	0	0	0	0	0	0	0	0	0	حصول
acreage	0	0	0	0	0	0	0	0	0	0	ایکڑ
acres	0	0	0	0	0	0	0	0	0	0	ایکڑ
acrobat	0	0	0	1	1	0	1	0	0	1	ایکروبیٹ
act	0	0	0	0	0	0	0	0	0	0	عمل
acting	0	0	0	0	0	0	0	0	0	0	اداکاری
action	0	0	0	0	0	0	1	0	0	0	عمل
actionable	1	0	1	0	0	1	0	0	0	0	قابل عمل
active	0	0	0	0	0	0	0	0	0	0	فعال
activity	0	0	0	0	0	0	0	0	0	0	سرگرمی
actor	0	0	0	0	0	0	0	0	0	0	اداکار
actual	0	0	0	0	0	0	1	0	0	0	حقیقی
actuality	0	0	0	0	0	0	0	0	0	0	حقیقت
actuary	0	0	0	0	0	0	0	0	0	0	ایکچوری
acuity	0	0	0	0	0	0	1	0	0	0	تیکشنتا
acumen	0	0	0	0	0	0	1	0	0	0	ذہانت
acupuncture	0	0	0	0	0	0	0	0	0	0	ایکیوپنکچر
acutely	0	0	0	0	0	0	0	0	0	0	شدت سے
adage	0	0	0	0	0	0	0	0	0	0	کہاوت
adamant	0	0	0	0	0	0	0	0	0	0	اٹل
adapt	0	0	0	0	0	0	1	0	0	0	موافقت
adaptable	0	0	0	0	0	0	1	0	0	0	موافقت پذیر
add	0	0	0	0	0	0	0	0	0	0	شامل کریں
added	0	0	0	0	0	0	0	0	0	0	شامل کیا
addendum	0	0	0	0	0	0	0	0	0	0	ضمیمہ
adder	1	0	1	1	0	1	0	1	0	0	جوڑنے والا
addiction	0	0	0	0	0	1	0	0	0	0	لت
addition	0	0	0	0	0	0	0	0	0	0	اضافہ
additional	0	0	0	0	0	0	0	0	0	0	اضافی
additive	0	0	0	0	0	0	0	0	0	0	اضافی
address	0	0	0	0	0	0	0	0	0	0	پتہ
addressee	0	0	0	0	0	0	0	0	0	0	ایڈریس
addresses	0	1	0	0	0	0	1	0	0	0	پتے
adept	0	0	0	0	0	0	1	0	0	0	ماہر
adequacy	0	0	0	0	0	0	1	0	0	0	مناسبیت
adequate	0	0	0	0	0	0	0	0	0	0	کافی
adhere	0	0	0	0	0	0	0	0	0	0	ماننا
adherence	0	0	0	0	0	0	0	0	0	0	پابندی
adherent	0	0	0	0	0	0	0	0	0	0	ماننے والا
adhering	0	0	0	0	0	0	0	0	0	1	ماننا
adhesion	0	0	0	0	0	0	0	0	0	0	آسنجن
adhesive	0	0	0	0	0	0	0	0	0	0	چپکنے والی
adieu	0	0	0	0	0	0	0	0	0	0	الوداع
adipose	0	0	0	0	0	1	0	0	0	0	ایڈیپوز
adjacency	0	0	0	0	0	0	0	0	0	0	ملحقہ
adjacent	0	0	0	0	0	0	0	0	0	0	ملحقہ
adjective	0	0	0	0	0	0	0	0	0	0	صفت
adjoining	0	0	0	0	0	0	0	0	0	0	ملحقہ
adjourn	0	0	0	0	0	0	0	0	0	0	ملتوی
adjournment	0	0	0	0	0	0	0	0	0	0	ملتوی
adjudicate	0	0	0	1	0	1	0	0	0	0	فیصلہ کرنا
adjudication	0	0	0	0	0	0	0	0	0	0	فیصلہ
adjunct	0	0	0	0	0	0	1	0	0	0	ملحق
adjust	0	0	0	0	0	0	0	0	0	0	ایڈجسٹ کریں
adjustment	0	0	0	0	0	0	0	0	0	0	ایڈجسٹمنٹ
adjuvant	0	0	0	0	0	0	0	0	0	0	معاون
administer	0	0	0	0	0	0	0	0	0	0	انتظام
administration	0	0	0	0	0	0	0	0	0	0	انتظامیہ
administrative	0	0	0	0	0	0	0	0	0	1	انتظامی
admirable	0	0	0	0	1	0	1	0	0	1	قابل تعریف
admiral	0	0	0	0	0	0	1	0	0	1	ایڈمرل
admiralty	0	0	0	0	0	0	0	0	0	0	ایڈمرلٹی
admiration	0	0	0	0	1	0	1	0	0	1	تعریف
admire	0	0	0	0	0	0	1	0	0	1	تعریف کرنا
admirer	0	0	0	0	0	0	1	0	0	0	مداح
admissibility	0	0	0	0	0	0	0	0	0	0	قابل قبولیت
admissible	0	0	0	0	0	0	1	0	0	1	قابل قبول
admission	0	0	0	0	0	0	0	0	0	0	داخلہ
admit	0	0	0	0	0	0	0	0	0	0	تسلیم
admittance	0	0	0	0	0	0	0	0	0	0	داخلہ
admitted	0	0	0	0	0	0	0	0	0	0	تسلیم کیا
admitting	0	0	0	0	0	0	0	0	0	0	تسلیم کرنا
admixture	0	0	0	0	0	0	0	0	0	0	مرکب
admonition	0	0	0	1	0	1	0	0	0	0	نصیحت
ado	0	0	0	0	0	0	0	0	0	0	ایڈو
adobe	0	0	0	0	0	0	0	0	0	0	ایڈوب
adolescence	0	0	0	0	0	0	0	0	0	0	جوانی
adolescent	0	0	0	0	0	0	0	0	0	0	نوعمر
adopt	0	0	0	0	0	0	0	0	0	0	اپنانے
adoption	0	0	0	0	0	0	0	0	0	0	گود لینے
adorable	0	0	0	0	1	0	1	0	0	0	دلکش
adoration	0	0	0	0	1	0	1	0	0	1	عبادت
adore	0	1	0	0	1	0	1	0	0	1	پسند کرنا
adorn	0	0	0	0	0	0	0	0	0	0	سجانا
adornment	0	0	0	0	0	0	0	0	0	0	سجاوٹ
adrift	0	1	0	1	0	1	0	1	0	0	پیچھے ہٹنا
adult	0	0	0	0	0	0	0	0	0	0	بالغ
adulterated	0	0	0	0	0	1	0	0	0	0	ملاوٹ شدہ
adultery	0	0	1	0	0	1	0	1	0	0	زنا
advance	0	1	0	1	1	0	1	0	1	0	پیشگی
advanced	0	0	0	0	0	0	1	0	0	0	ترقی یافتہ
advancement	0	0	0	0	0	0	1	0	0	0	ترقی
advancing	0	0	0	0	0	0	0	0	0	0	پیش قدمی
advantage	0	0	0	0	0	0	1	0	0	0	فائدہ
advantageous	0	0	0	0	0	0	1	0	0	0	فائدہ مند
advent	0	1	0	0	1	0	1	0	0	1	آمد
adventure	0	1	0	0	0	0	1	0	0	0	مہم جوئی
adventurer	0	0	0	0	0	0	0	0	0	0	مہم جوئی
adventurous	0	0	0	0	0	0	1	0	0	0	مہم جوئی
adversary	1	0	0	0	0	1	0	0	0	0	مخالف
adverse	1	0	1	1	0	1	0	1	0	0	منفی
adversity	1	0	0	1	0	1	0	1	0	0	مصیبت
advertise	0	0	0	0	0	0	0	0	0	0	تشہیر
advertisement	0	0	0	0	0	0	0	0	0	0	اشتہار
advice	0	0	0	0	0	0	0	0	0	1	مشورہ
advisable	0	0	0	0	0	0	1	0	0	1	مشورہ دینے والا
advise	0	0	0	0	0	0	1	0	0	1	مشورہ
advised	0	0	0	0	0	0	0	0	0	1	مشورہ
advisement	0	0	0	0	0	0	0	0	0	0	مشورہ
adviser	0	0	0	0	0	0	1	0	0	1	مشیر
advocacy	1	1	0	0	1	0	1	0	0	1	وکالت
advocate	0	0	0	0	0	0	0	0	0	1	وکیل
aegis	0	0	0	0	0	0	0	0	0	0	ایجس
aeration	0	0	0	0	0	0	0	0	0	0	ہوا بازی
aerial	0	0	0	0	0	0	0	0	0	0	ہوائی
aerodrome	0	0	0	0	0	0	0	0	0	0	ایروڈوم
aerodynamics	0	0	0	0	0	0	0	0	0	0	ایروڈینامکس
aeronautics	0	0	0	0	0	0	0	0	0	0	ایروناٹکس
aeroplane	0	0	0	0	0	0	0	0	0	0	ہوائی جہاز
aesthetic	0	0	0	0	0	0	1	0	0	0	جمالیاتی
aesthetics	0	0	0	0	1	0	1	0	0	0	جمالیات
aetiology	0	0	0	0	0	0	0	0	0	0	ایٹولوجی
afar	0	0	0	0	0	0	0	0	0	0	دور
affable	0	0	0	0	0	0	1	0	0	0	ملنسار
affair	0	0	0	0	0	0	0	0	0	0	معاملہ
affecting	0	0	0	0	0	0	0	0	0	0	کو متاثر
affection	0	0	0	0	1	0	1	0	0	1	پیار
affections	0	0	0	0	0	0	0	0	0	0	پیار
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	افسوس
affiliated	0	0	0	0	0	0	1	0	0	0	وابستہ
affiliation	0	0	0	0	0	0	0	0	0	0	وابستگی
affinity	0	0	0	0	0	0	0	0	0	0	تعلق
affirm	0	0	0	0	0	0	1	0	0	1	تصدیق
affirmation	0	0	0	0	0	0	1	0	0	0	تصدیق
affirmative	0	0	0	0	0	0	1	0	0	0	اثبات
affirmatively	0	0	0	0	0	0	1	0	0	1	اثبات میں
affix	0	0	0	0	0	0	0	0	0	0	لگانا
afflict	0	0	0	1	0	1	0	1	0	0	مصیبت
afflicted	0	0	0	0	0	1	0	0	0	0	مصیبت زدہ
affliction	0	0	1	1	0	1	0	1	0	0	مصیبت
affluence	0	0	0	0	1	0	1	0	0	0	دولت
affluent	0	0	0	0	0	0	1	0	0	0	امیر
afford	0	0	0	0	0	0	1	0	0	0	برداشت کرنا
affront	1	0	1	1	0	1	0	1	1	0	توہین
afield	0	0	0	0	0	0	0	0	0	0	دور
afore	0	0	0	0	0	0	0	0	0	0	پہلے
aforementioned	0	0	0	0	0	0	0	0	0	0	مذکورہ بالا
aforesaid	0	0	0	0	0	0	0	0	0	0	مذکورہ
afraid	0	0	0	1	0	1	0	0	0	0	ڈرنا
afresh	0	0	0	0	0	0	0	0	0	0	نئے سرے سے
aft	0	0	0	0	0	0	0	0	0	0	پیچھے
aftermath	1	0	1	1	0	1	0	1	0	0	نتیجہ
afternoon	0	0	0	0	0	0	0	0	0	0	دوپہر
aftertaste	0	0	0	0	0	1	0	0	0	0	بعد کا ذائقہ
afterthought	0	0	0	0	0	0	0	0	0	0	بعد کی سوچ
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	عقیق
age	0	0	0	0	0	0	0	0	0	0	عمر
aged	0	0	0	0	0	0	0	0	0	0	بوڑھا
agency	0	0	0	0	0	0	0	0	0	0	ایجنسی
agent	0	0	0	0	0	0	0	0	0	0	ایجنٹ
agglomeration	0	0	0	0	0	0	0	0	0	0	جمع
aggravated	1	0	0	0	0	1	0	0	0	0	بڑھا ہوا
aggravating	1	0	0	0	0	1	0	1	0	0	پریشان کن
aggravation	1	0	1	0	0	1	0	0	0	0	اضطراب
aggregate	0	0	0	0	0	0	0	0	0	0	مجموعی
aggregation	0	0	0	0	0	0	0	0	0	0	جمع
aggression	1	0	0	1	0	1	0	0	0	0	جارحیت
aggressive	1	0	0	1	0	1	0	0	0	0	جارحانہ
aggressor	1	0	0	1	0	1	0	0	0	0	حملہ آور
aghast	0	0	1	1	0	1	0	0	1	0	پریشان
agile	0	0	0	0	0	0	1	0	0	0	پھرتیلی
agility	0	0	0	0	0	0	1	0	0	0	چپلتا
agitated	1	0	0	0	0	1	0	0	0	0	مشتعل
agitation	1	0	0	0	0	1	0	0	0	0	تحریک
agnostic	0	0	0	0	0	0	0	0	0	0	اگنوسٹک
ago	0	0	0	0	0	0	0	0	0	0	پہلے
agonizing	0	0	0	1	0	1	0	0	0	0	اذیت ناک
agony	1	0	0	1	0	1	0	1	0	0	اذیت
agree	0	0	0	0	0	0	1	0	0	0	متفق
agreeable	0	0	0	0	0	0	1	0	0	1	قابل قبول
agreed	0	0	0	0	0	0	1	0	0	1	اتفاق کیا
agreeing	0	0	0	0	0	0	1	0	0	1	متفق
agreement	0	0	0	0	0	0	1	0	0	1	معاہدہ
agricultural	0	0	0	0	0	0	0	0	0	0	زرعی
agriculture	0	0	0	0	0	0	1	0	0	0	زراعت
aground	0	0	0	0	0	1	0	0	0	0	گراؤنڈ
agua	0	0	0	0	0	0	0	0	0	0	اگوا
ahead	0	0	0	0	0	0	1	0	0	0	آگے
aid	0	0	0	0	0	0	1	0	0	0	امداد
aiding	0	0	0	0	0	0	1	0	0	0	مدد کرنے والا
ail	0	0	0	0	0	1	0	1	0	0	بیماری
ailing	0	0	0	1	0	1	0	1	0	0	بیمار
ailment	0	0	0	0	0	0	0	0	0	0	بیماری
aim	0	0	0	0	0	0	0	0	0	0	مقصد
aimless	0	0	0	0	0	1	0	0	0	0	بےمقصد
air	0	0	0	0	0	0	0	0	0	0	ہوا
airbag	0	0	0	0	0	0	0	0	0	0	ایئر بیگ
airlift	0	0	0	0	0	0	0	0	0	0	ہوائی جہاز
airline	0	0	0	0	0	0	0	0	0	0	ایئر لائن
airman	0	0	0	0	0	0	0	0	0	0	ایئر مین
airplane	0	0	0	0	0	0	0	0	0	0	ہوائی جہاز
airport	0	1	0	0	0	0	0	0	0	0	ہوائی اڈہ
airs	0	0	1	0	0	1	0	0	0	0	ہوا
airship	0	0	0	0	0	0	0	0	0	0	ہوائی جہاز
aisle	0	0	0	0	0	0	0	0	0	0	گلیارے
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	اجار
akin	0	0	0	0	0	0	0	0	0	1	مشابہ
alabaster	0	0	0	0	0	0	1	0	0	0	الابسٹر
alarm	0	0	0	1	0	1	0	0	1	0	الارم
alarming	0	0	0	1	0	1	0	0	1	0	خطرناک
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	البم
alchemy	0	0	0	0	0	0	0	0	0	0	کیمیا
alcohol	0	0	0	0	0	0	0	0	0	0	شراب
alcoholism	1	0	1	1	0	1	0	1	0	0	شراب نوشی
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	الرٹ
alertness	0	1	0	1	0	0	1	0	1	0	چوکسی
alerts	0	1	0	1	0	0	0	0	1	0	انتباہات
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	الجبرا
algebraic	0	0	0	0	0	0	0	0	0	0	الجبری
algorithm	0	0	0	0	0	0	0	0	0	0	الگورتھم
alibi	0	0	0	0	0	0	0	0	0	0	علیبی
alien	0	0	1	1	0	1	0	0	0	0	اجنبی
alienate	1	0	1	0	0	1	0	0	0	0	اجنبی
alienated	0	0	0	0	0	1	0	1	0	0	اجنبی
alienation	1	0	1	1	0	1	0	1	0	0	بیگانگی
alight	0	0	0	0	0	0	0	0	0	0	اترنا
aligned	0	0	0	0	0	0	0	0	0	0	منسلک
alignment	0	0	0	0	0	0	0	0	0	0	سیدھ
alike	0	0	0	0	0	0	0	0	0	0	ایک جیسے
alimentation	0	0	0	0	0	0	1	0	0	0	غذائیت
alimony	0	0	0	0	0	1	0	0	0	0	بھتہ
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	زندہ
alkali	0	0	0	0	0	0	0	0	0	0	الکلی
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloids
allay	0	0	0	0	0	0	1	0	0	0	حل
allegation	1	0	0	0	0	1	0	0	0	0	الزام
allege	0	0	0	0	0	1	0	0	0	0	الزام لگانا
alleged	0	0	0	0	0	0	0	0	0	0	الزام لگایا
allegiance	0	0	0	0	0	0	1	0	0	1	بیعت
allegorical	0	0	0	0	0	0	0	0	0	0	تمثیلی
allegory	0	0	0	0	0	0	0	0	0	0	تمثیل
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	کم کرنا
alleviation	0	0	0	0	0	0	1	0	0	0	خاتمے
alley	0	0	0	0	0	0	0	0	0	0	گلی
alliance	0	0	0	0	0	0	0	0	0	1	اتحاد
allied	0	0	0	0	0	0	1	0	0	1	اتحادی
alligator	0	0	0	0	0	0	0	0	0	0	مگرمچھ
allocate	0	0	0	0	0	0	0	0	0	0	مختص
allocation	0	0	0	0	0	0	0	0	0	0	مختص کرنے
allot	0	0	0	0	0	0	0	0	0	0	الاٹ
allotment	0	0	0	0	0	0	0	0	0	0	الاٹمنٹ
allowable	0	0	0	0	0	0	1	0	0	0	قابل اجازت
allowance	0	0	0	0	0	0	0	0	0	0	الاؤنس
allowed	0	0	0	0	0	0	0	0	0	0	اجازت دی
alloy	0	0	0	0	0	0	0	0	0	0	کھوٹ
allure	0	1	0	0	1	0	1	0	1	0	رغبت
alluring	0	0	0	0	0	0	1	0	0	0	دلکش
allusion	0	0	0	0	0	0	0	0	0	0	اشارہ
alluvial	0	0	0	0	0	0	0	0	0	0	جلو
ally	0	0	0	0	0	0	1	0	0	1	اتحادی
almanac	0	0	0	0	0	0	0	0	0	0	تقویم
almighty	0	0	0	0	0	0	1	0	0	0	قادر مطلق
aloft	0	0	0	0	0	0	0	0	0	0	اوپر
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	ساتھ ساتھ
aloof	0	0	0	0	0	1	0	0	0	0	دور
aloud	0	0	0	0	0	0	0	0	0	0	بلند آواز سے
alphabet	0	0	0	0	0	0	0	0	0	0	حروف تہجی
alphabetical	0	0	0	0	0	0	0	0	0	0	حروف تہجی کے مطابق
altar	0	0	0	0	0	0	0	0	0	0	قربان گاہ
alter	0	0	0	0	0	0	0	0	0	0	تبدیل
alteration	0	0	0	0	0	0	0	0	0	0	تبدیلی
altercation	1	0	0	0	0	1	0	0	0	0	جھگڑا
altered	0	0	0	0	0	0	0	0	0	0	تبدیل کر دیا
alternate	0	0	0	0	0	0	0	0	0	0	متبادل
alternative	0	0	0	0	0	0	0	0	0	0	متبادل
altitude	0	0	0	0	0	0	0	0	0	0	اونچائی
alto	0	0	0	0	0	0	0	0	0	0	آلٹو
altogether	0	0	0	0	0	0	0	0	0	0	ایک ساتھ
alumnus	0	0	0	0	0	0	0	0	0	0	سابق طالب علم
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	امتزاج
amalgamation	0	0	0	0	0	0	0	0	0	0	انضمام
amass	0	0	0	0	0	0	0	0	0	0	جمع کرنا
amateur	0	0	0	0	0	0	0	0	0	0	شوقیہ
amaze	0	0	0	0	0	0	0	0	1	0	حیران
amazement	0	0	0	0	0	0	0	0	0	0	حیرت
amazingly	0	0	0	0	1	0	1	0	1	0	حیرت انگیز طور پر
ambassador	0	0	0	0	0	0	1	0	0	1	سفیر
amber	0	0	0	0	0	0	0	0	0	0	امبر
ambient	0	0	0	0	0	0	0	0	0	0	محیط
ambiguity	0	0	0	0	0	0	0	0	0	0	ابہام
ambiguous	0	0	0	0	0	1	0	0	0	0	مبہم
ambit	0	0	0	0	0	0	0	0	0	0	دائرہ کار
ambition	0	1	0	0	1	0	1	0	0	1	خواہش
ambitious	0	0	0	0	0	0	0	0	0	0	بلند نظر
ambulance	0	0	0	1	0	0	0	0	0	1	ایمبولینس
ambush	1	0	0	1	0	1	0	0	1	0	گھات لگا کر حملہ
ameliorate	0	0	0	0	0	0	1	0	0	0	بہتر کرنا
amen	0	0	0	0	1	0	1	0	0	1	آمین
amenable	0	0	0	0	0	0	1	0	0	0	تیار
amend	0	0	0	0	0	0	1	0	0	0	ترمیم
amendment	0	0	0	0	0	0	0	0	0	0	ترمیم
amends	0	0	0	0	0	0	1	0	0	0	ترمیم کرتا ہے
amenity	0	0	0	0	0	0	1	0	0	0	سہولت
amethyst	0	0	0	0	0	0	0	0	0	0	نیلم
