English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Uyghur Word
acceleration	0	0	0	0	0	0	0	0	0	0	تېزلىنىش
accent	0	0	0	0	0	0	0	0	0	0	تەلەپپۇزى
accentuate	0	0	0	0	0	0	0	0	0	0	تەلەپپۇز قىلىش
accept	0	0	0	0	0	0	0	0	0	0	قوبۇل قىلىڭ
acceptable	0	0	0	0	0	0	1	0	0	0	قوبۇل قىلىشقا بولىدۇ
acceptance	0	0	0	0	0	0	1	0	0	0	قوبۇل قىلىش
access	0	0	0	0	0	0	0	0	0	0	access
accessible	0	0	0	0	0	0	1	0	0	0	زىيارەت قىلغىلى بولىدۇ
accession	0	0	0	0	0	0	0	0	0	0	كىرىش
accessory	0	0	0	0	0	0	0	0	0	0	قوشۇمچە زاپچاس
accident	0	0	0	1	0	1	0	1	1	0	ھادىسە
accidental	0	0	0	1	0	1	0	0	1	0	تاسادىپىي
accidentally	0	0	0	0	0	0	0	0	1	0	ئېھتىياتسىزلىقتىن
accolade	0	1	0	0	1	0	1	0	1	1	ئالقىش
accommodate	0	0	0	0	0	0	0	0	0	0	ماسلىشىش
accommodation	0	0	0	0	0	0	1	0	0	0	ياتاق
accompaniment	0	1	0	0	1	0	1	0	0	1	ھەمرا
accompany	0	0	0	0	0	0	0	0	0	0	ھەمرا بولۇش
accompanying	0	0	0	0	0	0	0	0	0	0	ھەمراھ
accomplice	0	0	0	0	0	0	0	0	0	0	شېرىك
accomplish	0	0	0	0	1	0	1	0	0	0	ئەمەلگە ئاشۇرۇش
accomplished	0	0	0	0	1	0	1	0	0	0	تاماملاندى
accomplishment	0	0	0	0	0	0	1	0	0	0	مۇۋەپپەقىيەت
accord	0	0	0	0	0	0	1	0	0	1	ماقۇل
accordance	0	0	0	0	0	0	0	0	0	0	بويىچە
accordion	0	0	0	0	0	0	0	0	0	0	ئاككوردىيون
account	0	0	0	0	0	0	0	0	0	1	ھېسابات
accountability	0	0	0	0	0	0	1	0	0	1	جاۋابكارلىق
accountable	0	0	0	0	0	0	1	0	0	1	جاۋابكار
accountant	0	0	0	0	0	0	0	0	0	1	بوغالتىر
accounting	0	0	0	0	0	0	0	0	0	0	بوغالتىرلىق
accounts	0	0	0	0	0	0	0	0	0	1	ھېسابات
accredited	0	0	0	0	0	0	1	0	0	1	ئېتىراپ قىلىنغان
accretion	0	0	0	0	0	0	0	0	0	0	accretion
accrue	0	0	0	0	0	0	0	0	0	0	accrue
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	توپلاش
accumulation	0	0	0	0	0	0	0	0	0	0	جۇغلانما
accuracy	0	0	0	0	0	0	0	0	0	0	توغرىلىق
accurate	0	0	0	0	0	0	1	0	0	1	توغرا
accursed	1	0	0	1	0	1	0	1	0	0	لەنەت قىلىندى
accusation	1	0	1	0	0	1	0	0	0	0	ئەيىبلەش
accusative	0	0	0	0	0	1	0	0	0	0	ئەيىبلىگۈچى
accused	1	0	0	1	0	1	0	0	0	0	ئەيىبلەنگۈچى
accuser	1	0	0	1	0	1	0	0	0	0	ئەيىبلىگۈچى
accusing	1	0	0	1	0	1	0	0	0	0	ئەيىبلەش
accustomed	0	0	0	0	0	0	0	0	0	0	كۆنگەن
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	ئاچچىقسۇ
ache	0	0	0	0	0	1	0	1	0	0	ئاغرىق
achieve	0	0	0	0	1	0	1	0	0	1	ئېرىشىش
achievement	0	1	0	0	1	0	1	0	0	1	مۇۋەپپەقىيەت
aching	0	0	0	0	0	1	0	1	0	0	ئاغرىۋاتىدۇ
acid	0	0	0	0	0	1	0	0	0	0	كىسلاتا
acidity	0	0	0	0	0	0	0	0	0	0	كىسلاتالىق
acknowledge	0	0	0	0	0	0	0	0	0	0	ئېتىراپ قىلىڭ
acknowledged	0	0	0	0	0	0	0	0	0	0	ئېتىراپ قىلدى
acknowledgment	0	0	0	0	0	0	1	0	0	0	ئېتىراپ قىلىش
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	acoustic
acoustics	0	0	0	0	0	0	0	0	0	0	acoustics
acquaint	0	0	0	0	0	0	0	0	0	0	تونۇش
acquaintance	0	0	0	0	0	0	0	0	0	0	تونۇش
acquainted	0	0	0	0	0	0	0	0	0	0	تونۇش
acquiescence	0	0	0	0	0	0	0	0	0	0	ماقۇل
acquire	0	0	0	0	0	0	1	0	0	0	ئېرىشىش
acquiring	0	1	0	0	0	0	1	0	0	0	ئېرىشىش
acquisition	0	0	0	0	0	0	0	0	0	0	سېتىۋېلىش
acquisitions	0	0	0	0	0	0	0	0	0	0	سېتىۋېلىش
acreage	0	0	0	0	0	0	0	0	0	0	acreage
acres	0	0	0	0	0	0	0	0	0	0	مو
acrobat	0	0	0	1	1	0	1	0	0	1	acrobat
act	0	0	0	0	0	0	0	0	0	0	ھەرىكەت
acting	0	0	0	0	0	0	0	0	0	0	رول ئېلىش
action	0	0	0	0	0	0	1	0	0	0	ھەرىكەت
actionable	1	0	1	0	0	1	0	0	0	0	ھەرىكەتچان
active	0	0	0	0	0	0	0	0	0	0	ئاكتىپ
activity	0	0	0	0	0	0	0	0	0	0	پائالىيەت
actor	0	0	0	0	0	0	0	0	0	0	ئارتىس
actual	0	0	0	0	0	0	1	0	0	0	ئەمەلىي
actuality	0	0	0	0	0	0	0	0	0	0	ئەمەلىيەت
actuary	0	0	0	0	0	0	0	0	0	0	actuary
acuity	0	0	0	0	0	0	1	0	0	0	acuity
acumen	0	0	0	0	0	0	1	0	0	0	acumen
acupuncture	0	0	0	0	0	0	0	0	0	0	يىڭنە سانجىش
acutely	0	0	0	0	0	0	0	0	0	0	ئۆتكۈر
adage	0	0	0	0	0	0	0	0	0	0	adage
adamant	0	0	0	0	0	0	0	0	0	0	قەتئىيلىك
adapt	0	0	0	0	0	0	1	0	0	0	ماسلىشىش
adaptable	0	0	0	0	0	0	1	0	0	0	ماسلىشىشچان
add	0	0	0	0	0	0	0	0	0	0	قوش
added	0	0	0	0	0	0	0	0	0	0	قوشۇلدى
addendum	0	0	0	0	0	0	0	0	0	0	قوشۇمچە
adder	1	0	1	1	0	1	0	1	0	0	adder
addiction	0	0	0	0	0	1	0	0	0	0	خۇمار
addition	0	0	0	0	0	0	0	0	0	0	addition
additional	0	0	0	0	0	0	0	0	0	0	قوشۇمچە
additive	0	0	0	0	0	0	0	0	0	0	خۇرۇچ
address	0	0	0	0	0	0	0	0	0	0	ئادرېس
addressee	0	0	0	0	0	0	0	0	0	0	ئادرېس
addresses	0	1	0	0	0	0	1	0	0	0	ئادرېس
adept	0	0	0	0	0	0	1	0	0	0	adept
adequacy	0	0	0	0	0	0	1	0	0	0	يېتەرلىك
adequate	0	0	0	0	0	0	0	0	0	0	يېتەرلىك
adhere	0	0	0	0	0	0	0	0	0	0	چىڭ تۇرۇش
adherence	0	0	0	0	0	0	0	0	0	0	چىڭ تۇرۇش
adherent	0	0	0	0	0	0	0	0	0	0	adherent
adhering	0	0	0	0	0	0	0	0	0	1	چىڭ تۇرۇش
adhesion	0	0	0	0	0	0	0	0	0	0	adhesion
adhesive	0	0	0	0	0	0	0	0	0	0	چاپلاشتۇرغۇچ
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	يانداش
adjacent	0	0	0	0	0	0	0	0	0	0	يانداش
adjective	0	0	0	0	0	0	0	0	0	0	سۈپەت
adjoining	0	0	0	0	0	0	0	0	0	0	يانداش
adjourn	0	0	0	0	0	0	0	0	0	0	كېچىكتۈرۈش
adjournment	0	0	0	0	0	0	0	0	0	0	كېچىكتۈرۈش
adjudicate	0	0	0	1	0	1	0	0	0	0	ھۆكۈم قىلىش
adjudication	0	0	0	0	0	0	0	0	0	0	ھۆكۈم
adjunct	0	0	0	0	0	0	1	0	0	0	adjunct
adjust	0	0	0	0	0	0	0	0	0	0	تەڭشەش
adjustment	0	0	0	0	0	0	0	0	0	0	تەڭشەش
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	باشقۇرغۇچى
administration	0	0	0	0	0	0	0	0	0	0	باشقۇرۇش
administrative	0	0	0	0	0	0	0	0	0	1	مەمۇرىي
admirable	0	0	0	0	1	0	1	0	0	1	ئالقىشلىق
admiral	0	0	0	0	0	0	1	0	0	1	admiral
admiralty	0	0	0	0	0	0	0	0	0	0	admiralty
admiration	0	0	0	0	1	0	1	0	0	1	قايىل
admire	0	0	0	0	0	0	1	0	0	1	admire
admirer	0	0	0	0	0	0	1	0	0	0	admirer
admissibility	0	0	0	0	0	0	0	0	0	0	قوبۇل قىلىشقا بولىدۇ
admissible	0	0	0	0	0	0	1	0	0	1	قوبۇل قىلىشقا بولىدۇ
admission	0	0	0	0	0	0	0	0	0	0	قوبۇل قىلىش
admit	0	0	0	0	0	0	0	0	0	0	ئېتىراپ قىلىڭ
admittance	0	0	0	0	0	0	0	0	0	0	قوبۇل قىلىش
admitted	0	0	0	0	0	0	0	0	0	0	ئېتىراپ قىلدى
admitting	0	0	0	0	0	0	0	0	0	0	ئېتىراپ قىلىش
admixture	0	0	0	0	0	0	0	0	0	0	admixture
admonition	0	0	0	1	0	1	0	0	0	0	نەسىھەت
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	ياشلىق دەۋرى
adolescent	0	0	0	0	0	0	0	0	0	0	ئۆسمۈر
adopt	0	0	0	0	0	0	0	0	0	0	بېقىۋېلىش
adoption	0	0	0	0	0	0	0	0	0	0	بېقىۋېلىش
adorable	0	0	0	0	1	0	1	0	0	0	adorable
adoration	0	0	0	0	1	0	1	0	0	1	چوقۇنۇش
adore	0	1	0	0	1	0	1	0	0	1	adore
adorn	0	0	0	0	0	0	0	0	0	0	زىننەتلەش
adornment	0	0	0	0	0	0	0	0	0	0	زىننەت
adrift	0	1	0	1	0	1	0	1	0	0	adrift
adult	0	0	0	0	0	0	0	0	0	0	قۇرامىغا يەتكەنلەر
adulterated	0	0	0	0	0	1	0	0	0	0	زىنا
adultery	0	0	1	0	0	1	0	1	0	0	زىنا
advance	0	1	0	1	1	0	1	0	1	0	ئالغا ئىلگىرىلەش
advanced	0	0	0	0	0	0	1	0	0	0	ئىلغار
advancement	0	0	0	0	0	0	1	0	0	0	ئىلگىرىلەش
advancing	0	0	0	0	0	0	0	0	0	0	ئالغا ئىلگىرىلەۋاتىدۇ
advantage	0	0	0	0	0	0	1	0	0	0	ئەۋزەللىكى
advantageous	0	0	0	0	0	0	1	0	0	0	پايدىلىق
advent	0	1	0	0	1	0	1	0	0	1	advent
adventure	0	1	0	0	0	0	1	0	0	0	تەۋەككۈلچىلىك
adventurer	0	0	0	0	0	0	0	0	0	0	تەۋەككۈلچى
adventurous	0	0	0	0	0	0	1	0	0	0	تەۋەككۈلچىلىك
adversary	1	0	0	0	0	1	0	0	0	0	رەقىبى
adverse	1	0	1	1	0	1	0	1	0	0	پايدىسىز
adversity	1	0	0	1	0	1	0	1	0	0	قىيىنچىلىق
advertise	0	0	0	0	0	0	0	0	0	0	ئېلان
advertisement	0	0	0	0	0	0	0	0	0	0	ئېلان
advice	0	0	0	0	0	0	0	0	0	1	مەسلىھەت
advisable	0	0	0	0	0	0	1	0	0	1	مۇۋاپىق
advise	0	0	0	0	0	0	1	0	0	1	مەسلىھەت بېرىڭ
advised	0	0	0	0	0	0	0	0	0	1	نەسىھەت قىلدى
advisement	0	0	0	0	0	0	0	0	0	0	مەسلىھەت
adviser	0	0	0	0	0	0	1	0	0	1	مەسلىھەتچى
advocacy	1	1	0	0	1	0	1	0	0	1	تەشەببۇس قىلىش
advocate	0	0	0	0	0	0	0	0	0	1	ئادۋوكات
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	aeration
aerial	0	0	0	0	0	0	0	0	0	0	ھاۋا
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodrome
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamics
aeronautics	0	0	0	0	0	0	0	0	0	0	ئاۋىئاتسىيە
aeroplane	0	0	0	0	0	0	0	0	0	0	ئايروپىلان
aesthetic	0	0	0	0	0	0	1	0	0	0	ئېستېتىك
aesthetics	0	0	0	0	1	0	1	0	0	0	گۈزەللىك
aetiology	0	0	0	0	0	0	0	0	0	0	aetiology
afar	0	0	0	0	0	0	0	0	0	0	يىراق
affable	0	0	0	0	0	0	1	0	0	0	affable
affair	0	0	0	0	0	0	0	0	0	0	ئىش
affecting	0	0	0	0	0	0	0	0	0	0	تەسىر قىلىۋاتىدۇ
affection	0	0	0	0	1	0	1	0	0	1	مېھرى
affections	0	0	0	0	0	0	0	0	0	0	affection
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	affidavit
affiliated	0	0	0	0	0	0	1	0	0	0	مۇناسىۋەتلىك
affiliation	0	0	0	0	0	0	0	0	0	0	تەۋەلىكى
affinity	0	0	0	0	0	0	0	0	0	0	يېقىنلىق
affirm	0	0	0	0	0	0	1	0	0	1	جەزملەشتۈرۈڭ
affirmation	0	0	0	0	0	0	1	0	0	0	جەزملەشتۈرۈش
affirmative	0	0	0	0	0	0	1	0	0	0	affirmative
affirmatively	0	0	0	0	0	0	1	0	0	1	مۇئەييەنلەشتۈردى
affix	0	0	0	0	0	0	0	0	0	0	affix
afflict	0	0	0	1	0	1	0	1	0	0	ئازاب
afflicted	0	0	0	0	0	1	0	0	0	0	ئازابلاندى
affliction	0	0	1	1	0	1	0	1	0	0	ئازاب
affluence	0	0	0	0	1	0	1	0	0	0	باياشات
affluent	0	0	0	0	0	0	1	0	0	0	باي
afford	0	0	0	0	0	0	1	0	0	0	ئەرزان
affront	1	0	1	1	0	1	0	1	1	0	affront
afield	0	0	0	0	0	0	0	0	0	0	afield
afore	0	0	0	0	0	0	0	0	0	0	يۇقىرىدا
aforementioned	0	0	0	0	0	0	0	0	0	0	يۇقىرىدا تىلغا ئېلىنغان
aforesaid	0	0	0	0	0	0	0	0	0	0	يۇقىرىدا
afraid	0	0	0	1	0	1	0	0	0	0	قورقىدۇ
afresh	0	0	0	0	0	0	0	0	0	0	afresh
aft	0	0	0	0	0	0	0	0	0	0	aft
aftermath	1	0	1	1	0	1	0	1	0	0	aftermath
afternoon	0	0	0	0	0	0	0	0	0	0	چۈشتىن كېيىن
aftertaste	0	0	0	0	0	1	0	0	0	0	aftertaste
afterthought	0	0	0	0	0	0	0	0	0	0	كېيىنچە
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	يېشى
aged	0	0	0	0	0	0	0	0	0	0	ياشانغان
agency	0	0	0	0	0	0	0	0	0	0	Agency
agent	0	0	0	0	0	0	0	0	0	0	ۋاكالەتچى
agglomeration	0	0	0	0	0	0	0	0	0	0	agglomeration
aggravated	1	0	0	0	0	1	0	0	0	0	ئېغىرلاشتى
aggravating	1	0	0	0	0	1	0	1	0	0	ئېغىرلاشتۇرۇۋاتىدۇ
aggravation	1	0	1	0	0	1	0	0	0	0	aggravation
aggregate	0	0	0	0	0	0	0	0	0	0	يىغىلغان
aggregation	0	0	0	0	0	0	0	0	0	0	توپلاش
aggression	1	0	0	1	0	1	0	0	0	0	تاجاۋۇزچىلىق
aggressive	1	0	0	1	0	1	0	0	0	0	تاجاۋۇزچى
aggressor	1	0	0	1	0	1	0	0	0	0	تاجاۋۇزچى
aghast	0	0	1	1	0	1	0	0	1	0	aghast
agile	0	0	0	0	0	0	1	0	0	0	agile
agility	0	0	0	0	0	0	1	0	0	0	چاققانلىق
agitated	1	0	0	0	0	1	0	0	0	0	ھاياجانلاندى
agitation	1	0	0	0	0	1	0	0	0	0	agitation
agnostic	0	0	0	0	0	0	0	0	0	0	agnostic
ago	0	0	0	0	0	0	0	0	0	0	ago
agonizing	0	0	0	1	0	1	0	0	0	0	ئازابلىق
agony	1	0	0	1	0	1	0	1	0	0	ئازاب
agree	0	0	0	0	0	0	1	0	0	0	ماقۇل
agreeable	0	0	0	0	0	0	1	0	0	1	ماقۇل
agreed	0	0	0	0	0	0	1	0	0	1	ماقۇل بولدى
agreeing	0	0	0	0	0	0	1	0	0	1	ماقۇل
agreement	0	0	0	0	0	0	1	0	0	1	كېلىشىم
agricultural	0	0	0	0	0	0	0	0	0	0	دېھقانچىلىق
agriculture	0	0	0	0	0	0	1	0	0	0	دېھقانچىلىق
aground	0	0	0	0	0	1	0	0	0	0	aground
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	ئالدىدا
aid	0	0	0	0	0	0	1	0	0	0	ياردەم
aiding	0	0	0	0	0	0	1	0	0	0	ياردەم
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	كېسەل
ailment	0	0	0	0	0	0	0	0	0	0	ailment
aim	0	0	0	0	0	0	0	0	0	0	نىشان
aimless	0	0	0	0	0	1	0	0	0	0	نىشانسىز
air	0	0	0	0	0	0	0	0	0	0	ھاۋا
airbag	0	0	0	0	0	0	0	0	0	0	بىخەتەرلىك ھاۋا خالتىسى
airlift	0	0	0	0	0	0	0	0	0	0	airlift
airline	0	0	0	0	0	0	0	0	0	0	ئاۋىئاتسىيە شىركىتى
airman	0	0	0	0	0	0	0	0	0	0	airman
airplane	0	0	0	0	0	0	0	0	0	0	ئايروپىلان
airport	0	1	0	0	0	0	0	0	0	0	ئايرودروم
airs	0	0	1	0	0	1	0	0	0	0	airs
airship	0	0	0	0	0	0	0	0	0	0	airship
aisle	0	0	0	0	0	0	0	0	0	0	aisle
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	akin
alabaster	0	0	0	0	0	0	1	0	0	0	alabaster
alarm	0	0	0	1	0	1	0	0	1	0	ئاگاھلاندۇرۇش
alarming	0	0	0	1	0	1	0	0	1	0	ئاگاھلاندۇرۇش
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alchemy
alcohol	0	0	0	0	0	0	0	0	0	0	ھاراق
alcoholism	1	0	1	1	0	1	0	1	0	0	ھاراقكەشلىك
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	ئاگاھ
alertness	0	1	0	1	0	0	1	0	1	0	ھوشيارلىق
alerts	0	1	0	1	0	0	0	0	1	0	ئاگاھلاندۇرۇش
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraic
algorithm	0	0	0	0	0	0	0	0	0	0	ئالگورىزىم
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	تاشقى پىلانېت ئادەملىرى
alienate	1	0	1	0	0	1	0	0	0	0	چەتكە قېقىش
alienated	0	0	0	0	0	1	0	1	0	0	چەتكە قېقىلدى
alienation	1	0	1	1	0	1	0	1	0	0	ياتلىشىش
alight	0	0	0	0	0	0	0	0	0	0	alight
aligned	0	0	0	0	0	0	0	0	0	0	توغرىلاندى
alignment	0	0	0	0	0	0	0	0	0	0	توغرىلاش
alike	0	0	0	0	0	0	0	0	0	0	ئوخشاش
alimentation	0	0	0	0	0	0	1	0	0	0	alimentation
alimony	0	0	0	0	0	1	0	0	0	0	بېقىش ھەققى
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	ھايات
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloids
allay	0	0	0	0	0	0	1	0	0	0	allay
allegation	1	0	0	0	0	1	0	0	0	0	ئەيىبلەش
allege	0	0	0	0	0	1	0	0	0	0	ئەيىبلەش
alleged	0	0	0	0	0	0	0	0	0	0	دەپ ئەيىبلەنگەن
allegiance	0	0	0	0	0	0	1	0	0	1	ساداقەت
allegorical	0	0	0	0	0	0	0	0	0	0	allegorical
allegory	0	0	0	0	0	0	0	0	0	0	allegory
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	يېنىكلىتىش
alleviation	0	0	0	0	0	0	1	0	0	0	يېنىكلىتىش
alley	0	0	0	0	0	0	0	0	0	0	alley
alliance	0	0	0	0	0	0	0	0	0	1	ئىتتىپاق
allied	0	0	0	0	0	0	1	0	0	1	ئىتتىپاقداش
alligator	0	0	0	0	0	0	0	0	0	0	alligator
allocate	0	0	0	0	0	0	0	0	0	0	تەقسىم قىلىڭ
allocation	0	0	0	0	0	0	0	0	0	0	تەقسىملەش
allot	0	0	0	0	0	0	0	0	0	0	تەقسىم قىلىڭ
allotment	0	0	0	0	0	0	0	0	0	0	تەقسىملەش
allowable	0	0	0	0	0	0	1	0	0	0	رۇخسەت
allowance	0	0	0	0	0	0	0	0	0	0	ياردەم پۇلى
allowed	0	0	0	0	0	0	0	0	0	0	رۇخسەت قىلىنغان
alloy	0	0	0	0	0	0	0	0	0	0	alloy
allure	0	1	0	0	1	0	1	0	1	0	allure
alluring	0	0	0	0	0	0	1	0	0	0	alluring
allusion	0	0	0	0	0	0	0	0	0	0	allusion
alluvial	0	0	0	0	0	0	0	0	0	0	alluvial
ally	0	0	0	0	0	0	1	0	0	1	ئىتتىپاقداش
almanac	0	0	0	0	0	0	0	0	0	0	almanac
almighty	0	0	0	0	0	0	1	0	0	0	ھەممىگە قادىر
aloft	0	0	0	0	0	0	0	0	0	0	aloft
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	بىللە
aloof	0	0	0	0	0	1	0	0	0	0	aloof
aloud	0	0	0	0	0	0	0	0	0	0	يۇقىرى ئاۋازدا
alphabet	0	0	0	0	0	0	0	0	0	0	ئېلىپبە
alphabetical	0	0	0	0	0	0	0	0	0	0	ئېلىپبە
altar	0	0	0	0	0	0	0	0	0	0	قۇربانلىق سۇپىسى
alter	0	0	0	0	0	0	0	0	0	0	alter
alteration	0	0	0	0	0	0	0	0	0	0	ئۆزگەرتىش
altercation	1	0	0	0	0	1	0	0	0	0	تالاش-تارتىش
altered	0	0	0	0	0	0	0	0	0	0	ئۆزگەرتىلدى
alternate	0	0	0	0	0	0	0	0	0	0	alternate
alternative	0	0	0	0	0	0	0	0	0	0	ئۇنىڭدىن باشقا
altitude	0	0	0	0	0	0	0	0	0	0	ئېگىزلىك
