English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Amharic Word
accountant	0	0	0	0	0	0	0	0	0	1	የሂሳብ ባለሙያ
accounting	0	0	0	0	0	0	0	0	0	0	የሂሳብ አያያዝ
accounts	0	0	0	0	0	0	0	0	0	1	መለያዎች
accredited	0	0	0	0	0	0	1	0	0	1	እውቅና የተሰጠው
accretion	0	0	0	0	0	0	0	0	0	0	መጨመር
accrue	0	0	0	0	0	0	0	0	0	0	ማጠራቀም
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	ማከማቸት
accumulation	0	0	0	0	0	0	0	0	0	0	ማጠራቀም
accuracy	0	0	0	0	0	0	0	0	0	0	ትክክለኛነት
accurate	0	0	0	0	0	0	1	0	0	1	ትክክለኛ
accursed	1	0	0	1	0	1	0	1	0	0	የተረገመ
accusation	1	0	1	0	0	1	0	0	0	0	ውንጀላ
accusative	0	0	0	0	0	1	0	0	0	0	ክስ የሚያቀርብ
accused	1	0	0	1	0	1	0	0	0	0	ተከሰሰ
accuser	1	0	0	1	0	1	0	0	0	0	ከሳሽ
accusing	1	0	0	1	0	1	0	0	0	0	መክሰስ
accustomed	0	0	0	0	0	0	0	0	0	0	የለመደው
ace	0	0	0	0	0	0	1	0	0	0	አሴ
acetic	0	0	0	0	0	0	0	0	0	0	አሴቲክ
ache	0	0	0	0	0	1	0	1	0	0	ህመም
achieve	0	0	0	0	1	0	1	0	0	1	ማሳካት
achievement	0	1	0	0	1	0	1	0	0	1	ስኬት
aching	0	0	0	0	0	1	0	1	0	0	የሚያሰቃይ
acid	0	0	0	0	0	1	0	0	0	0	አሲድ
acidity	0	0	0	0	0	0	0	0	0	0	አሲድነት
acknowledge	0	0	0	0	0	0	0	0	0	0	እውቅና መስጠት
acknowledged	0	0	0	0	0	0	0	0	0	0	እውቅና ሰጥቷል
acknowledgment	0	0	0	0	0	0	1	0	0	0	እውቅና መስጠት
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	አኮስቲክ
acoustics	0	0	0	0	0	0	0	0	0	0	አኮስቲክስ
acquaint	0	0	0	0	0	0	0	0	0	0	መተዋወቅ
acquaintance	0	0	0	0	0	0	0	0	0	0	መተዋወቅ
acquainted	0	0	0	0	0	0	0	0	0	0	መተዋወቅ
acquiescence	0	0	0	0	0	0	0	0	0	0	መቀበል
acquire	0	0	0	0	0	0	1	0	0	0	ማግኘት
acquiring	0	1	0	0	0	0	1	0	0	0	ማግኘት
acquisition	0	0	0	0	0	0	0	0	0	0	ማግኘት
acquisitions	0	0	0	0	0	0	0	0	0	0	ግዢዎች
acreage	0	0	0	0	0	0	0	0	0	0	acreage
acres	0	0	0	0	0	0	0	0	0	0	ኤከር
acrobat	0	0	0	1	1	0	1	0	0	1	አክሮባት
act	0	0	0	0	0	0	0	0	0	0	ተግባር
acting	0	0	0	0	0	0	0	0	0	0	ድርጊት
action	0	0	0	0	0	0	1	0	0	0	ድርጊት
actionable	1	0	1	0	0	1	0	0	0	0	ሊተገበር የሚችል
active	0	0	0	0	0	0	0	0	0	0	ንቁ
activity	0	0	0	0	0	0	0	0	0	0	እንቅስቃሴ
actor	0	0	0	0	0	0	0	0	0	0	ተዋናይ
actual	0	0	0	0	0	0	1	0	0	0	ትክክለኛ
actuality	0	0	0	0	0	0	0	0	0	0	ተጨባጭነት
actuary	0	0	0	0	0	0	0	0	0	0	ተጨባጭ
acuity	0	0	0	0	0	0	1	0	0	0	ትክክሇኛነት
acumen	0	0	0	0	0	0	1	0	0	0	አስተዋይ
acupuncture	0	0	0	0	0	0	0	0	0	0	አኩፓንቸር
acutely	0	0	0	0	0	0	0	0	0	0	በከፍተኛ ሁኔታ
adage	0	0	0	0	0	0	0	0	0	0	አባባል
adamant	0	0	0	0	0	0	0	0	0	0	ጠንከር ያለ
adapt	0	0	0	0	0	0	1	0	0	0	መላመድ
adaptable	0	0	0	0	0	0	1	0	0	0	የሚለምደዉ
add	0	0	0	0	0	0	0	0	0	0	ጨምር
added	0	0	0	0	0	0	0	0	0	0	ታክሏል
addendum	0	0	0	0	0	0	0	0	0	0	መደመር
adder	1	0	1	1	0	1	0	1	0	0	መጨመሪያ
addiction	0	0	0	0	0	1	0	0	0	0	ሱስ
addition	0	0	0	0	0	0	0	0	0	0	መደመር
additional	0	0	0	0	0	0	0	0	0	0	ተጨማሪ
additive	0	0	0	0	0	0	0	0	0	0	የሚጨምረው
address	0	0	0	0	0	0	0	0	0	0	አድራሻ
addressee	0	0	0	0	0	0	0	0	0	0	አድራሻ ተቀባይ
addresses	0	1	0	0	0	0	1	0	0	0	አድራሻዎች
adept	0	0	0	0	0	0	1	0	0	0	የተዋጣለት
adequacy	0	0	0	0	0	0	1	0	0	0	በቂነት
adequate	0	0	0	0	0	0	0	0	0	0	በቂ
adhere	0	0	0	0	0	0	0	0	0	0	ማክበር
adherence	0	0	0	0	0	0	0	0	0	0	ማክበር
adherent	0	0	0	0	0	0	0	0	0	0	ታዛዥ
adhering	0	0	0	0	0	0	0	0	0	1	መጣበቅ
adhesion	0	0	0	0	0	0	0	0	0	0	ማጣበቅ
adhesive	0	0	0	0	0	0	0	0	0	0	ማጣበቂያ
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	ስብ
adjacency	0	0	0	0	0	0	0	0	0	0	አብሮነት
adjacent	0	0	0	0	0	0	0	0	0	0	አጎራባች
adjective	0	0	0	0	0	0	0	0	0	0	ቅጽል
adjoining	0	0	0	0	0	0	0	0	0	0	ተጓዳኝ
adjourn	0	0	0	0	0	0	0	0	0	0	ዘግይቷል
adjournment	0	0	0	0	0	0	0	0	0	0	መዘግየት
adjudicate	0	0	0	1	0	1	0	0	0	0	መፍረድ
adjudication	0	0	0	0	0	0	0	0	0	0	ፍርድ መስጠት
adjunct	0	0	0	0	0	0	1	0	0	0	ተጓዳኝ
adjust	0	0	0	0	0	0	0	0	0	0	ማስተካከል
adjustment	0	0	0	0	0	0	0	0	0	0	ማስተካከል
adjuvant	0	0	0	0	0	0	0	0	0	0	ረዳት
administer	0	0	0	0	0	0	0	0	0	0	አስተዳድር
administration	0	0	0	0	0	0	0	0	0	0	አስተዳደር
administrative	0	0	0	0	0	0	0	0	0	1	አስተዳደራዊ
admirable	0	0	0	0	1	0	1	0	0	1	የሚደነቅ
admiral	0	0	0	0	0	0	1	0	0	1	አድሚራል
admiralty	0	0	0	0	0	0	0	0	0	0	አድሚራሊቲ
admiration	0	0	0	0	1	0	1	0	0	1	አድናቆት
admire	0	0	0	0	0	0	1	0	0	1	አደንቃለሁ
admirer	0	0	0	0	0	0	1	0	0	0	አድናቂ
admissibility	0	0	0	0	0	0	0	0	0	0	ተቀባይነት
admissible	0	0	0	0	0	0	1	0	0	1	ተቀባይነት ያለው
admission	0	0	0	0	0	0	0	0	0	0	መግቢያ
admit	0	0	0	0	0	0	0	0	0	0	መቀበል
admittance	0	0	0	0	0	0	0	0	0	0	መቀበል
admitted	0	0	0	0	0	0	0	0	0	0	አምኗል
admitting	0	0	0	0	0	0	0	0	0	0	መቀበል
admixture	0	0	0	0	0	0	0	0	0	0	ቅልቅል
admonition	0	0	0	1	0	1	0	0	0	0	ማሳሰቢያ
ado	0	0	0	0	0	0	0	0	0	0	አዶ
adobe	0	0	0	0	0	0	0	0	0	0	አዶቤ
adolescence	0	0	0	0	0	0	0	0	0	0	ጉርምስና
adolescent	0	0	0	0	0	0	0	0	0	0	ጉርምስና
adopt	0	0	0	0	0	0	0	0	0	0	ማደጎ
adoption	0	0	0	0	0	0	0	0	0	0	ጉዲፈቻ
adorable	0	0	0	0	1	0	1	0	0	0	ደስ የሚል
adoration	0	0	0	0	1	0	1	0	0	1	ማክበር
adore	0	1	0	0	1	0	1	0	0	1	አመስግኑት።
adorn	0	0	0	0	0	0	0	0	0	0	አስጌጥ
adornment	0	0	0	0	0	0	0	0	0	0	ጌጥ
adrift	0	1	0	1	0	1	0	1	0	0	መንሳፈፍ
adult	0	0	0	0	0	0	0	0	0	0	አዋቂ
adulterated	0	0	0	0	0	1	0	0	0	0	የተበላሸ
adultery	0	0	1	0	0	1	0	1	0	0	ምንዝር
advance	0	1	0	1	1	0	1	0	1	0	በቅድሚያ
advanced	0	0	0	0	0	0	1	0	0	0	የላቀ
advancement	0	0	0	0	0	0	1	0	0	0	እድገት
advancing	0	0	0	0	0	0	0	0	0	0	መራመድ
advantage	0	0	0	0	0	0	1	0	0	0	ጥቅም
advantageous	0	0	0	0	0	0	1	0	0	0	ጠቃሚ
advent	0	1	0	0	1	0	1	0	0	1	መምጣት
adventure	0	1	0	0	0	0	1	0	0	0	ጀብዱ
adventurer	0	0	0	0	0	0	0	0	0	0	ጀብደኛ
adventurous	0	0	0	0	0	0	1	0	0	0	ጀብደኛ
adversary	1	0	0	0	0	1	0	0	0	0	ተቃዋሚ
adverse	1	0	1	1	0	1	0	1	0	0	አሉታዊ
adversity	1	0	0	1	0	1	0	1	0	0	መከራ
advertise	0	0	0	0	0	0	0	0	0	0	ያስተዋውቁ
advertisement	0	0	0	0	0	0	0	0	0	0	ማስታወቂያ
advice	0	0	0	0	0	0	0	0	0	1	ምክር
advisable	0	0	0	0	0	0	1	0	0	1	የሚመከር
advise	0	0	0	0	0	0	1	0	0	1	መምከር
advised	0	0	0	0	0	0	0	0	0	1	የሚል ምክር ሰጥቷል
advisement	0	0	0	0	0	0	0	0	0	0	ምክር
adviser	0	0	0	0	0	0	1	0	0	1	አማካሪ
advocacy	1	1	0	0	1	0	1	0	0	1	ተሟጋችነት
advocate	0	0	0	0	0	0	0	0	0	1	ጠበቃ
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	አየር መሳብ
aerial	0	0	0	0	0	0	0	0	0	0	የአየር ላይ
aerodrome	0	0	0	0	0	0	0	0	0	0	ኤሮድሮም
aerodynamics	0	0	0	0	0	0	0	0	0	0	ኤሮዳይናሚክስ
aeronautics	0	0	0	0	0	0	0	0	0	0	ኤሮኖቲክስ
aeroplane	0	0	0	0	0	0	0	0	0	0	አውሮፕላን
aesthetic	0	0	0	0	0	0	1	0	0	0	ውበት
aesthetics	0	0	0	0	1	0	1	0	0	0	ውበት
aetiology	0	0	0	0	0	0	0	0	0	0	ኤቲዮሎጂ
afar	0	0	0	0	0	0	0	0	0	0	አፋር
affable	0	0	0	0	0	0	1	0	0	0	ሊታወቅ የሚችል
affair	0	0	0	0	0	0	0	0	0	0	ጉዳይ
affecting	0	0	0	0	0	0	0	0	0	0	ተጽዕኖ
affection	0	0	0	0	1	0	1	0	0	1	ፍቅር
affections	0	0	0	0	0	0	0	0	0	0	ፍቅር
affiche	0	0	0	0	0	0	0	0	0	0	አባሪ
affidavit	0	0	0	0	0	0	0	0	0	0	ቃለ መሃላ
affiliated	0	0	0	0	0	0	1	0	0	0	የተቆራኘ
affiliation	0	0	0	0	0	0	0	0	0	0	ዝምድና
affinity	0	0	0	0	0	0	0	0	0	0	ዝምድና
affirm	0	0	0	0	0	0	1	0	0	1	አረጋግጥ
affirmation	0	0	0	0	0	0	1	0	0	0	ማረጋገጫ
affirmative	0	0	0	0	0	0	1	0	0	0	ማረጋገጫ
affirmatively	0	0	0	0	0	0	1	0	0	1	በአዎንታዊ መልኩ
affix	0	0	0	0	0	0	0	0	0	0	መለጠፍ
afflict	0	0	0	1	0	1	0	1	0	0	ማሰቃየት
afflicted	0	0	0	0	0	1	0	0	0	0	የተጎሳቆለ
affliction	0	0	1	1	0	1	0	1	0	0	መከራ
affluence	0	0	0	0	1	0	1	0	0	0	ብልጽግና
affluent	0	0	0	0	0	0	1	0	0	0	ሀብታም
afford	0	0	0	0	0	0	1	0	0	0	አቅም
affront	1	0	1	1	0	1	0	1	1	0	ማጥቃት
afield	0	0	0	0	0	0	0	0	0	0	ርቆ
afore	0	0	0	0	0	0	0	0	0	0	በፊት
aforementioned	0	0	0	0	0	0	0	0	0	0	ከላይ የተጠቀሰው
aforesaid	0	0	0	0	0	0	0	0	0	0	ቀደም ሲል ተናግሯል
afraid	0	0	0	1	0	1	0	0	0	0	መፍራት
afresh	0	0	0	0	0	0	0	0	0	0	አዲስ
aft	0	0	0	0	0	0	0	0	0	0	በኋላ
aftermath	1	0	1	1	0	1	0	1	0	0	በኋላ
afternoon	0	0	0	0	0	0	0	0	0	0	ከሰአት
aftertaste	0	0	0	0	0	1	0	0	0	0	በኋላ ጣዕም
afterthought	0	0	0	0	0	0	0	0	0	0	ከሀሳብ በኋላ
aga	0	0	0	1	0	0	1	0	0	1	አጋ
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	ዕድሜ
aged	0	0	0	0	0	0	0	0	0	0	አረጋዊ
agency	0	0	0	0	0	0	0	0	0	0	ኤጀንሲ
agent	0	0	0	0	0	0	0	0	0	0	ወኪል
agglomeration	0	0	0	0	0	0	0	0	0	0	ማባባስ
aggravated	1	0	0	0	0	1	0	0	0	0	ተባብሷል
aggravating	1	0	0	0	0	1	0	1	0	0	የሚያባብስ
aggravation	1	0	1	0	0	1	0	0	0	0	ማባባስ
aggregate	0	0	0	0	0	0	0	0	0	0	ድምር
aggregation	0	0	0	0	0	0	0	0	0	0	ድምር
aggression	1	0	0	1	0	1	0	0	0	0	ማጥቃት
aggressive	1	0	0	1	0	1	0	0	0	0	ጠበኛ
aggressor	1	0	0	1	0	1	0	0	0	0	አጥቂ
aghast	0	0	1	1	0	1	0	0	1	0	ደነገጠ
agile	0	0	0	0	0	0	1	0	0	0	ቀልጣፋ
agility	0	0	0	0	0	0	1	0	0	0	ቅልጥፍና
agitated	1	0	0	0	0	1	0	0	0	0	ተናደደ
agitation	1	0	0	0	0	1	0	0	0	0	ቅስቀሳ
agnostic	0	0	0	0	0	0	0	0	0	0	አግኖስቲክ
ago	0	0	0	0	0	0	0	0	0	0	በፊት
agonizing	0	0	0	1	0	1	0	0	0	0	የሚያሰቃይ
agony	1	0	0	1	0	1	0	1	0	0	ስቃይ
agree	0	0	0	0	0	0	1	0	0	0	እስማማለሁ
agreeable	0	0	0	0	0	0	1	0	0	1	የሚስማማ
agreed	0	0	0	0	0	0	1	0	0	1	ተስማማ
agreeing	0	0	0	0	0	0	1	0	0	1	መስማማት
agreement	0	0	0	0	0	0	1	0	0	1	ስምምነት
agricultural	0	0	0	0	0	0	0	0	0	0	ግብርና
agriculture	0	0	0	0	0	0	1	0	0	0	ግብርና
aground	0	0	0	0	0	1	0	0	0	0	መሬት ላይ
agua	0	0	0	0	0	0	0	0	0	0	አጉዋ
ahead	0	0	0	0	0	0	1	0	0	0	ወደፊት
aid	0	0	0	0	0	0	1	0	0	0	እርዳታ
aiding	0	0	0	0	0	0	1	0	0	0	መርዳት
ail	0	0	0	0	0	1	0	1	0	0	አይል
ailing	0	0	0	1	0	1	0	1	0	0	የታመመ
ailment	0	0	0	0	0	0	0	0	0	0	ሕመም
aim	0	0	0	0	0	0	0	0	0	0	አላማ
aimless	0	0	0	0	0	1	0	0	0	0	ዓላማ የሌለው
air	0	0	0	0	0	0	0	0	0	0	አየር
airbag	0	0	0	0	0	0	0	0	0	0	ኤርባግ
airlift	0	0	0	0	0	0	0	0	0	0	የአየር ማራገቢያ
airline	0	0	0	0	0	0	0	0	0	0	አየር መንገድ
airman	0	0	0	0	0	0	0	0	0	0	የአየር ጠባቂ
airplane	0	0	0	0	0	0	0	0	0	0	አውሮፕላን
airport	0	1	0	0	0	0	0	0	0	0	አየር ማረፊያ
airs	0	0	1	0	0	1	0	0	0	0	አየሩ
airship	0	0	0	0	0	0	0	0	0	0	የአየር መርከብ
aisle	0	0	0	0	0	0	0	0	0	0	መተላለፊያ መንገድ
ait	0	0	0	0	0	0	0	0	0	0	አይ
ajar	0	0	0	0	0	0	0	0	0	0	አጃር
akin	0	0	0	0	0	0	0	0	0	1	ተዛማጅ
alabaster	0	0	0	0	0	0	1	0	0	0	አልባስተር
alarm	0	0	0	1	0	1	0	0	1	0	ማንቂያ
alarming	0	0	0	1	0	1	0	0	1	0	አስደንጋጭ
alb	0	0	0	0	0	0	0	0	0	1	አልብ
album	0	0	0	0	0	0	0	0	0	0	አልበም
alchemy	0	0	0	0	0	0	0	0	0	0	አልኬሚ
alcohol	0	0	0	0	0	0	0	0	0	0	አልኮል
alcoholism	1	0	1	1	0	1	0	1	0	0	የአልኮል ሱሰኝነት
alcove	0	0	0	0	0	0	0	0	0	0	አልኮቭ
alert	0	0	0	0	0	0	0	0	0	0	ማንቂያ
alertness	0	1	0	1	0	0	1	0	1	0	ንቃት
alerts	0	1	0	1	0	0	0	0	1	0	ማንቂያዎች
alfalfa	0	0	0	0	0	0	0	0	0	0	አልፋልፋ
algebra	0	0	0	0	0	0	0	0	0	0	አልጀብራ
algebraic	0	0	0	0	0	0	0	0	0	0	አልጀብራ
algorithm	0	0	0	0	0	0	0	0	0	0	አልጎሪዝም
alibi	0	0	0	0	0	0	0	0	0	0	አሊቢ
alien	0	0	1	1	0	1	0	0	0	0	ባዕድ
alienate	1	0	1	0	0	1	0	0	0	0	ማራቅ
alienated	0	0	0	0	0	1	0	1	0	0	የራቀ
alienation	1	0	1	1	0	1	0	1	0	0	ማግለል
alight	0	0	0	0	0	0	0	0	0	0	መውጣት
aligned	0	0	0	0	0	0	0	0	0	0	የተስተካከለ
alignment	0	0	0	0	0	0	0	0	0	0	አሰላለፍ
alike	0	0	0	0	0	0	0	0	0	0	በተመሳሳይ
alimentation	0	0	0	0	0	0	1	0	0	0	alimentation
alimony	0	0	0	0	0	1	0	0	0	0	አሊሞኒ
aliquot	0	0	0	0	0	0	0	0	0	0	አልቅት
alive	0	1	0	0	1	0	1	0	0	1	በሕይወት
alkali	0	0	0	0	0	0	0	0	0	0	አልካሊ
alkaloids	0	0	0	0	0	0	0	0	0	0	አልካሎይድስ
allay	0	0	0	0	0	0	1	0	0	0	አላይ
allegation	1	0	0	0	0	1	0	0	0	0	ውንጀላ
allege	0	0	0	0	0	1	0	0	0	0	ክስ
alleged	0	0	0	0	0	0	0	0	0	0	ተከሰሰ
allegiance	0	0	0	0	0	0	1	0	0	1	ታማኝነት
allegorical	0	0	0	0	0	0	0	0	0	0	ምሳሌያዊ
allegory	0	0	0	0	0	0	0	0	0	0	ምሳሌያዊ
allegro	0	0	0	0	0	0	1	0	0	0	አሌግሮ
alleviate	0	0	0	0	0	0	1	0	0	0	ማቃለል
alleviation	0	0	0	0	0	0	1	0	0	0	ማስታገሻ
alley	0	0	0	0	0	0	0	0	0	0	መንገድ
alliance	0	0	0	0	0	0	0	0	0	1	ህብረት
allied	0	0	0	0	0	0	1	0	0	1	የተባበረ
alligator	0	0	0	0	0	0	0	0	0	0	አዞ
allocate	0	0	0	0	0	0	0	0	0	0	መመደብ
allocation	0	0	0	0	0	0	0	0	0	0	ምደባ
allot	0	0	0	0	0	0	0	0	0	0	መመደብ
allotment	0	0	0	0	0	0	0	0	0	0	ድልድል
allowable	0	0	0	0	0	0	1	0	0	0	የሚፈቀድ
allowance	0	0	0	0	0	0	0	0	0	0	አበል
allowed	0	0	0	0	0	0	0	0	0	0	ተፈቅዷል
alloy	0	0	0	0	0	0	0	0	0	0	ቅይጥ
allure	0	1	0	0	1	0	1	0	1	0	ማባበል
alluring	0	0	0	0	0	0	1	0	0	0	ማራኪ
allusion	0	0	0	0	0	0	0	0	0	0	ጠቃሽ
alluvial	0	0	0	0	0	0	0	0	0	0	አሎቪያል
ally	0	0	0	0	0	0	1	0	0	1	አጋር
almanac	0	0	0	0	0	0	0	0	0	0	አልማናክ
almighty	0	0	0	0	0	0	1	0	0	0	ሁሉን ቻይ
aloft	0	0	0	0	0	0	0	0	0	0	ወደ ላይ
aloha	0	1	0	0	1	0	1	0	0	0	አሎሀ
alongside	0	0	0	0	0	0	0	0	0	0	ጎን ለጎን
aloof	0	0	0	0	0	1	0	0	0	0	የራቀ
aloud	0	0	0	0	0	0	0	0	0	0	ጮክ ብሎ
alphabet	0	0	0	0	0	0	0	0	0	0	ፊደል
alphabetical	0	0	0	0	0	0	0	0	0	0	ፊደላት
altar	0	0	0	0	0	0	0	0	0	0	መሠዊያ
alter	0	0	0	0	0	0	0	0	0	0	መቀየር
alteration	0	0	0	0	0	0	0	0	0	0	ለውጥ
altercation	1	0	0	0	0	1	0	0	0	0	ውዝግብ
altered	0	0	0	0	0	0	0	0	0	0	ተለውጧል
alternate	0	0	0	0	0	0	0	0	0	0	ተለዋጭ
alternative	0	0	0	0	0	0	0	0	0	0	አማራጭ
altitude	0	0	0	0	0	0	0	0	0	0	ከፍታ
alto	0	0	0	0	0	0	0	0	0	0	አልቶ
altogether	0	0	0	0	0	0	0	0	0	0	በአጠቃላይ
alumnus	0	0	0	0	0	0	0	0	0	0	ምሩቃን
alveolar	0	0	0	0	0	0	0	0	0	0	አልቮላር
amalgam	0	0	0	0	0	0	0	0	0	0	አማልጋም
amalgamation	0	0	0	0	0	0	0	0	0	0	ውህደት
amass	0	0	0	0	0	0	0	0	0	0	ማሰባሰብ
amateur	0	0	0	0	0	0	0	0	0	0	አማተር
