English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Turkmen Word
abrupt	0	0	0	0	0	0	0	0	1	0	duýdansyz
abruptly	0	0	0	0	0	0	0	0	0	0	duýdansyz
abscess	0	0	0	0	0	1	0	1	0	0	abses
absence	0	0	0	1	0	1	0	1	0	0	ýoklugy
absent	0	0	0	0	0	1	0	1	0	0	ýok
absentee	0	0	0	0	0	1	0	1	0	0	ýok
absenteeism	0	0	0	0	0	1	0	0	0	0	ýok bolmak
absinthe	0	0	0	0	0	0	0	0	0	0	abinthe
absolute	0	0	0	0	0	0	1	0	0	0	mutlak
absolution	0	0	0	0	1	0	1	0	0	1	ýatyrmak
absorbed	0	0	0	0	0	0	1	0	0	0	siňdirildi
absorbent	0	0	0	0	0	0	0	0	0	0	sorujy
absorbing	0	0	0	0	0	0	0	0	0	0	siňdiriji
absorption	0	0	0	0	0	0	0	0	0	0	siňdirilmegi
abstain	0	0	0	0	0	0	0	0	0	0	saklan
abstention	0	0	0	0	0	0	0	0	0	0	saklanmak
abstinence	0	0	0	0	0	0	0	0	0	0	saklanmak
abstract	0	0	0	0	0	0	0	0	0	0	abstrakt
abstraction	0	0	0	0	0	0	0	0	0	0	abstraksiýa
absurd	0	0	0	0	0	1	0	0	0	0	manysyz
absurdity	0	0	0	0	0	1	0	0	0	0	manysyzlyk
abundance	0	1	1	0	1	1	1	0	0	1	bolçulyk
abundant	0	0	0	0	1	0	1	0	0	0	bol
abuse	1	0	1	1	0	1	0	1	0	0	hyýanatçylykly peýdalanmak
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	abysmal
abyss	0	0	0	1	0	1	0	1	0	0	çukur
academic	0	0	0	0	0	0	1	0	0	1	akademiki
academy	0	0	0	0	0	0	1	0	0	0	akademiýa
accede	0	0	0	0	0	0	0	0	0	0	goşulmak
accelerate	0	1	0	0	0	0	0	0	0	0	çaltlaşdyrmak
acceleration	0	0	0	0	0	0	0	0	0	0	tizlenme
accent	0	0	0	0	0	0	0	0	0	0	aksent
accentuate	0	0	0	0	0	0	0	0	0	0	ulaltmak
accept	0	0	0	0	0	0	0	0	0	0	kabul et
acceptable	0	0	0	0	0	0	1	0	0	0	kabul ederliklidir
acceptance	0	0	0	0	0	0	1	0	0	0	kabul etmek
access	0	0	0	0	0	0	0	0	0	0	elýeterliligi
accessible	0	0	0	0	0	0	1	0	0	0	elýeterli
accession	0	0	0	0	0	0	0	0	0	0	goşulmak
accessory	0	0	0	0	0	0	0	0	0	0	aksessuar
accident	0	0	0	1	0	1	0	1	1	0	awariýa
accidental	0	0	0	1	0	1	0	0	1	0	tötänleýin
accidentally	0	0	0	0	0	0	0	0	1	0	tötänleýin
accolade	0	1	0	0	1	0	1	0	1	1	öwgi
accommodate	0	0	0	0	0	0	0	0	0	0	ýerleşdirmek
accommodation	0	0	0	0	0	0	1	0	0	0	ýaşamak
accompaniment	0	1	0	0	1	0	1	0	0	1	ýoldaşlyk
accompany	0	0	0	0	0	0	0	0	0	0	ýoldaş bolmak
accompanying	0	0	0	0	0	0	0	0	0	0	ýoldaşlyk edýär
accomplice	0	0	0	0	0	0	0	0	0	0	şärik
accomplish	0	0	0	0	1	0	1	0	0	0	ýerine ýetirmek
accomplished	0	0	0	0	1	0	1	0	0	0	ýerine ýetirildi
accomplishment	0	0	0	0	0	0	1	0	0	0	üstünlik
accord	0	0	0	0	0	0	1	0	0	1	ylalaşyk
accordance	0	0	0	0	0	0	0	0	0	0	laýyklykda
accordion	0	0	0	0	0	0	0	0	0	0	akkordeon
account	0	0	0	0	0	0	0	0	0	1	hasaby
accountability	0	0	0	0	0	0	1	0	0	1	jogapkärçilik
accountable	0	0	0	0	0	0	1	0	0	1	jogapkär
accountant	0	0	0	0	0	0	0	0	0	1	buhgalter
accounting	0	0	0	0	0	0	0	0	0	0	buhgalteriýa
accounts	0	0	0	0	0	0	0	0	0	1	hasaplary
accredited	0	0	0	0	0	0	1	0	0	1	akkreditlenen
accretion	0	0	0	0	0	0	0	0	0	0	akkreditasiýa
accrue	0	0	0	0	0	0	0	0	0	0	hasaplamak
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	ýygnamak
accumulation	0	0	0	0	0	0	0	0	0	0	ýygnamak
accuracy	0	0	0	0	0	0	0	0	0	0	takyklygy
accurate	0	0	0	0	0	0	1	0	0	1	takyk
accursed	1	0	0	1	0	1	0	1	0	0	nälet bolsun
accusation	1	0	1	0	0	1	0	0	0	0	aýyplama
accusative	0	0	0	0	0	1	0	0	0	0	aýyplaýjy
accused	1	0	0	1	0	1	0	0	0	0	günäkärlenýär
accuser	1	0	0	1	0	1	0	0	0	0	aýyplaýjy
accusing	1	0	0	1	0	1	0	0	0	0	günäkärlemek
accustomed	0	0	0	0	0	0	0	0	0	0	öwrenişdi
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	sirke
ache	0	0	0	0	0	1	0	1	0	0	agyry
achieve	0	0	0	0	1	0	1	0	0	1	gazanmak
achievement	0	1	0	0	1	0	1	0	0	1	üstünlik
aching	0	0	0	0	0	1	0	1	0	0	agyry
acid	0	0	0	0	0	1	0	0	0	0	kislotasy
acidity	0	0	0	0	0	0	0	0	0	0	turşulygy
acknowledge	0	0	0	0	0	0	0	0	0	0	ykrar et
acknowledged	0	0	0	0	0	0	0	0	0	0	ykrar edildi
acknowledgment	0	0	0	0	0	0	1	0	0	0	ykrar etmek
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	akustiki
acoustics	0	0	0	0	0	0	0	0	0	0	akustika
acquaint	0	0	0	0	0	0	0	0	0	0	tanyş
acquaintance	0	0	0	0	0	0	0	0	0	0	tanyş
acquainted	0	0	0	0	0	0	0	0	0	0	tanyş
acquiescence	0	0	0	0	0	0	0	0	0	0	razylyk
acquire	0	0	0	0	0	0	1	0	0	0	edin
acquiring	0	1	0	0	0	0	1	0	0	0	almak
acquisition	0	0	0	0	0	0	0	0	0	0	almak
acquisitions	0	0	0	0	0	0	0	0	0	0	gazanmak
acreage	0	0	0	0	0	0	0	0	0	0	meýdany
acres	0	0	0	0	0	0	0	0	0	0	gektar
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
act	0	0	0	0	0	0	0	0	0	0	hereket et
acting	0	0	0	0	0	0	0	0	0	0	aktýor
action	0	0	0	0	0	0	1	0	0	0	hereket
actionable	1	0	1	0	0	1	0	0	0	0	hereketli
active	0	0	0	0	0	0	0	0	0	0	işjeň
activity	0	0	0	0	0	0	0	0	0	0	işjeňlik
actor	0	0	0	0	0	0	0	0	0	0	aktýor
actual	0	0	0	0	0	0	1	0	0	0	hakyky
actuality	0	0	0	0	0	0	0	0	0	0	hakykat
actuary	0	0	0	0	0	0	0	0	0	0	aktuar
acuity	0	0	0	0	0	0	1	0	0	0	ýitilik
acumen	0	0	0	0	0	0	1	0	0	0	akum
acupuncture	0	0	0	0	0	0	0	0	0	0	akupunktura
acutely	0	0	0	0	0	0	0	0	0	0	ýiti
adage	0	0	0	0	0	0	0	0	0	0	nakyl
adamant	0	0	0	0	0	0	0	0	0	0	tutanýerli
adapt	0	0	0	0	0	0	1	0	0	0	uýgunlaşdyryň
adaptable	0	0	0	0	0	0	1	0	0	0	uýgunlaşdyrylan
add	0	0	0	0	0	0	0	0	0	0	goş
added	0	0	0	0	0	0	0	0	0	0	goşuldy
addendum	0	0	0	0	0	0	0	0	0	0	goşundy
adder	1	0	1	1	0	1	0	1	0	0	mahabatçy
addiction	0	0	0	0	0	1	0	0	0	0	endik
addition	0	0	0	0	0	0	0	0	0	0	goşmak
additional	0	0	0	0	0	0	0	0	0	0	goşmaça
additive	0	0	0	0	0	0	0	0	0	0	goşundy
address	0	0	0	0	0	0	0	0	0	0	salgysy
addressee	0	0	0	0	0	0	0	0	0	0	salgysy
addresses	0	1	0	0	0	0	1	0	0	0	salgylary
adept	0	0	0	0	0	0	1	0	0	0	ussat
adequacy	0	0	0	0	0	0	1	0	0	0	ýeterliklik
adequate	0	0	0	0	0	0	0	0	0	0	ýeterlik
adhere	0	0	0	0	0	0	0	0	0	0	berjaý et
adherence	0	0	0	0	0	0	0	0	0	0	berjaý etmek
adherent	0	0	0	0	0	0	0	0	0	0	eýeriji
adhering	0	0	0	0	0	0	0	0	0	1	berjaý etmek
adhesion	0	0	0	0	0	0	0	0	0	0	ýelmeşmek
adhesive	0	0	0	0	0	0	0	0	0	0	ýelim
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	ýanaşyk
adjacent	0	0	0	0	0	0	0	0	0	0	ýanaşyk
adjective	0	0	0	0	0	0	0	0	0	0	sypat
adjoining	0	0	0	0	0	0	0	0	0	0	ýanaşyk
adjourn	0	0	0	0	0	0	0	0	0	0	yza süýşürmek
adjournment	0	0	0	0	0	0	0	0	0	0	yza süýşürmek
adjudicate	0	0	0	1	0	1	0	0	0	0	höküm çykarmak
adjudication	0	0	0	0	0	0	0	0	0	0	kazyýet işi
adjunct	0	0	0	0	0	0	1	0	0	0	sazlaýjy
adjust	0	0	0	0	0	0	0	0	0	0	sazlaň
adjustment	0	0	0	0	0	0	0	0	0	0	sazlamak
adjuvant	0	0	0	0	0	0	0	0	0	0	sazlaýjy
administer	0	0	0	0	0	0	0	0	0	0	dolandyryjy
administration	0	0	0	0	0	0	0	0	0	0	dolandyryş
administrative	0	0	0	0	0	0	0	0	0	1	administratiw
admirable	0	0	0	0	1	0	1	0	0	1	haýran galdyryjy
admiral	0	0	0	0	0	0	1	0	0	1	admiral
admiralty	0	0	0	0	0	0	0	0	0	0	admiralty
admiration	0	0	0	0	1	0	1	0	0	1	haýran galmak
admire	0	0	0	0	0	0	1	0	0	1	haýran gal
admirer	0	0	0	0	0	0	1	0	0	0	muşdak
admissibility	0	0	0	0	0	0	0	0	0	0	kabul edilip bilner
admissible	0	0	0	0	0	0	1	0	0	1	kabul ederliklidir
admission	0	0	0	0	0	0	0	0	0	0	giriş
admit	0	0	0	0	0	0	0	0	0	0	boýun al
admittance	0	0	0	0	0	0	0	0	0	0	giriş
admitted	0	0	0	0	0	0	0	0	0	0	kabul etdi
admitting	0	0	0	0	0	0	0	0	0	0	boýun alýar
admixture	0	0	0	0	0	0	0	0	0	0	goşulma
admonition	0	0	0	1	0	1	0	0	0	0	öwüt
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	ýetginjeklik
adolescent	0	0	0	0	0	0	0	0	0	0	ýetginjek
adopt	0	0	0	0	0	0	0	0	0	0	ogullyga almak
adoption	0	0	0	0	0	0	0	0	0	0	ogullyga almak
adorable	0	0	0	0	1	0	1	0	0	0	bezeg
adoration	0	0	0	0	1	0	1	0	0	1	sejde
adore	0	1	0	0	1	0	1	0	0	1	seorede etmek
adorn	0	0	0	0	0	0	0	0	0	0	bezemek
adornment	0	0	0	0	0	0	0	0	0	0	bezeg
adrift	0	1	0	1	0	1	0	1	0	0	adrift
adult	0	0	0	0	0	0	0	0	0	0	uly ýaşly
adulterated	0	0	0	0	0	1	0	0	0	0	zyna
adultery	0	0	1	0	0	1	0	1	0	0	zyna
advance	0	1	0	1	1	0	1	0	1	0	öňe gitmek
advanced	0	0	0	0	0	0	1	0	0	0	ösen
advancement	0	0	0	0	0	0	1	0	0	0	öňe gidişlik
advancing	0	0	0	0	0	0	0	0	0	0	öňe gitmek
advantage	0	0	0	0	0	0	1	0	0	0	artykmaçlygy
advantageous	0	0	0	0	0	0	1	0	0	0	peýdalydyr
advent	0	1	0	0	1	0	1	0	0	1	gelmegi
adventure	0	1	0	0	0	0	1	0	0	0	başdan geçirmeler
adventurer	0	0	0	0	0	0	0	0	0	0	başdangeçiriji
adventurous	0	0	0	0	0	0	1	0	0	0	başdan geçirmeler
adversary	1	0	0	0	0	1	0	0	0	0	garşydaş
adverse	1	0	1	1	0	1	0	1	0	0	ýaramaz
adversity	1	0	0	1	0	1	0	1	0	0	kynçylyklar
advertise	0	0	0	0	0	0	0	0	0	0	mahabat ber
advertisement	0	0	0	0	0	0	0	0	0	0	mahabat
advice	0	0	0	0	0	0	0	0	0	1	maslahat
advisable	0	0	0	0	0	0	1	0	0	1	maslahat berilýär
advise	0	0	0	0	0	0	1	0	0	1	maslahat ber
advised	0	0	0	0	0	0	0	0	0	1	maslahat berdi
advisement	0	0	0	0	0	0	0	0	0	0	maslahat bermek
adviser	0	0	0	0	0	0	1	0	0	1	geňeşçisi
advocacy	1	1	0	0	1	0	1	0	0	1	wagyz etmek
advocate	0	0	0	0	0	0	0	0	0	1	aklawçy
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	aerasiýa
aerial	0	0	0	0	0	0	0	0	0	0	howa
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodrom
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinamika
aeronautics	0	0	0	0	0	0	0	0	0	0	awiasiýa
aeroplane	0	0	0	0	0	0	0	0	0	0	uçar
aesthetic	0	0	0	0	0	0	1	0	0	0	estetiki
aesthetics	0	0	0	0	1	0	1	0	0	0	estetika
aetiology	0	0	0	0	0	0	0	0	0	0	etiologiýa
afar	0	0	0	0	0	0	0	0	0	0	uzakda
affable	0	0	0	0	0	0	1	0	0	0	mähirli
affair	0	0	0	0	0	0	0	0	0	0	iş
affecting	0	0	0	0	0	0	0	0	0	0	täsir edýär
affection	0	0	0	0	1	0	1	0	0	1	mähir
affections	0	0	0	0	0	0	0	0	0	0	mähir
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	kepilnama
affiliated	0	0	0	0	0	0	1	0	0	0	dahylly
affiliation	0	0	0	0	0	0	0	0	0	0	degişliligi
affinity	0	0	0	0	0	0	0	0	0	0	ýakynlyk
affirm	0	0	0	0	0	0	1	0	0	1	tassykla
affirmation	0	0	0	0	0	0	1	0	0	0	tassyklama
affirmative	0	0	0	0	0	0	1	0	0	0	tassyklaýjy
affirmatively	0	0	0	0	0	0	1	0	0	1	tassyklaýan
affix	0	0	0	0	0	0	0	0	0	0	affiksi
afflict	0	0	0	1	0	1	0	1	0	0	jebir çekmek
afflicted	0	0	0	0	0	1	0	0	0	0	jebir çekýär
affliction	0	0	1	1	0	1	0	1	0	0	görgi
affluence	0	0	0	0	1	0	1	0	0	0	baýlyk
affluent	0	0	0	0	0	0	1	0	0	0	baý
afford	0	0	0	0	0	0	1	0	0	0	elýeterli
affront	1	0	1	1	0	1	0	1	1	0	garşy çykmak
afield	0	0	0	0	0	0	0	0	0	0	meýdançada
afore	0	0	0	0	0	0	0	0	0	0	ýokarda
aforementioned	0	0	0	0	0	0	0	0	0	0	ýokarda agzalyp geçilýär
aforesaid	0	0	0	0	0	0	0	0	0	0	ýokarda aýdylýar
afraid	0	0	0	1	0	1	0	0	0	0	gorkýar
afresh	0	0	0	0	0	0	0	0	0	0	täzeden
aft	0	0	0	0	0	0	0	0	0	0	aft
aftermath	1	0	1	1	0	1	0	1	0	0	netijesi
afternoon	0	0	0	0	0	0	0	0	0	0	günortan
aftertaste	0	0	0	0	0	1	0	0	0	0	soňundan
afterthought	0	0	0	0	0	0	0	0	0	0	soňundan
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	ýaşy
aged	0	0	0	0	0	0	0	0	0	0	garry
agency	0	0	0	0	0	0	0	0	0	0	gullugy
agent	0	0	0	0	0	0	0	0	0	0	agent
agglomeration	0	0	0	0	0	0	0	0	0	0	aglomerasiýa
aggravated	1	0	0	0	0	1	0	0	0	0	agyrlaşdy
aggravating	1	0	0	0	0	1	0	1	0	0	agyrlaşdyrýar
aggravation	1	0	1	0	0	1	0	0	0	0	agyrlaşdyrmak
aggregate	0	0	0	0	0	0	0	0	0	0	jemi
aggregation	0	0	0	0	0	0	0	0	0	0	jemlemek
aggression	1	0	0	1	0	1	0	0	0	0	agressiýa
aggressive	1	0	0	1	0	1	0	0	0	0	agressiw
aggressor	1	0	0	1	0	1	0	0	0	0	agressor
aghast	0	0	1	1	0	1	0	0	1	0	aghast
agile	0	0	0	0	0	0	1	0	0	0	çeýe
agility	0	0	0	0	0	0	1	0	0	0	çeýeligi
agitated	1	0	0	0	0	1	0	0	0	0	gaharlandy
agitation	1	0	0	0	0	1	0	0	0	0	agitasiýa
agnostic	0	0	0	0	0	0	0	0	0	0	agnostik
ago	0	0	0	0	0	0	0	0	0	0	ozal
agonizing	0	0	0	1	0	1	0	0	0	0	gynandyryjy
agony	1	0	0	1	0	1	0	1	0	0	agyry
agree	0	0	0	0	0	0	1	0	0	0	razy
agreeable	0	0	0	0	0	0	1	0	0	1	razy
agreed	0	0	0	0	0	0	1	0	0	1	razy boldular
agreeing	0	0	0	0	0	0	1	0	0	1	razy
agreement	0	0	0	0	0	0	1	0	0	1	şertnamasy
agricultural	0	0	0	0	0	0	0	0	0	0	oba hojalygy
agriculture	0	0	0	0	0	0	1	0	0	0	oba hojalygy
aground	0	0	0	0	0	1	0	0	0	0	aground
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	öňde
aid	0	0	0	0	0	0	1	0	0	0	kömek
aiding	0	0	0	0	0	0	1	0	0	0	kömek etmek
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	näsag
ailment	0	0	0	0	0	0	0	0	0	0	kesel
aim	0	0	0	0	0	0	0	0	0	0	maksat
aimless	0	0	0	0	0	1	0	0	0	0	maksatsyz
air	0	0	0	0	0	0	0	0	0	0	howa
airbag	0	0	0	0	0	0	0	0	0	0	howpsuzlyk howa ýassygy
airlift	0	0	0	0	0	0	0	0	0	0	uçar
airline	0	0	0	0	0	0	0	0	0	0	awiakompaniýasy
airman	0	0	0	0	0	0	0	0	0	0	uçarman
airplane	0	0	0	0	0	0	0	0	0	0	uçar
airport	0	1	0	0	0	0	0	0	0	0	howa menzili
airs	0	0	1	0	0	1	0	0	0	0	howa
airship	0	0	0	0	0	0	0	0	0	0	dirishipabl
aisle	0	0	0	0	0	0	0	0	0	0	geçelge
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	akin
alabaster	0	0	0	0	0	0	1	0	0	0	alabaster
alarm	0	0	0	1	0	1	0	0	1	0	duýduryş
alarming	0	0	0	1	0	1	0	0	1	0	aladalandyryjy
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	albom
alchemy	0	0	0	0	0	0	0	0	0	0	alhimiýa
alcohol	0	0	0	0	0	0	0	0	0	0	alkogol
alcoholism	1	0	1	1	0	1	0	1	0	0	arakhorluk
alcove	0	0	0	0	0	0	0	0	0	0	alkow
alert	0	0	0	0	0	0	0	0	0	0	hüşgär
alertness	0	1	0	1	0	0	1	0	1	0	hüşgärlik
alerts	0	1	0	1	0	0	0	0	1	0	duýduryşlary
alfalfa	0	0	0	0	0	0	0	0	0	0	ýorunja
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraik
algorithm	0	0	0	0	0	0	0	0	0	0	algoritmi
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	keseki
alienate	1	0	1	0	0	1	0	0	0	0	keseki
alienated	0	0	0	0	0	1	0	1	0	0	keseki
alienation	1	0	1	1	0	1	0	1	0	0	keseki bolmak
alight	0	0	0	0	0	0	0	0	0	0	al
aligned	0	0	0	0	0	0	0	0	0	0	deňleşdirildi
alignment	0	0	0	0	0	0	0	0	0	0	deňleşdirmek
alike	0	0	0	0	0	0	0	0	0	0	birmeňzeş
alimentation	0	0	0	0	0	0	1	0	0	0	alimentasiýa
alimony	0	0	0	0	0	1	0	0	0	0	aliment
aliquot	0	0	0	0	0	0	0	0	0	0	alikot
alive	0	1	0	0	1	0	1	0	0	1	diri
alkali	0	0	0	0	0	0	0	0	0	0	aşgar
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloidler
allay	0	0	0	0	0	0	1	0	0	0	alla
allegation	1	0	0	0	0	1	0	0	0	0	aýyplama
allege	0	0	0	0	0	1	0	0	0	0	aýyplama
alleged	0	0	0	0	0	0	0	0	0	0	öňe sürülýär
allegiance	0	0	0	0	0	0	1	0	0	1	wepalylyk
allegorical	0	0	0	0	0	0	0	0	0	0	göçme manyda
allegory	0	0	0	0	0	0	0	0	0	0	göçme many
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	ýeňilleşdirmek
alleviation	0	0	0	0	0	0	1	0	0	0	ýeňilleşdirmek
alley	0	0	0	0	0	0	0	0	0	0	seýilgäh
alliance	0	0	0	0	0	0	0	0	0	1	bileleşik
allied	0	0	0	0	0	0	1	0	0	1	soýuzdaş
alligator	0	0	0	0	0	0	0	0	0	0	alligator
allocate	0	0	0	0	0	0	0	0	0	0	bölüň
allocation	0	0	0	0	0	0	0	0	0	0	bölmek
allot	0	0	0	0	0	0	0	0	0	0	paýla
allotment	0	0	0	0	0	0	0	0	0	0	paýlamak
allowable	0	0	0	0	0	0	1	0	0	0	rugsat berilýär
allowance	0	0	0	0	0	0	0	0	0	0	kömek pullary
allowed	0	0	0	0	0	0	0	0	0	0	rugsat berildi
alloy	0	0	0	0	0	0	0	0	0	0	garyndy
allure	0	1	0	0	1	0	1	0	1	0	allure
alluring	0	0	0	0	0	0	1	0	0	0	özüne çekiji
allusion	0	0	0	0	0	0	0	0	0	0	alýuziýa
alluvial	0	0	0	0	0	0	0	0	0	0	alýuwial
ally	0	0	0	0	0	0	1	0	0	1	soýuzdaş
almanac	0	0	0	0	0	0	0	0	0	0	almanak
almighty	0	0	0	0	0	0	1	0	0	0	gudratygüýçli
aloft	0	0	0	0	0	0	0	0	0	0	aloft
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	bilen bilelikde
aloof	0	0	0	0	0	1	0	0	0	0	aloof
aloud	0	0	0	0	0	0	0	0	0	0	sesli
alphabet	0	0	0	0	0	0	0	0	0	0	elipbiý
alphabetical	0	0	0	0	0	0	0	0	0	0	elipbiý boýunça
altar	0	0	0	0	0	0	0	0	0	0	gurbanlyk sypasy
alter	0	0	0	0	0	0	0	0	0	0	üýtgetmek
alteration	0	0	0	0	0	0	0	0	0	0	üýtgetmek
altercation	1	0	0	0	0	1	0	0	0	0	dawa
altered	0	0	0	0	0	0	0	0	0	0	üýtgedildi
alternate	0	0	0	0	0	0	0	0	0	0	alternatiw
alternative	0	0	0	0	0	0	0	0	0	0	alternatiwasy
altitude	0	0	0	0	0	0	0	0	0	0	beýiklik
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	umuman
alumnus	0	0	0	0	0	0	0	0	0	0	uçurym
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	birleşmek
amass	0	0	0	0	0	0	0	0	0	0	amass
amateur	0	0	0	0	0	0	0	0	0	0	höwesjeň
amaze	0	0	0	0	0	0	0	0	1	0	geň galdyr
amazement	0	0	0	0	0	0	0	0	0	0	haýran galmak
amazingly	0	0	0	0	1	0	1	0	1	0	Geň galdyryjy
ambassador	0	0	0	0	0	0	1	0	0	1	ilçi
amber	0	0	0	0	0	0	0	0	0	0	amber
ambient	0	0	0	0	0	0	0	0	0	0	Daşky gurşaw
ambiguity	0	0	0	0	0	0	0	0	0	0	düşnüksizlik
ambiguous	0	0	0	0	0	1	0	0	0	0	düşnüksiz
ambit	0	0	0	0	0	0	0	0	0	0	ambisiýa
ambition	0	1	0	0	1	0	1	0	0	1	ambisiýa
ambitious	0	0	0	0	0	0	0	0	0	0	hyjuwly
ambulance	0	0	0	1	0	0	0	0	0	1	tiz kömek
ambush	1	0	0	1	0	1	0	0	1	0	gabaw
ameliorate	0	0	0	0	0	0	1	0	0	0	melioratiw
amen	0	0	0	0	1	0	1	0	0	1	amin
amenable	0	0	0	0	0	0	1	0	0	0	amatly
amend	0	0	0	0	0	0	1	0	0	0	üýtgetmek
amendment	0	0	0	0	0	0	0	0	0	0	düzediş
amends	0	0	0	0	0	0	1	0	0	0	düzedýär
amenity	0	0	0	0	0	0	1	0	0	0	amatlylyk
amethyst	0	0	0	0	0	0	0	0	0	0	ametist
amiable	0	0	0	0	0	0	1	0	0	0	ýakymly
amicable	0	0	0	0	1	0	1	0	0	0	ýakymly
amid	0	0	0	0	0	0	0	0	0	0	arasynda
amidst	0	0	0	0	0	0	0	0	0	0	arasynda
ammonia	0	0	1	0	0	0	0	0	0	0	ammiak
