English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Mongolian Word
adage	0	0	0	0	0	0	0	0	0	0	зүйр үг
adamant	0	0	0	0	0	0	0	0	0	0	хатуу
adapt	0	0	0	0	0	0	1	0	0	0	дасан зохицох
adaptable	0	0	0	0	0	0	1	0	0	0	дасан зохицох чадвартай
add	0	0	0	0	0	0	0	0	0	0	нэмэх
added	0	0	0	0	0	0	0	0	0	0	нэмсэн
addendum	0	0	0	0	0	0	0	0	0	0	нэмэлт
adder	1	0	1	1	0	1	0	1	0	0	нэмэгч
addiction	0	0	0	0	0	1	0	0	0	0	донтолт
addition	0	0	0	0	0	0	0	0	0	0	нэмэлт
additional	0	0	0	0	0	0	0	0	0	0	нэмэлт
additive	0	0	0	0	0	0	0	0	0	0	нэмэлт
address	0	0	0	0	0	0	0	0	0	0	хаяг
addressee	0	0	0	0	0	0	0	0	0	0	хаяг хүлээн авагч
addresses	0	1	0	0	0	0	1	0	0	0	хаягууд
adept	0	0	0	0	0	0	1	0	0	0	чадварлаг
adequacy	0	0	0	0	0	0	1	0	0	0	хангалттай байдал
adequate	0	0	0	0	0	0	0	0	0	0	хангалттай
adhere	0	0	0	0	0	0	0	0	0	0	дагаж мөрдөх
adherence	0	0	0	0	0	0	0	0	0	0	дагаж мөрдөх
adherent	0	0	0	0	0	0	0	0	0	0	дагагч
adhering	0	0	0	0	0	0	0	0	0	1	наалдсан
adhesion	0	0	0	0	0	0	0	0	0	0	наалдац
adhesive	0	0	0	0	0	0	0	0	0	0	цавуу
adieu	0	0	0	0	0	0	0	0	0	0	сайхан байна
adipose	0	0	0	0	0	1	0	0	0	0	өөх тос
adjacency	0	0	0	0	0	0	0	0	0	0	зэргэлдээ байдал
adjacent	0	0	0	0	0	0	0	0	0	0	зэргэлдээ
adjective	0	0	0	0	0	0	0	0	0	0	нэр үг
adjoining	0	0	0	0	0	0	0	0	0	0	зэргэлдээ
adjourn	0	0	0	0	0	0	0	0	0	0	завсарлах
adjournment	0	0	0	0	0	0	0	0	0	0	завсарлага
adjudicate	0	0	0	1	0	1	0	0	0	0	шүүх
adjudication	0	0	0	0	0	0	0	0	0	0	шүүлт
adjunct	0	0	0	0	0	0	1	0	0	0	нэмэлт
adjust	0	0	0	0	0	0	0	0	0	0	тохируулах
adjustment	0	0	0	0	0	0	0	0	0	0	тохируулга
adjuvant	0	0	0	0	0	0	0	0	0	0	туслах
administer	0	0	0	0	0	0	0	0	0	0	удирдах
administration	0	0	0	0	0	0	0	0	0	0	захиргаа
administrative	0	0	0	0	0	0	0	0	0	1	захиргааны
admirable	0	0	0	0	1	0	1	0	0	1	биширмээр
admiral	0	0	0	0	0	0	1	0	0	1	адмирал
admiralty	0	0	0	0	0	0	0	0	0	0	адмиралт
admiration	0	0	0	0	1	0	1	0	0	1	гайхал
admire	0	0	0	0	0	0	1	0	0	1	биширдэг
admirer	0	0	0	0	0	0	1	0	0	0	шүтэн бишрэгч
admissibility	0	0	0	0	0	0	0	0	0	0	хүлээн зөвшөөрөх байдал
admissible	0	0	0	0	0	0	1	0	0	1	зөвшөөрөгдөх
admission	0	0	0	0	0	0	0	0	0	0	элсэлт
admit	0	0	0	0	0	0	0	0	0	0	хүлээн зөвшөөрөх
admittance	0	0	0	0	0	0	0	0	0	0	элсэлт
admitted	0	0	0	0	0	0	0	0	0	0	хүлээн зөвшөөрсөн
admitting	0	0	0	0	0	0	0	0	0	0	хүлээн зөвшөөрч байна
admixture	0	0	0	0	0	0	0	0	0	0	хольц
admonition	0	0	0	1	0	1	0	0	0	0	сануулга
ado	0	0	0	0	0	0	0	0	0	0	ад
adobe	0	0	0	0	0	0	0	0	0	0	Adobe
adolescence	0	0	0	0	0	0	0	0	0	0	өсвөр нас
adolescent	0	0	0	0	0	0	0	0	0	0	өсвөр насныхан
adopt	0	0	0	0	0	0	0	0	0	0	үрчлэх
adoption	0	0	0	0	0	0	0	0	0	0	үрчлэлт
adorable	0	0	0	0	1	0	1	0	0	0	өхөөрдөм
adoration	0	0	0	0	1	0	1	0	0	1	шүтэн бишрэх
adore	0	1	0	0	1	0	1	0	0	1	биширдэг
adorn	0	0	0	0	0	0	0	0	0	0	чимэх
adornment	0	0	0	0	0	0	0	0	0	0	гоёл чимэглэл
adrift	0	1	0	1	0	1	0	1	0	0	зөрөх
adult	0	0	0	0	0	0	0	0	0	0	насанд хүрсэн
adulterated	0	0	0	0	0	1	0	0	0	0	хуурамчаар үйлдсэн
adultery	0	0	1	0	0	1	0	1	0	0	завхайрал
advance	0	1	0	1	1	0	1	0	1	0	урьдчилгаа
advanced	0	0	0	0	0	0	1	0	0	0	дэвшилтэт
advancement	0	0	0	0	0	0	1	0	0	0	дэвшил
advancing	0	0	0	0	0	0	0	0	0	0	урагшилж байна
advantage	0	0	0	0	0	0	1	0	0	0	давуу тал
advantageous	0	0	0	0	0	0	1	0	0	0	давуу талтай
advent	0	1	0	0	1	0	1	0	0	1	ирэлт
adventure	0	1	0	0	0	0	1	0	0	0	адал явдал
adventurer	0	0	0	0	0	0	0	0	0	0	адал явдалт хүн
adventurous	0	0	0	0	0	0	1	0	0	0	адал явдалт
adversary	1	0	0	0	0	1	0	0	0	0	дайсан
adverse	1	0	1	1	0	1	0	1	0	0	сөрөг
adversity	1	0	0	1	0	1	0	1	0	0	гай зовлон
advertise	0	0	0	0	0	0	0	0	0	0	сурталчлах
advertisement	0	0	0	0	0	0	0	0	0	0	сурталчилгаа
advice	0	0	0	0	0	0	0	0	0	1	зөвлөгөө
advisable	0	0	0	0	0	0	1	0	0	1	зөвлөж байна
advise	0	0	0	0	0	0	1	0	0	1	зөвлөгөө өгөх
advised	0	0	0	0	0	0	0	0	0	1	зөвлөсөн
advisement	0	0	0	0	0	0	0	0	0	0	зөвлөгөө
adviser	0	0	0	0	0	0	1	0	0	1	зөвлөх
advocacy	1	1	0	0	1	0	1	0	0	1	сурталчилгаа
advocate	0	0	0	0	0	0	0	0	0	1	өмгөөлөгч
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	агааржуулалт
aerial	0	0	0	0	0	0	0	0	0	0	агаарын
aerodrome	0	0	0	0	0	0	0	0	0	0	аэродром
aerodynamics	0	0	0	0	0	0	0	0	0	0	аэродинамик
aeronautics	0	0	0	0	0	0	0	0	0	0	нисэх онгоц
aeroplane	0	0	0	0	0	0	0	0	0	0	онгоц
aesthetic	0	0	0	0	0	0	1	0	0	0	гоо зүйн
aesthetics	0	0	0	0	1	0	1	0	0	0	гоо зүй
aetiology	0	0	0	0	0	0	0	0	0	0	этиологи
afar	0	0	0	0	0	0	0	0	0	0	хол
affable	0	0	0	0	0	0	1	0	0	0	эелдэг
affair	0	0	0	0	0	0	0	0	0	0	хэрэг
affecting	0	0	0	0	0	0	0	0	0	0	нөлөөлж байна
affection	0	0	0	0	1	0	1	0	0	1	хайр сэтгэл
affections	0	0	0	0	0	0	0	0	0	0	хайр сэтгэл
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	мэдүүлэг
affiliated	0	0	0	0	0	0	1	0	0	0	холбоотой
affiliation	0	0	0	0	0	0	0	0	0	0	харьяалал
affinity	0	0	0	0	0	0	0	0	0	0	ойр дотно байдал
affirm	0	0	0	0	0	0	1	0	0	1	батлах
affirmation	0	0	0	0	0	0	1	0	0	0	батлах
affirmative	0	0	0	0	0	0	1	0	0	0	эерэг
affirmatively	0	0	0	0	0	0	1	0	0	1	баталж байна
affix	0	0	0	0	0	0	0	0	0	0	хавсралт
afflict	0	0	0	1	0	1	0	1	0	0	зовоох
afflicted	0	0	0	0	0	1	0	0	0	0	зовсон
affliction	0	0	1	1	0	1	0	1	0	0	зовлон зүдгүүр
affluence	0	0	0	0	1	0	1	0	0	0	эд баялаг
affluent	0	0	0	0	0	0	1	0	0	0	чинээлэг
afford	0	0	0	0	0	0	1	0	0	0	төлнө
affront	1	0	1	1	0	1	0	1	1	0	доромжлох
afield	0	0	0	0	0	0	0	0	0	0	хол
afore	0	0	0	0	0	0	0	0	0	0	өмнө
aforementioned	0	0	0	0	0	0	0	0	0	0	Дээр дурдсан
aforesaid	0	0	0	0	0	0	0	0	0	0	дээр дурдсан
afraid	0	0	0	1	0	1	0	0	0	0	айж байна
afresh	0	0	0	0	0	0	0	0	0	0	дахин
aft	0	0	0	0	0	0	0	0	0	0	арын
aftermath	1	0	1	1	0	1	0	1	0	0	дараа
afternoon	0	0	0	0	0	0	0	0	0	0	үдээс хойш
aftertaste	0	0	0	0	0	1	0	0	0	0	амтын дараах
afterthought	0	0	0	0	0	0	0	0	0	0	дараа нь бодсон
aga	0	0	0	1	0	0	1	0	0	1	ах
agate	0	0	0	0	0	0	0	0	0	0	оникс
age	0	0	0	0	0	0	0	0	0	0	нас
aged	0	0	0	0	0	0	0	0	0	0	хөгшин
agency	0	0	0	0	0	0	0	0	0	0	агентлаг
agent	0	0	0	0	0	0	0	0	0	0	агент
agglomeration	0	0	0	0	0	0	0	0	0	0	бөөгнөрөл
aggravated	1	0	0	0	0	1	0	0	0	0	хүндрүүлсэн
aggravating	1	0	0	0	0	1	0	1	0	0	хүндрүүлэх
aggravation	1	0	1	0	0	1	0	0	0	0	хүндрүүлэх
aggregate	0	0	0	0	0	0	0	0	0	0	нэгтгэх
aggregation	0	0	0	0	0	0	0	0	0	0	нэгтгэх
aggression	1	0	0	1	0	1	0	0	0	0	түрэмгийлэл
aggressive	1	0	0	1	0	1	0	0	0	0	түрэмгий
aggressor	1	0	0	1	0	1	0	0	0	0	түрэмгийлэгч
aghast	0	0	1	1	0	1	0	0	1	0	айсан
agile	0	0	0	0	0	0	1	0	0	0	уян хатан
agility	0	0	0	0	0	0	1	0	0	0	авхаалж самбаа
agitated	1	0	0	0	0	1	0	0	0	0	сэтгэл хөдөлсөн
agitation	1	0	0	0	0	1	0	0	0	0	үймээн самуун
agnostic	0	0	0	0	0	0	0	0	0	0	агностик
ago	0	0	0	0	0	0	0	0	0	0	өмнө
agonizing	0	0	0	1	0	1	0	0	0	0	зовлонтой
agony	1	0	0	1	0	1	0	1	0	0	зовлон шаналал
agree	0	0	0	0	0	0	1	0	0	0	зөвшөөрч байна
agreeable	0	0	0	0	0	0	1	0	0	1	тааламжтай
agreed	0	0	0	0	0	0	1	0	0	1	зөвшөөрсөн
agreeing	0	0	0	0	0	0	1	0	0	1	зөвшөөрч байна
agreement	0	0	0	0	0	0	1	0	0	1	тохиролцоо
agricultural	0	0	0	0	0	0	0	0	0	0	хөдөө аж ахуйн
agriculture	0	0	0	0	0	0	1	0	0	0	хөдөө аж ахуй
aground	0	0	0	0	0	1	0	0	0	0	газар шороо
agua	0	0	0	0	0	0	0	0	0	0	агуа
ahead	0	0	0	0	0	0	1	0	0	0	урагшаа
aid	0	0	0	0	0	0	1	0	0	0	тусламж
aiding	0	0	0	0	0	0	1	0	0	0	туслах
ail	0	0	0	0	0	1	0	1	0	0	айл
ailing	0	0	0	1	0	1	0	1	0	0	өвчтэй
ailment	0	0	0	0	0	0	0	0	0	0	өвчин
aim	0	0	0	0	0	0	0	0	0	0	зорилго
aimless	0	0	0	0	0	1	0	0	0	0	зорилгогүй
air	0	0	0	0	0	0	0	0	0	0	агаар
airbag	0	0	0	0	0	0	0	0	0	0	агаарын дэр
airlift	0	0	0	0	0	0	0	0	0	0	агаарын тээвэрлэлт
airline	0	0	0	0	0	0	0	0	0	0	агаарын тээврийн компани
airman	0	0	0	0	0	0	0	0	0	0	агаарын хүн
airplane	0	0	0	0	0	0	0	0	0	0	онгоц
airport	0	1	0	0	0	0	0	0	0	0	нисэх онгоцны буудал
airs	0	0	1	0	0	1	0	0	0	0	агаарт
airship	0	0	0	0	0	0	0	0	0	0	агаарын хөлөг
aisle	0	0	0	0	0	0	0	0	0	0	коридор
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	завсарлага
akin	0	0	0	0	0	0	0	0	0	1	адил
alabaster	0	0	0	0	0	0	1	0	0	0	алебастр
alarm	0	0	0	1	0	1	0	0	1	0	дохиолол
alarming	0	0	0	1	0	1	0	0	1	0	түгшүүртэй
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	цомог
alchemy	0	0	0	0	0	0	0	0	0	0	алхими
alcohol	0	0	0	0	0	0	0	0	0	0	согтууруулах ундаа
alcoholism	1	0	1	1	0	1	0	1	0	0	архидалт
alcove	0	0	0	0	0	0	0	0	0	0	хонгил
alert	0	0	0	0	0	0	0	0	0	0	сэрэмжлүүлэг
alertness	0	1	0	1	0	0	1	0	1	0	сонор сэрэмж
alerts	0	1	0	1	0	0	0	0	1	0	сэрэмжлүүлэг
alfalfa	0	0	0	0	0	0	0	0	0	0	царгас
algebra	0	0	0	0	0	0	0	0	0	0	алгебр
algebraic	0	0	0	0	0	0	0	0	0	0	алгебрийн
algorithm	0	0	0	0	0	0	0	0	0	0	алгоритм
alibi	0	0	0	0	0	0	0	0	0	0	алиби
alien	0	0	1	1	0	1	0	0	0	0	харийн
alienate	1	0	1	0	0	1	0	0	0	0	холдуулах
alienated	0	0	0	0	0	1	0	1	0	0	хөндийрүүлсэн
alienation	1	0	1	1	0	1	0	1	0	0	харийнхан
alight	0	0	0	0	0	0	0	0	0	0	асах
aligned	0	0	0	0	0	0	0	0	0	0	зэрэгцүүлсэн
alignment	0	0	0	0	0	0	0	0	0	0	тэгшитгэх
alike	0	0	0	0	0	0	0	0	0	0	адилхан
alimentation	0	0	0	0	0	0	1	0	0	0	хоол тэжээл
alimony	0	0	0	0	0	1	0	0	0	0	тэтгэлэг
aliquot	0	0	0	0	0	0	0	0	0	0	хэсэг
alive	0	1	0	0	1	0	1	0	0	1	амьд
alkali	0	0	0	0	0	0	0	0	0	0	шүлт
alkaloids	0	0	0	0	0	0	0	0	0	0	алкалоидууд
allay	0	0	0	0	0	0	1	0	0	0	тайвшруулах
allegation	1	0	0	0	0	1	0	0	0	0	гомдол
allege	0	0	0	0	0	1	0	0	0	0	буруутгах
alleged	0	0	0	0	0	0	0	0	0	0	гэж таамаглаж байна
allegiance	0	0	0	0	0	0	1	0	0	1	үнэнч
allegorical	0	0	0	0	0	0	0	0	0	0	зүйрлэл
allegory	0	0	0	0	0	0	0	0	0	0	зүйрлэл
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	хөнгөвчлөх
alleviation	0	0	0	0	0	0	1	0	0	0	хөнгөвчлөх
alley	0	0	0	0	0	0	0	0	0	0	гудамж
alliance	0	0	0	0	0	0	0	0	0	1	холбоо
allied	0	0	0	0	0	0	1	0	0	1	холбоотон
alligator	0	0	0	0	0	0	0	0	0	0	матар
allocate	0	0	0	0	0	0	0	0	0	0	хуваарилах
allocation	0	0	0	0	0	0	0	0	0	0	хуваарилалт
allot	0	0	0	0	0	0	0	0	0	0	хуваарилах
allotment	0	0	0	0	0	0	0	0	0	0	хуваарилалт
allowable	0	0	0	0	0	0	1	0	0	0	зөвшөөрөгдөх боломжтой
allowance	0	0	0	0	0	0	0	0	0	0	тэтгэмж
allowed	0	0	0	0	0	0	0	0	0	0	зөвшөөрсөн
alloy	0	0	0	0	0	0	0	0	0	0	хайлш
allure	0	1	0	0	1	0	1	0	1	0	сэтгэл татам
alluring	0	0	0	0	0	0	1	0	0	0	сэтгэл татам
allusion	0	0	0	0	0	0	0	0	0	0	зүйрлэл
alluvial	0	0	0	0	0	0	0	0	0	0	шороон
ally	0	0	0	0	0	0	1	0	0	1	холбоотон
almanac	0	0	0	0	0	0	0	0	0	0	альманах
almighty	0	0	0	0	0	0	1	0	0	0	бүхнийг чадагч
aloft	0	0	0	0	0	0	0	0	0	0	дээш
aloha	0	1	0	0	1	0	1	0	0	0	сайн уу
alongside	0	0	0	0	0	0	0	0	0	0	хажууд
aloof	0	0	0	0	0	1	0	0	0	0	хол
aloud	0	0	0	0	0	0	0	0	0	0	чангаар
alphabet	0	0	0	0	0	0	0	0	0	0	цагаан толгой
alphabetical	0	0	0	0	0	0	0	0	0	0	цагаан толгойн дарааллаар
altar	0	0	0	0	0	0	0	0	0	0	тахилын ширээ
alter	0	0	0	0	0	0	0	0	0	0	өөрчлөх
alteration	0	0	0	0	0	0	0	0	0	0	өөрчлөлт
altercation	1	0	0	0	0	1	0	0	0	0	хэрүүл маргаан
altered	0	0	0	0	0	0	0	0	0	0	өөрчлөгдсөн
alternate	0	0	0	0	0	0	0	0	0	0	ээлжлэн
alternative	0	0	0	0	0	0	0	0	0	0	хувилбар
altitude	0	0	0	0	0	0	0	0	0	0	өндөр
alto	0	0	0	0	0	0	0	0	0	0	альто
altogether	0	0	0	0	0	0	0	0	0	0	бүхэлдээ
alumnus	0	0	0	0	0	0	0	0	0	0	төгсөгч
alveolar	0	0	0	0	0	0	0	0	0	0	цулцангийн
amalgam	0	0	0	0	0	0	0	0	0	0	амальгам
amalgamation	0	0	0	0	0	0	0	0	0	0	нэгдэл
amass	0	0	0	0	0	0	0	0	0	0	бөөгнөрөх
amateur	0	0	0	0	0	0	0	0	0	0	сонирхогч
amaze	0	0	0	0	0	0	0	0	1	0	гайхуулах
amazement	0	0	0	0	0	0	0	0	0	0	гайхшрал
amazingly	0	0	0	0	1	0	1	0	1	0	гайхалтай
ambassador	0	0	0	0	0	0	1	0	0	1	элчин сайд
amber	0	0	0	0	0	0	0	0	0	0	хув
ambient	0	0	0	0	0	0	0	0	0	0	орчин
ambiguity	0	0	0	0	0	0	0	0	0	0	тодорхой бус байдал
ambiguous	0	0	0	0	0	1	0	0	0	0	хоёрдмол утгатай
ambit	0	0	0	0	0	0	0	0	0	0	амбит
ambition	0	1	0	0	1	0	1	0	0	1	амбиц
