English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Sinhala Word
abyss	0	0	0	1	0	1	0	1	0	0	අගාධය
academic	0	0	0	0	0	0	1	0	0	1	ශාස්ත්රීය
academy	0	0	0	0	0	0	1	0	0	0	ඇකඩමිය
accede	0	0	0	0	0	0	0	0	0	0	එකඟ වෙනවා
accelerate	0	1	0	0	0	0	0	0	0	0	වේගවත් කරන්න
acceleration	0	0	0	0	0	0	0	0	0	0	ත්වරණය
accent	0	0	0	0	0	0	0	0	0	0	උච්චාරණය
accentuate	0	0	0	0	0	0	0	0	0	0	අවධාරණය කරන්න
accept	0	0	0	0	0	0	0	0	0	0	පිළිගන්නවා
acceptable	0	0	0	0	0	0	1	0	0	0	පිළිගත හැකි
acceptance	0	0	0	0	0	0	1	0	0	0	පිළිගැනීම
access	0	0	0	0	0	0	0	0	0	0	ප්රවේශ
accessible	0	0	0	0	0	0	1	0	0	0	ප්රවේශ විය හැකි
accession	0	0	0	0	0	0	0	0	0	0	ඇතුල් වීම
accessory	0	0	0	0	0	0	0	0	0	0	උපාංගය
accident	0	0	0	1	0	1	0	1	1	0	අනතුර
accidental	0	0	0	1	0	1	0	0	1	0	අහම්බෙන්
accidentally	0	0	0	0	0	0	0	0	1	0	අහම්බෙන්
accolade	0	1	0	0	1	0	1	0	1	1	සම්මානය
accommodate	0	0	0	0	0	0	0	0	0	0	නවාතැන්
accommodation	0	0	0	0	0	0	1	0	0	0	නවාතැන්
accompaniment	0	1	0	0	1	0	1	0	0	1	සහකාරිය
accompany	0	0	0	0	0	0	0	0	0	0	කැටුව
accompanying	0	0	0	0	0	0	0	0	0	0	කැටුව යන
accomplice	0	0	0	0	0	0	0	0	0	0	හවුල්කාරයෙක්
accomplish	0	0	0	0	1	0	1	0	0	0	ඉටු කරනවා
accomplished	0	0	0	0	1	0	1	0	0	0	ඉටු කර ඇත
accomplishment	0	0	0	0	0	0	1	0	0	0	ඉටු
accord	0	0	0	0	0	0	1	0	0	1	එකඟතාව
accordance	0	0	0	0	0	0	0	0	0	0	අනුකූලව
accordion	0	0	0	0	0	0	0	0	0	0	Accordion
account	0	0	0	0	0	0	0	0	0	1	ගිණුම
accountability	0	0	0	0	0	0	1	0	0	1	වගවීම
accountable	0	0	0	0	0	0	1	0	0	1	වගකියන
accountant	0	0	0	0	0	0	0	0	0	1	ගණකාධිකාරී
accounting	0	0	0	0	0	0	0	0	0	0	ගිණුම්කරණය
accounts	0	0	0	0	0	0	0	0	0	1	ගිණුම්
accredited	0	0	0	0	0	0	1	0	0	1	ප්රතීතනය කර ඇත
accretion	0	0	0	0	0	0	0	0	0	0	සමුච්චය වීම
accrue	0	0	0	0	0	0	0	0	0	0	එකතු වෙනවා
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	රැස් කරනවා
accumulation	0	0	0	0	0	0	0	0	0	0	සමුච්චය වීම
accuracy	0	0	0	0	0	0	0	0	0	0	නිරවද්යතාව
accurate	0	0	0	0	0	0	1	0	0	1	නිවැරදි
accursed	1	0	0	1	0	1	0	1	0	0	ශාප ලත්
accusation	1	0	1	0	0	1	0	0	0	0	චෝදනාව
accusative	0	0	0	0	0	1	0	0	0	0	චෝදනා කරන
accused	1	0	0	1	0	1	0	0	0	0	චෝදනා කළා
accuser	1	0	0	1	0	1	0	0	0	0	චෝදනා කරන්නා
accusing	1	0	0	1	0	1	0	0	0	0	චෝදනා කරනවා
accustomed	0	0	0	0	0	0	0	0	0	0	පුරුදු වෙලා
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	ඇසිටික්
ache	0	0	0	0	0	1	0	1	0	0	කැක්කුම
achieve	0	0	0	0	1	0	1	0	0	1	සාක්ෂාත් කර ගැනීම
achievement	0	1	0	0	1	0	1	0	0	1	ජයග්රහණය
aching	0	0	0	0	0	1	0	1	0	0	වේදනාව
acid	0	0	0	0	0	1	0	0	0	0	අම්ලය
acidity	0	0	0	0	0	0	0	0	0	0	ආම්ලිකතාවය
acknowledge	0	0	0	0	0	0	0	0	0	0	පිළිගන්නවා
acknowledged	0	0	0	0	0	0	0	0	0	0	පිළිගත්තා
acknowledgment	0	0	0	0	0	0	1	0	0	0	පිළිගැනීම
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	ධ්වනි
acoustics	0	0	0	0	0	0	0	0	0	0	ධ්වනි විද්යාව
acquaint	0	0	0	0	0	0	0	0	0	0	අඳුනනවා
acquaintance	0	0	0	0	0	0	0	0	0	0	දැන හඳුනා ගැනීම
acquainted	0	0	0	0	0	0	0	0	0	0	අඳුනන ලදී
acquiescence	0	0	0	0	0	0	0	0	0	0	එකඟ වීම
acquire	0	0	0	0	0	0	1	0	0	0	අත්පත් කර ගැනීම
acquiring	0	1	0	0	0	0	1	0	0	0	අත්පත් කර ගැනීම
acquisition	0	0	0	0	0	0	0	0	0	0	අත්පත් කර ගැනීම
acquisitions	0	0	0	0	0	0	0	0	0	0	අත්පත් කර ගැනීම්
acreage	0	0	0	0	0	0	0	0	0	0	අක්කර ප්රමාණය
acres	0	0	0	0	0	0	0	0	0	0	අක්කර
acrobat	0	0	0	1	1	0	1	0	0	1	acrobat
act	0	0	0	0	0	0	0	0	0	0	පනත
acting	0	0	0	0	0	0	0	0	0	0	රඟපානවා
action	0	0	0	0	0	0	1	0	0	0	කටයුතු
actionable	1	0	1	0	0	1	0	0	0	0	ක්රියා කළ හැකි
active	0	0	0	0	0	0	0	0	0	0	ක්රියාකාරී
activity	0	0	0	0	0	0	0	0	0	0	ක්රියාකාරිත්වය
actor	0	0	0	0	0	0	0	0	0	0	නළුවා
actual	0	0	0	0	0	0	1	0	0	0	සැබෑ
actuality	0	0	0	0	0	0	0	0	0	0	යථාර්ථය
actuary	0	0	0	0	0	0	0	0	0	0	ක්රියාකාරී
acuity	0	0	0	0	0	0	1	0	0	0	තියුණු බව
acumen	0	0	0	0	0	0	1	0	0	0	දක්ෂතාවය
acupuncture	0	0	0	0	0	0	0	0	0	0	කටු චිකිත්සාව
acutely	0	0	0	0	0	0	0	0	0	0	උග්ර ලෙස
adage	0	0	0	0	0	0	0	0	0	0	ආප්තෝපදේශය
adamant	0	0	0	0	0	0	0	0	0	0	දැඩි
adapt	0	0	0	0	0	0	1	0	0	0	අනුගත වෙනවා
adaptable	0	0	0	0	0	0	1	0	0	0	අනුවර්තනය කළ හැකි
add	0	0	0	0	0	0	0	0	0	0	එකතු කරන්න
added	0	0	0	0	0	0	0	0	0	0	එකතු කළා
addendum	0	0	0	0	0	0	0	0	0	0	අතිරේකය
adder	1	0	1	1	0	1	0	1	0	0	එකතු කරන්නා
addiction	0	0	0	0	0	1	0	0	0	0	ඇබ්බැහි වීම
addition	0	0	0	0	0	0	0	0	0	0	ඊට අමතරව
additional	0	0	0	0	0	0	0	0	0	0	අමතර
additive	0	0	0	0	0	0	0	0	0	0	ආකලන
address	0	0	0	0	0	0	0	0	0	0	ලිපිනය
addressee	0	0	0	0	0	0	0	0	0	0	ලිපිනය
addresses	0	1	0	0	0	0	1	0	0	0	ලිපිනයන්
adept	0	0	0	0	0	0	1	0	0	0	දක්ෂ
adequacy	0	0	0	0	0	0	1	0	0	0	ප්රමාණවත් බව
adequate	0	0	0	0	0	0	0	0	0	0	ප්රමාණවත්
adhere	0	0	0	0	0	0	0	0	0	0	පිළිපදින්න
adherence	0	0	0	0	0	0	0	0	0	0	පිළිපැදීම
adherent	0	0	0	0	0	0	0	0	0	0	අනුගාමික
adhering	0	0	0	0	0	0	0	0	0	1	පිළිපැදීම
adhesion	0	0	0	0	0	0	0	0	0	0	ඇලවීම
adhesive	0	0	0	0	0	0	0	0	0	0	මැලියම්
adieu	0	0	0	0	0	0	0	0	0	0	සමුගන්න
adipose	0	0	0	0	0	1	0	0	0	0	මේද සහිත
adjacency	0	0	0	0	0	0	0	0	0	0	යාබදව
adjacent	0	0	0	0	0	0	0	0	0	0	යාබද
adjective	0	0	0	0	0	0	0	0	0	0	විශේෂණ පදය
adjoining	0	0	0	0	0	0	0	0	0	0	යාබද
adjourn	0	0	0	0	0	0	0	0	0	0	කල් තබයි
adjournment	0	0	0	0	0	0	0	0	0	0	කල් තැබීම
adjudicate	0	0	0	1	0	1	0	0	0	0	විනිශ්චය කරන්න
adjudication	0	0	0	0	0	0	0	0	0	0	විනිශ්චය
adjunct	0	0	0	0	0	0	1	0	0	0	අනුබද්ධ
adjust	0	0	0	0	0	0	0	0	0	0	සකස් කරන්න
adjustment	0	0	0	0	0	0	0	0	0	0	ගැලපීම
adjuvant	0	0	0	0	0	0	0	0	0	0	සහායක
administer	0	0	0	0	0	0	0	0	0	0	පරිපාලනය කරයි
administration	0	0	0	0	0	0	0	0	0	0	පරිපාලනය
administrative	0	0	0	0	0	0	0	0	0	1	පරිපාලන
admirable	0	0	0	0	1	0	1	0	0	1	ප්රශංසනීයයි
admiral	0	0	0	0	0	0	1	0	0	1	අද්මිරාල්
admiralty	0	0	0	0	0	0	0	0	0	0	අද්මිරාල්ටි
admiration	0	0	0	0	1	0	1	0	0	1	පැහැදීම
admire	0	0	0	0	0	0	1	0	0	1	අගය කරනවා
admirer	0	0	0	0	0	0	1	0	0	0	අගය කරන්නා
admissibility	0	0	0	0	0	0	0	0	0	0	පිළිගැනීමේ හැකියාව
admissible	0	0	0	0	0	0	1	0	0	1	පිළිගත හැකි
admission	0	0	0	0	0	0	0	0	0	0	ඇතුළත් කිරීම
admit	0	0	0	0	0	0	0	0	0	0	පිළිගන්නවා
admittance	0	0	0	0	0	0	0	0	0	0	පිළිගැනීම
admitted	0	0	0	0	0	0	0	0	0	0	පිළිගත්තා
admitting	0	0	0	0	0	0	0	0	0	0	පිළිගන්නවා
admixture	0	0	0	0	0	0	0	0	0	0	මිශ්රණ
admonition	0	0	0	1	0	1	0	0	0	0	අවවාදයයි
ado	0	0	0	0	0	0	0	0	0	0	අඩෝ
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	නව යොවුන් විය
adolescent	0	0	0	0	0	0	0	0	0	0	නව යොවුන් වියේ
adopt	0	0	0	0	0	0	0	0	0	0	හදාගන්නවා
adoption	0	0	0	0	0	0	0	0	0	0	දරුකමට හදා ගැනීම
adorable	0	0	0	0	1	0	1	0	0	0	ප්රියජනකයි
adoration	0	0	0	0	1	0	1	0	0	1	නමස්කාරය
adore	0	1	0	0	1	0	1	0	0	1	වන්දනා කරනවා
adorn	0	0	0	0	0	0	0	0	0	0	සරසනවා
adornment	0	0	0	0	0	0	0	0	0	0	සැරසීම
adrift	0	1	0	1	0	1	0	1	0	0	පාවෙන
adult	0	0	0	0	0	0	0	0	0	0	වැඩිහිටි
adulterated	0	0	0	0	0	1	0	0	0	0	ව්යාජය
adultery	0	0	1	0	0	1	0	1	0	0	කාමමිථ්යාචාරය
advance	0	1	0	1	1	0	1	0	1	0	අත්තිකාරම්
advanced	0	0	0	0	0	0	1	0	0	0	උසස්
advancement	0	0	0	0	0	0	1	0	0	0	දියුණුව
advancing	0	0	0	0	0	0	0	0	0	0	ඉදිරියට යනවා
advantage	0	0	0	0	0	0	1	0	0	0	වාසිය
advantageous	0	0	0	0	0	0	1	0	0	0	වාසිදායකය
advent	0	1	0	0	1	0	1	0	0	1	පැමිණීම
adventure	0	1	0	0	0	0	1	0	0	0	ත්රාසජනක
adventurer	0	0	0	0	0	0	0	0	0	0	ත්රාසජනක
adventurous	0	0	0	0	0	0	1	0	0	0	වික්රමාන්විත
adversary	1	0	0	0	0	1	0	0	0	0	විරුද්ධවාදියා
adverse	1	0	1	1	0	1	0	1	0	0	අහිතකර
adversity	1	0	0	1	0	1	0	1	0	0	විපත්ති
advertise	0	0	0	0	0	0	0	0	0	0	ප්‍රචාරණය කරනවා
advertisement	0	0	0	0	0	0	0	0	0	0	වෙළඳ දැන්වීම
advice	0	0	0	0	0	0	0	0	0	1	උපදෙස්
advisable	0	0	0	0	0	0	1	0	0	1	යෝග්ය ය
advise	0	0	0	0	0	0	1	0	0	1	උපදෙස් දෙන්න
advised	0	0	0	0	0	0	0	0	0	1	උපදෙස් දුන්නා
advisement	0	0	0	0	0	0	0	0	0	0	උපදෙස්
adviser	0	0	0	0	0	0	1	0	0	1	උපදේශක
advocacy	1	1	0	0	1	0	1	0	0	1	උපදේශනය
advocate	0	0	0	0	0	0	0	0	0	1	නීතිඥ
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	වාතනය
aerial	0	0	0	0	0	0	0	0	0	0	ගුවන්
aerodrome	0	0	0	0	0	0	0	0	0	0	ගුවන් යානය
aerodynamics	0	0	0	0	0	0	0	0	0	0	වායුගතික විද්යාව
aeronautics	0	0	0	0	0	0	0	0	0	0	ගුවන් යානා
aeroplane	0	0	0	0	0	0	0	0	0	0	ගුවන් යානය
aesthetic	0	0	0	0	0	0	1	0	0	0	සෞන්දර්යාත්මක
aesthetics	0	0	0	0	1	0	1	0	0	0	සෞන්දර්යය
aetiology	0	0	0	0	0	0	0	0	0	0	හේතු විද්යාව
afar	0	0	0	0	0	0	0	0	0	0	දුරින්
affable	0	0	0	0	0	0	1	0	0	0	සුහදශීලී
affair	0	0	0	0	0	0	0	0	0	0	සම්බන්ධය
affecting	0	0	0	0	0	0	0	0	0	0	බලපානවා
affection	0	0	0	0	1	0	1	0	0	1	සෙනෙහස
affections	0	0	0	0	0	0	0	0	0	0	සෙනෙහස
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	දිවුරුම් ප්රකාශය
affiliated	0	0	0	0	0	0	1	0	0	0	අනුබද්ධ
affiliation	0	0	0	0	0	0	0	0	0	0	අනුබද්ධය
affinity	0	0	0	0	0	0	0	0	0	0	හිතවත්කම
affirm	0	0	0	0	0	0	1	0	0	1	තහවුරු කරනවා
affirmation	0	0	0	0	0	0	1	0	0	0	තහවුරු කිරීම
affirmative	0	0	0	0	0	0	1	0	0	0	ස්ථිරයි
affirmatively	0	0	0	0	0	0	1	0	0	1	ස්ථිර ලෙස
affix	0	0	0	0	0	0	0	0	0	0	ඇලවීම
afflict	0	0	0	1	0	1	0	1	0	0	පීඩාවට
afflicted	0	0	0	0	0	1	0	0	0	0	පීඩාවට පත් විය
affliction	0	0	1	1	0	1	0	1	0	0	පීඩාව
affluence	0	0	0	0	1	0	1	0	0	0	ධනවත් බව
affluent	0	0	0	0	0	0	1	0	0	0	ධනවත්
afford	0	0	0	0	0	0	1	0	0	0	දැරිය හැකි
affront	1	0	1	1	0	1	0	1	1	0	අපහාස කරනවා
afield	0	0	0	0	0	0	0	0	0	0	පිටිසර
afore	0	0	0	0	0	0	0	0	0	0	පෙර
aforementioned	0	0	0	0	0	0	0	0	0	0	ඉහත සඳහන් කර ඇත
aforesaid	0	0	0	0	0	0	0	0	0	0	පෙර කීවේය
afraid	0	0	0	1	0	1	0	0	0	0	බයයි
afresh	0	0	0	0	0	0	0	0	0	0	අලුතින්
aft	0	0	0	0	0	0	0	0	0	0	පසුපස
aftermath	1	0	1	1	0	1	0	1	0	0	පසු විපාක
afternoon	0	0	0	0	0	0	0	0	0	0	දහවල්
aftertaste	0	0	0	0	0	1	0	0	0	0	පසු රසය
afterthought	0	0	0	0	0	0	0	0	0	0	පසු සිතුවිල්ල
aga	0	0	0	1	0	0	1	0	0	1	ආගා
agate	0	0	0	0	0	0	0	0	0	0	අගස්ති
age	0	0	0	0	0	0	0	0	0	0	වයස
aged	0	0	0	0	0	0	0	0	0	0	වයස්ගත
agency	0	0	0	0	0	0	0	0	0	0	නියෝජිතායතනය
agent	0	0	0	0	0	0	0	0	0	0	නියෝජිතයා
agglomeration	0	0	0	0	0	0	0	0	0	0	එකතු කිරීම
aggravated	1	0	0	0	0	1	0	0	0	0	උත්සන්න විය
aggravating	1	0	0	0	0	1	0	1	0	0	උග්ර කරයි
aggravation	1	0	1	0	0	1	0	0	0	0	උග්රවීම
aggregate	0	0	0	0	0	0	0	0	0	0	සමස්ථ
aggregation	0	0	0	0	0	0	0	0	0	0	එකතු කිරීම
aggression	1	0	0	1	0	1	0	0	0	0	ආක්රමණශීලීත්වය
aggressive	1	0	0	1	0	1	0	0	0	0	ආක්රමණශීලී
aggressor	1	0	0	1	0	1	0	0	0	0	ආක්රමණිකයා
aghast	0	0	1	1	0	1	0	0	1	0	කෝපයට පත්
agile	0	0	0	0	0	0	1	0	0	0	කඩිසර
agility	0	0	0	0	0	0	1	0	0	0	කඩිසර බව
agitated	1	0	0	0	0	1	0	0	0	0	කලබල විය
agitation	1	0	0	0	0	1	0	0	0	0	උද්ඝෝෂණය
agnostic	0	0	0	0	0	0	0	0	0	0	අඥෙයවාදී
ago	0	0	0	0	0	0	0	0	0	0	පෙර
agonizing	0	0	0	1	0	1	0	0	0	0	වේදනාකාරී
agony	1	0	0	1	0	1	0	1	0	0	වේදනාව
agree	0	0	0	0	0	0	1	0	0	0	එකඟයි
agreeable	0	0	0	0	0	0	1	0	0	1	එකඟ විය හැකි
agreed	0	0	0	0	0	0	1	0	0	1	එකඟ විය
agreeing	0	0	0	0	0	0	1	0	0	1	එකඟ වෙනවා
agreement	0	0	0	0	0	0	1	0	0	1	ගිවිසුම
agricultural	0	0	0	0	0	0	0	0	0	0	කෘෂි
agriculture	0	0	0	0	0	0	1	0	0	0	කෘෂිකර්ම
aground	0	0	0	0	0	1	0	0	0	0	ගොඩබිම
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	ඉදිරියෙන්
aid	0	0	0	0	0	0	1	0	0	0	ආධාර
aiding	0	0	0	0	0	0	1	0	0	0	ආධාර කරනවා
ail	0	0	0	0	0	1	0	1	0	0	අසනීප
ailing	0	0	0	1	0	1	0	1	0	0	රෝගාතුර වීම
ailment	0	0	0	0	0	0	0	0	0	0	අසනීප
aim	0	0	0	0	0	0	0	0	0	0	ඉලක්කය
aimless	0	0	0	0	0	1	0	0	0	0	අරමුණක් නැති
air	0	0	0	0	0	0	0	0	0	0	වායු
airbag	0	0	0	0	0	0	0	0	0	0	වායු බෑගය
airlift	0	0	0	0	0	0	0	0	0	0	ගුවන් සෝපානය
airline	0	0	0	0	0	0	0	0	0	0	ගුවන් සමාගම
airman	0	0	0	0	0	0	0	0	0	0	ගුවන් භටයා
airplane	0	0	0	0	0	0	0	0	0	0	ගුවන් යානය
airport	0	1	0	0	0	0	0	0	0	0	ගුවන් තොටුපළ
airs	0	0	1	0	0	1	0	0	0	0	වාතය
airship	0	0	0	0	0	0	0	0	0	0	ගුවන් යානය
aisle	0	0	0	0	0	0	0	0	0	0	පේළිය
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	අජාර්
akin	0	0	0	0	0	0	0	0	0	1	හුරු
alabaster	0	0	0	0	0	0	1	0	0	0	ඇලබැස්ටර්
alarm	0	0	0	1	0	1	0	0	1	0	අනතුරු ඇඟවීම
alarming	0	0	0	1	0	1	0	0	1	0	තැතිගන්වනසුලු
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	ඇල්බමය
alchemy	0	0	0	0	0	0	0	0	0	0	ඇල්කෙමිය
alcohol	0	0	0	0	0	0	0	0	0	0	මත්පැන්
alcoholism	1	0	1	1	0	1	0	1	0	0	මත්පැන් පානය
alcove	0	0	0	0	0	0	0	0	0	0	ඇල්කොව්
alert	0	0	0	0	0	0	0	0	0	0	සීරුවෙන්
alertness	0	1	0	1	0	0	1	0	1	0	සීරුවෙන්
alerts	0	1	0	1	0	0	0	0	1	0	අනතුරු ඇඟවීම්
alfalfa	0	0	0	0	0	0	0	0	0	0	ඇල්ෆල්ෆා
algebra	0	0	0	0	0	0	0	0	0	0	වීජ ගණිතය
algebraic	0	0	0	0	0	0	0	0	0	0	වීජීය
algorithm	0	0	0	0	0	0	0	0	0	0	ඇල්ගොරිතම
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	පිටසක්වල
alienate	1	0	1	0	0	1	0	0	0	0	විරසක කරනවා
alienated	0	0	0	0	0	1	0	1	0	0	විරසක විය
alienation	1	0	1	1	0	1	0	1	0	0	විරසක වීම
alight	0	0	0	0	0	0	0	0	0	0	බසිනවා
aligned	0	0	0	0	0	0	0	0	0	0	පෙළගස්වා ඇත
alignment	0	0	0	0	0	0	0	0	0	0	පෙළගැස්ම
alike	0	0	0	0	0	0	0	0	0	0	සමානව
alimentation	0	0	0	0	0	0	1	0	0	0	ආහාර ගැනීම
alimony	0	0	0	0	0	1	0	0	0	0	ජීවිතාන්තය
aliquot	0	0	0	0	0	0	0	0	0	0	ඇල්කොට්
alive	0	1	0	0	1	0	1	0	0	1	ජීවමානයි
alkali	0	0	0	0	0	0	0	0	0	0	ක්ෂාර
alkaloids	0	0	0	0	0	0	0	0	0	0	ඇල්කලෝයිඩ්
allay	0	0	0	0	0	0	1	0	0	0	සමනය කරන්න
allegation	1	0	0	0	0	1	0	0	0	0	චෝදනාව
allege	0	0	0	0	0	1	0	0	0	0	චෝදනා කරනවා
alleged	0	0	0	0	0	0	0	0	0	0	චෝදනා කළා
allegiance	0	0	0	0	0	0	1	0	0	1	පක්ෂපාතීත්වය
allegorical	0	0	0	0	0	0	0	0	0	0	රූපමය
allegory	0	0	0	0	0	0	0	0	0	0	උපමාව
allegro	0	0	0	0	0	0	1	0	0	0	ඇලෙග්රෝ
alleviate	0	0	0	0	0	0	1	0	0	0	සමනය කරන්න
alleviation	0	0	0	0	0	0	1	0	0	0	ලිහිල් කිරීම
alley	0	0	0	0	0	0	0	0	0	0	පටුමග
alliance	0	0	0	0	0	0	0	0	0	1	සන්ධානය
allied	0	0	0	0	0	0	1	0	0	1	මිත්ර
alligator	0	0	0	0	0	0	0	0	0	0	කිඹුලා
allocate	0	0	0	0	0	0	0	0	0	0	වෙන් කරන්න
allocation	0	0	0	0	0	0	0	0	0	0	වෙන් කිරීම
allot	0	0	0	0	0	0	0	0	0	0	වෙන් කරන්න
allotment	0	0	0	0	0	0	0	0	0	0	වෙන් කිරීම
allowable	0	0	0	0	0	0	1	0	0	0	අවසර ඇත
allowance	0	0	0	0	0	0	0	0	0	0	දීමනාව
allowed	0	0	0	0	0	0	0	0	0	0	අවසර
alloy	0	0	0	0	0	0	0	0	0	0	මිශ්ර ලෝහය
allure	0	1	0	0	1	0	1	0	1	0	ආකර්ෂණය
alluring	0	0	0	0	0	0	1	0	0	0	ආකර්ෂණීය
allusion	0	0	0	0	0	0	0	0	0	0	ඇඟවීම
alluvial	0	0	0	0	0	0	0	0	0	0	ඇලවියල්
ally	0	0	0	0	0	0	1	0	0	1	මිත්ර
almanac	0	0	0	0	0	0	0	0	0	0	අල්මනාක්
almighty	0	0	0	0	0	0	1	0	0	0	සර්ව බලධාරී
aloft	0	0	0	0	0	0	0	0	0	0	ඉහළට
aloha	0	1	0	0	1	0	1	0	0	0	aloha
